,username,location,following,followers,totaltweets,tweetcreatedts,retweetcount,text,hashtags
0,lesyl,"Cape Town, South Africa",2382,856,8058,Sun Apr 19 19:04:43 +0000 2020,0,Good read👌🇿🇦#Covid19 https://t.co/SNKrdaE4HO,['Covid19']
1,LERCI_ZA,ZA,721,244,1061,Sun Apr 19 19:05:33 +0000 2020,0,"It is said that there's no cure for the virus. But there are recoveries from those who were infected with the virus, does that mean the recovered are completely free of the virus or what? 🙄#COVID19",['COVID19']
2,Sedupe_kortes,Mzansi,1129,1471,29211,Sun Apr 19 19:10:18 +0000 2020,0,"ZV wanted to treat COVID-19 nkare ke sefola “kea tseba se tswa kae, it has met its match” jiki jiki he’s hospitalized. To date he’s still positive 😓",[]
3,goodnews_cado,Unisa Radio,11393,11186,40644,Sun Apr 19 19:16:37 +0000 2020,0,Coronavirus: Is there a link between the Severity of Covid-19 and Air po... https://t.co/xeXtqEdeq2 via @YouTubeTrends,[]
4,Luyi_Blessed,"Johannesburg, South Africa",11328,10487,14254,Sun Apr 19 19:18:40 +0000 2020,0,@masego_ramara Ms Corona must just help me eliminate these problems in my life 🤣🤣🤣,[]
5,godwinratikwane,"Centurion, South Africa",15450,14480,32805,Sun Apr 19 19:20:19 +0000 2020,2,Lol well Corona Virus is dealing with you guys harshly #Uyajola99 https://t.co/NCefcWjfdS,['Uyajola99']
6,Iam_Kardas,"Pretoria, South Africa.",5146,10320,144191,Sun Apr 19 19:20:52 +0000 2020,0,Did someone scream “Corona Virus”? #Uyajola99 https://t.co/ghAoIyUpYc,['Uyajola99']
7,SupremeThought,"Sandton, South Africa",1294,1255,12338,Sun Apr 19 19:22:04 +0000 2020,1,Those grips by the bouncers can end Corona...#Uyajola99 #Uyajola99Sundays #Fork_it! https://t.co/B5SW8qCQzj,"['Uyajola99', 'Uyajola99Sundays', 'Fork_it']"
8,__Amogelang,Everywhere,599,815,15682,Sun Apr 19 19:26:46 +0000 2020,0,@Stonez_Up I've fallen in love with it so much that it makes me feel at peace. Can this COVID end already 😫😫,[]
9,sibumabena,"Johannesburg, South Africa",3569,60283,80257,Sun Apr 19 19:27:51 +0000 2020,1,"And one day during #Covid19inSA a wise woman said f*** and ate cereal for dinner!!! 

😤

Tired of cooking! https://t.co/vo8pzfdYUX",['Covid19inSA']
10,_learny,South Africa,13279,19890,95945,Sun Apr 19 19:29:29 +0000 2020,0,"@Nkosazana_06 Hey covid , how are you",[]
11,KMchuba,South Africa,945,831,3758,Sun Apr 19 19:31:11 +0000 2020,0,@SAHRCommission look at the rotten food served by @MYANC to poor people in the Eastern Cape during the corona alleviation 👇 https://t.co/Y8TmrR0lUD,[]
12,AlbaAmoros,Madrid/Joburg/Tonopah/Barna,1360,914,13770,Sun Apr 19 19:35:52 +0000 2020,0,"@nereaglezp Despite a massive jump in Covid-19 cases, a lockdown extension isn't guaranteed: Zweli Mkhize https://t.co/UVyjPceD5e via @TimesLIVE",[]
13,porciagriffith,Cape Town,64,17,211,Sun Apr 19 19:36:11 +0000 2020,0,We @porciagriffith are counting the days when we can attend to all your #Beauty needs again. #Staysafe #Stayhome #Savelives #Covid_19 #lockdownsa @ Timeless Beauty Lounge https://t.co/PXCxKdM2pn,"['Beauty', 'Staysafe', 'Stayhome', 'Savelives', 'Covid_19', 'lockdownsa']"
14,Slie_A,Kwa-Zulu Natal_Durban,2611,1857,1659,Sun Apr 19 19:36:44 +0000 2020,0,Listen no corona formed against Jub Jub shall prosper #Uyajola99 https://t.co/Qd9wc08I9V,['Uyajola99']
15,WimB09,"Pretoria, South Africa",305,59,158,Sun Apr 19 19:36:53 +0000 2020,2,WATCH | SA doctors design a virus 'box' to protect healthcare workers against infection https://t.co/wOv0auH0ac,[]
16,TheeDarkEnergy,"Durban, KwaMakhutha, Amanzimto",4999,977,3147,Sun Apr 19 19:37:47 +0000 2020,1,"Let’s sweat it out together with @PhumlaniDube on Facebook Live! Monday-Friday at 7am until the end of the lockdown. A healthy lifestyle is the best defence against coronavirus. 💪🏼 @ Durban, KwaZulu-Natal @ Durban,… https://t.co/hBQoec06rN",[]
17,glwn,Black Lives Matter,548,963,2892,Sun Apr 19 19:41:31 +0000 2020,0,"I can’t recommend this first-person account from @DrHelenOuyang highly enough.👇 It has been for me the defining piece of journalism from this moment. 
https://t.co/Ec78JCEWLk",[]
18,_koketjo,Area 51,2442,1131,4557,Sun Apr 19 19:43:36 +0000 2020,0,this how COVID19 pulled us after we made jokes about it https://t.co/JKAcKAmvL5,[]
