,username,location,following,followers,totaltweets,tweetcreatedts,retweetcount,text,hashtags
0,plussizewomenSA,"Soweto, South Africa",2034,20818,8030,Sat May 16 18:11:05 +0000 2020,3,"This time last year I was unemployed suffering from depression this year am in good and healthy space, depression free and iam working ❤❤ God never fails. Pray until something happens 

#day51oflockdown #utatakho #Covid_19 https://t.co/U7a46MG3q5","['day51oflockdown', 'utatakho', 'Covid_19']"
1,BigPauly4,"Brakpan, tsakane ",869,558,840,Sat May 16 18:15:04 +0000 2020,0,@Soso36288472 @tboseZA This It's what boring @tboseZA same play list where ever you hope after lock down or covid-19 you'll change it 🙄🙄🙄▶️,[]
2,Lindoku31847637,South Africa ,83,56,385,Sat May 16 18:17:47 +0000 2020,0,Going back to the norm is the mission. #WeAreCPUTMedia #coronavirus #COVID_19 #WeAreCPUT,"['WeAreCPUTMedia', 'coronavirus', 'COVID_19', 'WeAreCPUT']"
3,DominicVeloci8,"Johannesburg, South Africa",2490,810,6831,Sat May 16 18:18:46 +0000 2020,0,"@BlessingsRamoba There is never gonna be “ after covid19, let it sink in your head, covid19 is here to stay !",[]
4,jamescapetown,"Cape Town, South Africa",22,8636,222844,Sat May 16 18:18:50 +0000 2020,7,"@AFPAfrica ➡My #periscope live broadcast with @DrifterBrewing owner ""Cpt Nick"" in Woodstock #CapeTown about #BrewerySoupKitchen in collab with @wdstckbrewery folks...simply brill! 😁💥💝🍻 #food #COVID19 #stayhome #stayathome cc @SharnaFernandez @masangobridget1
https://t.co/tf2GTdHONI","['periscope', 'CapeTown', 'BrewerySoupKitchen', 'food', 'COVID19', 'stayhome', 'stayathome']"
5,namnangoku,"Johannesburg, South Africa",427,374,17805,Sat May 16 18:19:00 +0000 2020,0,"Even during COVID-19 dating is still a numbers game. Gotta widen your sample pool. Be in several talking stages and don't move nothing from the DMs to WhatsApp let it stay there until it announces itself.

Pandemics will end sisodwa! This is true wilderness!",[]
6,NeethlingDianne,Gauteng,52,25,1442,Sat May 16 18:23:10 +0000 2020,0,"Isn’t it so amazing!!
God didn’t make any mistakes. He gave us the perfect army for this virus - don’t be fooled! Just look after it...Imsyser health. 
Corona Virus Electroceutical https://t.co/TXwZhBsyKE via @YouTube",[]
7,ImsyserHealth,Pretoria,3422,1187,8913,Sat May 16 18:24:06 +0000 2020,0,"Isn’t it so amazing!!
God didn’t make any mistakes. He gave us the perfect army for this virus - don’t be fooled! Just look after it...#Imsyser #health. 
Corona Virus Electroceutical https://t.co/V9z4VSazUt via @YouTube","['Imsyser', 'health']"
8,JustineLimLaw,Joburg,3526,6214,139038,Sat May 16 18:28:17 +0000 2020,1,"Thank goodness for the courts.
This is such a blot on the government’s #Covid-19 copybook.
Much worse than the silly roast chicken regs.
Our disgraceful head of the @SANDF and #Cele of the @SAPServices ought to tender their resignations in the face of such a judgment. https://t.co/4DNwZyeelg","['Covid', 'Cele']"
9,mantsha,South Africa,489,3038,4297,Sat May 16 18:35:33 +0000 2020,0,"We need to help people move from consuming teaching content to engaging a personal, spiritual journey to follow and become like Jesus. https://t.co/HGZrkCy0eL",[]
10,AvronN_Beaumont,"Cape Town, South Africa",237,416,12313,Sat May 16 18:39:06 +0000 2020,0,@Lindyyay It looks like the thing that started Corona 😭😭😭 https://t.co/lLMYouzfza,[]
11,advmofokeng1,"Nigel, South Africa",2072,738,11795,Sat May 16 18:39:31 +0000 2020,0,The most beautiful thing today #lockDownSouthAfrica #Covid19 https://t.co/VmQNryk3bB,"['lockDownSouthAfrica', 'Covid19']"
12,MatthewJamesSA,South Africa,329,231,1444,Sat May 16 18:42:39 +0000 2020,0,Are you looking for advice on how to create digital content? Aspiring to be an influencer? Or interested to see how the industry will be affected by Corona Virus? Or you’re just a super fan of these industry mavens?… https://t.co/FY4qYuEUwh,[]
13,LevisonTv,South Africa Randburg,4474,4764,5780,Sat May 16 18:48:06 +0000 2020,0,"Watch until the end. 
#COVID19inSA #Covid19Zim #covid19kenya #covid19nigeria #covid19Malawi #covid19ghana https://t.co/HIR3yxwajL","['COVID19inSA', 'Covid19Zim', 'covid19kenya', 'covid19nigeria', 'covid19Malawi', 'covid19ghana']"
14,thabiso_sibi,,691,160,2342,Sat May 16 18:49:31 +0000 2020,0,"@FloydShivambu They r afraid to open parliament because the parliament is situated on the epicenter of Covid 19 n where  racism is the order of the day, Stellenbosch city is situated there where they take orders from, once you closed Parliament CT they will be exposed when they visit..keo taba",[]
15,Thatohatsi,Polokwane and Pretoria,1449,7231,57456,Sat May 16 18:50:30 +0000 2020,1,831 new cases!!! We are slowly headed to over 1k per day 🙆🏽‍♀️🙆🏽‍♀️😭😭 #COVID19SA,['COVID19SA']
16,ItumelengMekoa,"Thaba Nchu, Mahikeng",3342,714,5669,Sat May 16 18:50:43 +0000 2020,0,"@Time2Coach @RediTlhabi And you never even saw them on media talking statistics, recoveries or deaths, they had their fingers on the pulse, knowing very well what to do, eyes on Covid nothing else and now see the results. Their football is even going ahead next week🚶‍♂️",[]
17,TowardsUhuru,South Africa,2137,2157,24246,Sat May 16 18:55:32 +0000 2020,0,"@COVID_19_ZA Why are those numbers lower than the ones the Western Cape released today?

The Western Cape reported more than 950 new cases today.",[]
18,GANDI_EDMOND,"Pretoria, South Africa",1735,2022,53069,Sat May 16 18:56:22 +0000 2020,0,Are we going to live with this #Covid19,['Covid19']
19,TashingaMTK, 🇿🇼🇿🇦🌎,863,4048,55269,Sat May 16 18:56:57 +0000 2020,1,"I need to be in the club. Tonight. 

Not after Corona. Tonight",[]
20,I_Am_Bingwa,"Pretoria, South Africa",2508,1058,16749,Sat May 16 18:58:41 +0000 2020,0,831 Covid-19 new cases,[]
21,NorthWestDOH,"Mafikeng, South Africa",10015,15280,4705,Sat May 16 19:00:07 +0000 2020,19,"#COVID19| The total number of confirmed COVID-19 cases in South Africa is 14 355 with 831 new cases identified in the last 24 hours.North West has 64 cases. EC and WC combined comprise 91% of the new cases The total number of recoveries to date is 6478, of which 28 is in N West. https://t.co/VUtYaDVwod",['COVID19']
22,ZimasaMatiwane,,757,7676,53877,Sat May 16 19:00:25 +0000 2020,3,Lastest on #COVID19inSA https://t.co/tntexP5Adf,['COVID19inSA']
