,username,location,following,followers,totaltweets,tweetcreatedts,retweetcount,text,hashtags
0,Edulamoney,South africa,1515,1282,11953,Mon Mar 23 21:13:44 +0000 2020,0,@DegreatMurster Last year they ate bats and then came Covid19... Now it's dogs we gonna have dogmore20... 😔😔,[]
1,Candytsamandebe,South Africa,1769,14759,12651,Mon Mar 23 21:14:13 +0000 2020,0,#StillHere riya lebowa Mr. President president_ramaphosa_official rilidwile #MrPresident #COVID19 #Ghizwazweo @ South Africa https://t.co/gTTuIyQM8O,"['StillHere', 'MrPresident', 'COVID19', 'Ghizwazweo']"
2,Kevindaniels261,"Johannesburg, South Africa",857,2697,2456,Mon Mar 23 21:15:35 +0000 2020,0,@MOWGALE Lol we don’t have to say anything Corona’s got us covered hahahah,[]
3,BhekiSithole_SA,Mhlabuyalingana|Stanger|DBN📍,9291,11275,72927,Mon Mar 23 21:16:18 +0000 2020,0,COVID 19 - 21 days https://t.co/fH9QAn8Xpv,[]
4,Sp37Mike,"spain, with a silent s. ",2790,2902,15526,Mon Mar 23 21:19:09 +0000 2020,1,"tomorrow isn’t promised. send nudes today. 
coronavirus 3:17.",[]
5,romeomthoko_,Durban/Vancouver.,2518,2417,9745,Mon Mar 23 21:20:08 +0000 2020,0,"CORONA didn't know where South Africa is located until the whistle girl made noise😒

 #Covid_19SA",['Covid_19SA']
6,Miss_Phiwo,South africa,713,507,5838,Mon Mar 23 21:20:19 +0000 2020,0,Kuthiwa people are already lined up outside supermarkets 🤷🏽‍♀️🤷🏽‍♀️ ave ningezwa kodwa yaz ... they said twice there is no need for stock pilling #CoronavirusInSA #Covid19SA,"['CoronavirusInSA', 'Covid19SA']"
7,gilesgriffin,Cape Town,128,69,1056,Mon Mar 23 21:21:14 +0000 2020,0,"Life-changing speech for all South Africans. 21-Day lockdown ahead. Turmeric, lemon, ginger and honey to keep the Enemy at bay. Let battle commence. May a better world win.  

#covıd19 #covid19southafrica… https://t.co/p8vsf0BjrX","['covıd19', 'covid19southafrica']"
8,mthokozisi_2850,"Newcastle, South Africa",1555,1345,10910,Mon Mar 23 21:21:34 +0000 2020,0,"A call for prayer to all prayer warriors for the next 21 days 

#Covid_19SA #LockdownSA #shutdownsouthafrica","['Covid_19SA', 'LockdownSA', 'shutdownsouthafrica']"
9,Bhayi_zikode,"Sebokeng, South Africa",710,401,10601,Mon Mar 23 21:22:12 +0000 2020,1,At this point Ntate Rea Kopa...#Covid_19SA https://t.co/Uol9LLj0Wj,['Covid_19SA']
10,kayraalebelo,,1340,3265,14223,Mon Mar 23 21:22:21 +0000 2020,1,"Please watch The Contagion movie.
You’ll see everything we’re going through now with Covid-19",[]
11,Dr_DeanAllen,"Somerset, Spain & South Africa",8381,10027,7396,Mon Mar 23 21:22:38 +0000 2020,0,This is a critical time for all South Africans and citizens of the world. Let’s ALL play our part! 🙏💕 #coronavirus #covid19 #SouthAfrica @GovernmentZA @PresidencyZA #LockdownSA #LockdownNow https://t.co/r4ViuRevW0,"['coronavirus', 'covid19', 'SouthAfrica', 'LockdownSA', 'LockdownNow']"
12,ntohlan,"Randburg, South Africa",285,480,1833,Mon Mar 23 21:23:23 +0000 2020,0,2 things that unite the world right now - Vitality running world cup and Covid-19. We are playing together and praying together ✊🏾,[]
13,_MistSA,Mthatha,614,1630,6433,Mon Mar 23 21:23:51 +0000 2020,0,@Boity Covid-19,[]
14,GautengProvince,"Johannesburg, South Africa",3117,236588,34864,Mon Mar 23 21:25:01 +0000 2020,73,"“The nation-wide lockdown will be enacted in terms of the Disaster Management Act and will entail the following: From midnight on Thursday 26 March until midnight on Thursday 16 April 2020, all South Africans will have to #StayAtHome”.  #Covid19SA #GautengCOVID19 https://t.co/bJt5r3m80c","['StayAtHome', 'Covid19SA', 'GautengCOVID19']"
15,GautengProvince,"Johannesburg, South Africa",3117,236588,34864,Mon Mar 23 21:25:06 +0000 2020,27,A nationwide #lockdown for 21 days is vital to protect the health and safety  of the South African public. Learn more about the lockdown and what you can do to curb the spread of Coronavirus. #COVID19SA #CoronaVirusSA #GautengCOVID19 https://t.co/sxugWzvsMN,"['lockdown', 'COVID19SA', 'CoronaVirusSA', 'GautengCOVID19']"
16,T_BuhleMoremi,South Africa,404,1096,6353,Mon Mar 23 21:26:01 +0000 2020,0,Lol we bought corona virus ? Gladys you sick. https://t.co/QcRivHi5UH,[]
17,NewsBotZA,South Africa,4993,8509,25709,Mon Mar 23 21:28:21 +0000 2020,1,"I have accordingly directed the South African National Defence Force be deployed to support the South African Police Service in ensuring that the measures we are announcing are implemented,” he said. #shutdownsouthafrica #CoronavirusInSA
https://t.co/NTMkHgyaJL","['shutdownsouthafrica', 'CoronavirusInSA']"
