,username,location,following,followers,totaltweets,tweetcreatedts,retweetcount,text,hashtags
0,SunOfAfrica4,,14749,50960,11638,Thu May 07 19:07:28 +0000 2020,1,"Latest COVID-19 statistics

Cases: 8 232
Recoveries: 3153
Deaths: 161

Provincial breakdown:

EC: 929 
FS: 134
GP:1804
KZN: 1204
LMP: 41
MP: 59
NW: 40
WC: 3994
NC: 27",[]
1,tienie47,South Africa,3506,1293,16901,Thu May 07 19:08:26 +0000 2020,1,"Check if they dont pay you
https://t.co/qknwqd2wjj",[]
2,Nazkar13,Lenasia,594,471,3594,Thu May 07 19:12:45 +0000 2020,0,"Please note, for safety reasons we are only working by appointments.
A wide variety of tyres still available.
COVID-19 Office hours - Mon-Fri: 9am-4pm
(closed @11:30am to 2pm on Fridays)* 
Sat: 8:30am-12:30pm. (SUN:… https://t.co/f79WbejrH2",[]
3,AidMembers,"Johannesburg, South Africa",25,15,319,Thu May 07 19:14:49 +0000 2020,0,Health economics &amp; Covid convolutions https://t.co/uC7Amk4cZ1 https://t.co/sX6PrMa4Gb,[]
4,VijayShadean,South Africa,29,2767,67226,Thu May 07 19:17:15 +0000 2020,2,"@Unathi_Kwaza Why are Traditional Healers so quick to 'jump the gun' here?

Where is their cure for TB HIV/AIDS Malaria Pneumonia?

Now suddenly they working on a cure for #Covid_19.

Trying to give Madagascar a run for their money?",['Covid_19']
5,veebz26,"Johannesburg, South Africa",107,90,2417,Thu May 07 19:17:39 +0000 2020,0,"This culture of killing, raping, physically hurting others, walking around naked, posting naked stuff, being vulgar,etc. 

We need God to step in,and if His way of stepping in is Covid 19, then let Hos will be done. We act as if he didn’t give us the greatest sacrifice 💔",[]
6,S_Fluxx,"Johannesburg, South Africa",717,4630,121031,Thu May 07 19:20:08 +0000 2020,2,"Yoh this is bigger than us unfortunately, COVID-19 just sifts the faults in our system. #Covid19MojaLove https://t.co/hui4wQ7lLe",['Covid19MojaLove']
7,Vasthoe,Cape Town,452,588,1345,Thu May 07 19:30:31 +0000 2020,1,SA is the most unequal society in the world according to @WorldBank. The current stats on COVID-19 expose this saddening reality especially in the Western Cape. As painful as this reality is; it also serves as a catalyst for change. Let's play our part. https://t.co/AXRJDly8iV,[]
8,simphiwes147,,4611,2744,21177,Thu May 07 19:33:51 +0000 2020,0,Ayeye Coronavirus 'CAN be sexually transmitted' - as scientists find traces in semen https://t.co/3rcVU3KROI,[]
9,JeffreyMajeff,"Pretoria, South Africa",1319,874,12920,Thu May 07 19:34:29 +0000 2020,0,"#CoronavirusInSA__UPDATE
The total number of confirmed COVID-19 cases is 8232 in Mzansi.

8 more COVID-19 related deaths: 2 from KZN and 6 from Western Cape. This brings the total national deaths to 161.

A total of 292 153 tests have been conducted to date with 12 774 tests done",['CoronavirusInSA__UPDATE']
