,username,location,following,followers,totaltweets,tweetcreatedts,retweetcount,text,hashtags
0,Ruraltarain,Ga Molekwa-Lephalale-Pretoria,8778,9122,51173,Wed Apr 22 19:42:50 +0000 2020,0,"But then again how are you sure that the area is totally free of #Covid_19 &amp;which measures will be implemented, in some cases teachers of those pupils don't necessarily stay in those villages, For instance again (in Ga Molekwa) Rakhudubane Secondary&amp; Mahloma primary school 60%...",['Covid_19']
1,Fikile_,"Mossel~bay, South Africa",1054,239,2554,Wed Apr 22 19:44:49 +0000 2020,0,Well done South Africa #Covid19SA https://t.co/68doIY2oRy,['Covid19SA']
2,Ruraltarain,Ga Molekwa-Lephalale-Pretoria,8778,9122,51173,Wed Apr 22 19:45:19 +0000 2020,0,"(a discussion for other time how village clinics are run poorly by Dept of health in Limpopo, clinics that ran out of Panado&amp;give our people expired pills but always have rub rub!)
#Covid19SA is merely exposing the 
26 years spends people rejecting village Schools @PresidencyZA",['Covid19SA']
3,Chrisvb700,"Pretoria, South Africa",3962,12510,123243,Wed Apr 22 19:46:23 +0000 2020,65,Read the titles of the books from the top left onwards 📚 #COVID__19 #StayAtHome 🔍 🏠 👏 🙃 https://t.co/XfmZwT0IPg,"['COVID__19', 'StayAtHome']"
4,BNjalo_artist,"London, England",5000,4023,15617,Wed Apr 22 19:46:57 +0000 2020,1,#Corona is coming for everything 💔 https://t.co/I5tqpsLsr0,['Corona']
5,flickris,"Pinetown, South Africa",1707,1203,63769,Wed Apr 22 19:54:01 +0000 2020,0,@PJF1addict Covid19 not Coronavirus sang to the tune of Istanbul not Constantinople,[]
6,StefanusSnyman,"Cape Town, South Africa",393,338,1099,Wed Apr 22 19:56:26 +0000 2020,0,I passed 6 Golden Arrow buses today with not one passenger wearing a mask. How can Golden Arrow allow this? @alanwinde Coronavirus: 2 employees of Golden Arrow bus company in Cape Town test positive https://t.co/Tzi9P4FKqr,[]
7,profpmoyo,East London & Bulawayo,1113,757,874,Wed Apr 22 20:00:41 +0000 2020,0,"Academic research on #COVID-19 now being commissioned in UK. Next year, this time, we will be citing global North scholars on #COVID-19 issues. Very difficult for Global South to immediately commission such well-funded research. https://t.co/0WU2xq4zKV","['COVID', 'COVID']"
8,niyialimi,Here and there,9984,10652,9218,Wed Apr 22 20:01:42 +0000 2020,1,Covid19 vaccine https://t.co/C2WYK2MaAW,[]
9,Maliqo,,3466,1195,34194,Wed Apr 22 20:02:07 +0000 2020,0,"Black people who were bragging in these tweeter streets showing us their tender document, stuck of cash. Some even made +25K a day.But will be the first in the line to apply for this #CoronavirusInSA #Covid19SA  business relief funds. One wonder are they really desperate for it🤷","['CoronavirusInSA', 'Covid19SA']"
10,covertony,Cape Town,1901,3573,32456,Wed Apr 22 20:02:41 +0000 2020,0,@realDonaldTrump And now for a bit of deflection from the COVID stuff up.,[]
11,NdlondloNtombi,Hillcrest ,2021,584,2418,Wed Apr 22 20:02:42 +0000 2020,0,#Covid19SA  at the Bluff! https://t.co/AuzfV9XXPq,['Covid19SA']
12,DennisNknyne,South Africa Manyiseni,352,203,4121,Wed Apr 22 20:03:12 +0000 2020,0,"KZN have 758 People with #Covid19SA 151 recoveries and 25 deaths and yet I haven't seen any gorvement official at my village beside SANDF and SAPS, to the  @PresidencyZA are we people of Emanyiseni under Umkhanyakude around Ingwavuma South Africans or we have our own country.?",['Covid19SA']
13,KhayaJames,JHB,4580,46498,136169,Wed Apr 22 20:03:43 +0000 2020,0,"#EarthDay What about sunrise
What about rain
What about all the things that you said
We were to gain
What about killing fields
Is there a time
What about all the things
That you said were yours and mine.... Earth Song. We will defeat Coronavirus. #COVID19","['EarthDay', 'COVID19']"
14,tbotouch67,Mahikeng/Johannesburg.SA,1141,2284,6384,Wed Apr 22 20:05:47 +0000 2020,0,@Red__Mos It is something than..R0.00..remember its relief #COVID19 not a pay for a job,['COVID19']
15,LeboMashia,"Kwa-Thema, South Africa",2737,5124,32224,Wed Apr 22 20:07:02 +0000 2020,1,"But Honestly @SAPoliceService
Are Playing With Our Fellow Black South Africans
 #CovidNurseStayAway #EarthDay2020 #EarthDay #earthquake #Covid_19 https://t.co/aqmaSWJXDO","['CovidNurseStayAway', 'EarthDay2020', 'EarthDay', 'earthquake', 'Covid_19']"
16,BravoThabangl,"Johannesburg, South Africa",918,1911,4926,Wed Apr 22 20:07:07 +0000 2020,0,Cooking corona https://t.co/Kp3ZyFdSh2,[]
17,LeboMashia,"Kwa-Thema, South Africa",2737,5124,32224,Wed Apr 22 20:07:59 +0000 2020,3,"This Is Not Right 😭
Now We're Being Abused In Our Own Private Property's. Beating Us Is Part Of The @SAPoliceService Job? 🤔 🤔 
#cyrilramaphosa #malambane #Extension #COVID19 #lockdown https://t.co/DrQYizzxhL","['cyrilramaphosa', 'malambane', 'Extension', 'COVID19', 'lockdown']"
18,devikhumalo,"South Africa,Johannesburg",2908,2900,20243,Wed Apr 22 20:11:16 +0000 2020,0,Great initiative from #Isibaya in making awareness of the coronavirus. I'm sure people will start taking this seriously.,['Isibaya']
