,username,location,following,followers,totaltweets,tweetcreatedts,retweetcount,text,hashtags
0,Thr3eGod,"East London, South Africa",102,1914,176895,Mon Jun 01 17:32:23 +0000 2020,0,I WONDER IF CORONA KNOWS YOU'RE ON LEVEL 3 OR ITS STILL BUISNESS AS USUAL,[]
1,nj_ayuk,,595,206830,10301,Mon Jun 01 17:33:29 +0000 2020,6,"This ongoing pandemic goes beyond the oil sector and we are call for broad support for #SouthSudan, its workers and refugees. Short-term relief is critical to the country, especially when it comes to alleviating the economic pain caused by the pandemic.
https://t.co/9Z08k67EZ8",['SouthSudan']
2,gwendavies12345,,624,237,24980,Mon Jun 01 17:36:14 +0000 2020,5,@NEVILLE71337654 #COVID19 crisis is not as bad economically as 2008 Banking Crisis. Thanks to @RishiSunak s generous help we will survive. Our businesses will bounce back. But the last crisis left #ukmortgageprisoners held hostage overcharged with reckless interest only mortgages then repossessed https://t.co/8Ql5cRmF4Y,"['COVID19', 'ukmortgageprisoners']"
3,AxKayoka,"Johannesburg, South Africa",650,725,53614,Mon Jun 01 17:52:36 +0000 2020,0,@Mzz_Kocky That time I thought 5 hours was enough time for the exam. I’m certain the Covid-19 question was 5 hours alone 🤣,[]
4,TrevorTwizzy,- Joburg/Pretoria,296,2817,41618,Mon Jun 01 17:53:22 +0000 2020,0,"💭💡 #Quarantine #Covid_19

Tory Lanez said “They re - opening the country because they losing money ... not because it’s safe outside”

Anele Mdoda said “Corona is not over, they just have a bed for you now”","['Quarantine', 'Covid_19']"
5,Cfengwong1960,South Africa,71,267,12620,Mon Jun 01 17:55:29 +0000 2020,1,"Southern masked weaver 
#LockdownSA #StayhomeSA #Covid19 #PictureOfTheDay
#arizona #woodpecker #nature #wildlife #birds #birding #LockdownBirding #birdwatching #photography #BirdTwitter #naturephotography #birdphotography #WeLoveSouthAfrica #SouthAfrica https://t.co/AbjNd2Ow29","['LockdownSA', 'StayhomeSA', 'Covid19', 'PictureOfTheDay', 'arizona', 'woodpecker', 'nature', 'wildlife', 'birds', 'birding', 'LockdownBirding', 'birdwatching', 'photography', 'BirdTwitter', 'naturephotography', 'birdphotography', 'WeLoveSouthAfrica', 'SouthAfrica']"
6,JonLai_ZA,"Theresapark , South Africa",391,130,2529,Mon Jun 01 17:57:20 +0000 2020,0,Covid-19 is not doing the job so they had to bring back a favourite of theirs. #Ebola,['Ebola']
7,CapeTownFreeway,Cape Town //\/¯¯¯\/\,14,56115,223100,Mon Jun 01 18:04:16 +0000 2020,1,"223477: Crash on R300 Southbound after Ramp from Stellenbosch Arterial M12. All lanes open. No Delays, #CoronaVirusSA#StayHomeSaveLives#StayHomeStaySafe#itCanWait https://t.co/pjo87DEEIG",[]
8,thaso77,Consummate Proffessional! ,2891,1760,12481,Mon Jun 01 18:05:01 +0000 2020,0,"#Level3 #level3lockdown #COVID19 
All I want is WINE! 🍷","['Level3', 'level3lockdown', 'COVID19']"
9,discover_simpea,"Cape Town, South Africa",1200,2272,15556,Mon Jun 01 18:09:30 +0000 2020,4,"Okay, so not only do we have coronavirus to worry about here in Africa but now we have #Ebola too ? https://t.co/it2N68OIaa",['Ebola']
