,username,location,following,followers,totaltweets,tweetcreatedts,retweetcount,text,hashtags
0,MabaleeZeebee,Johannesburg,1224,1275,84138,Tue May 12 18:35:57 +0000 2020,0,"@LoudMouthedChic I can imagine 🤣🤣🤣 . For my own sanity,  I'll wait a while before going on there cause wow. I just can't. Imagine being asked if you don't understand English or are just stupid by someone who believes that people die from diabetes and high blood pressure and not Covid 19.😱",[]
1,sandidakar,South Africa,4813,4129,47280,Tue May 12 18:40:04 +0000 2020,6,"Unlawful searches and arrests during lockdown. Good to know. Know your rights. Although do they count in a totalitarian or police state! 

#LockdownSA #Covid19SA #COVID19SouthAfrica #SouthAfricaLockdown #Covid_19SA https://t.co/cZrzlMW69c","['LockdownSA', 'Covid19SA', 'COVID19SouthAfrica', 'SouthAfricaLockdown', 'Covid_19SA']"
2,ASHOKKPUNDIT,"Pretoria, Gauteng South Africa",56,131,4628,Tue May 12 18:41:44 +0000 2020,1,Had the pleasure of Working with this brilliant legal mind #AdvTerryMotauSC. Great decision by our Minister @LindiweSisuluSA to appoint a giant in the legal fraternity💪@PresidencyZA @CyrilRamaphosa #StayHomeSA #Covid_19 #Covid_19 https://t.co/kBye1jkDKD https://t.co/SEvsGcnJ1w,"['AdvTerryMotauSC', 'StayHomeSA', 'Covid_19', 'Covid_19']"
3,Mister_Booizen,South Africa,1346,1196,25232,Tue May 12 18:42:17 +0000 2020,0,"@CastleLagerSA survived the Spanish flu, 2 world wars and apartheid so this corona will also pass. We shall overcome. https://t.co/cQcsDMOckF",[]
4,jonnie_josh,Gym ,340,257,2116,Tue May 12 18:43:35 +0000 2020,0,Who else misses uber drivers counselling. Abo counsellors are on holiday. They will be overwhelmed by lockdown stories post this Covid,[]
5,theo_makgopa,"Diepkloof, South Africa",1253,2095,40354,Tue May 12 18:44:09 +0000 2020,1,"A re ask China why people are dying from covid19 💀💀💀😂😂, and the lady happened to be Chinese 😭😭 https://t.co/ejh5sLANdA",[]
6,Ntsetsana,Mokopane | Pretoria,8306,7619,8204,Tue May 12 18:48:04 +0000 2020,0,@SeholeMatlhatsi I really don’t trust anything to do with Covid now,[]
7,MorakaFrans,"Tembisa, South Africa",1463,487,1903,Tue May 12 18:51:45 +0000 2020,0,"WHO has announced that traditional medicine gurus have agreed to subject their anti-COVID-19 toxic to clinical trials before trying them on the general public.
I wonder why it took them long to do this.They noticed the importance of given a try to traditional remedy. https://t.co/gDO8WgnvpR",[]
8,ntobengndo,,1065,11037,16923,Tue May 12 18:55:28 +0000 2020,0,"A new name for load shedding is ""Electricity Supply Restriction""

#CoronaVirusSA
#lockDownSouthAfrica
#Level4Regulations
# https://t.co/7cPj4pZ1rm","['CoronaVirusSA', 'lockDownSouthAfrica', 'Level4Regulations']"
9,Qessential_ZA,"Pretoria, South Africa",1186,944,6788,Tue May 12 18:55:49 +0000 2020,2,South Africans stuck in South America seem to be at their wits' end. Watch our video below to see what some of them have been going through #PutSouthAfricansFirst #Covid_19 https://t.co/bzmDuebEiU https://t.co/G882sLIrUF,"['PutSouthAfricansFirst', 'Covid_19']"
10,ambassadorsoc,Khaylitsha in Makhaza,6,42,24,Tue May 12 18:55:53 +0000 2020,0,"Ambassadors Of Change has suspended its program of skills development initiatives to respond to urgent community needs related to food, energy security and health information. The project allows for this emergency response to continue, reaching to vulnerable families #Covid19SA https://t.co/wa1lJfMwbA",['Covid19SA']
11,Muneyi_,"Venda, Limpopo",1507,3183,38894,Tue May 12 18:56:51 +0000 2020,0,"Me in 2019: I’m doing so well as a musician I’ll never go back to corporate 

Covid 19

Me now 3 hours everyday while juggling recording, producing and working: https://t.co/fySfo1MqZx",[]
12,RuanLotter,"Cape Town, South Africa",503,2562,8885,Tue May 12 18:57:40 +0000 2020,0,"This one is for all the mask haters and most Americans, especially for @realDonaldTrump - Wear a fucking mask! 😷

#Masks #covid #COVID19SA #corona https://t.co/n1xo8PRuHW","['Masks', 'covid', 'COVID19SA', 'corona']"
13,diegoi,"Pretoria, South Africa",659,279,10474,Tue May 12 18:58:22 +0000 2020,0,@ferialhaffajee @FT Important to understand the period of exposure of other countries to Covid in graph vs SA which results in there bring no excess deaths at this point in time,[]
14,AypeeM,"Durban, South Africa",957,1513,32684,Tue May 12 19:00:33 +0000 2020,0,@HombreDeHlase Well I wish there was in this Covid case and having Off days in the process.,[]
15,DominoRSA,"Durban, South Africa",250,388,697,Tue May 12 19:07:09 +0000 2020,0,"Yay we now have a @paypal acct to make it easier for our USA family &amp;  friends to support our Hope Voucher Campaign to bring aid with dignity. R410 donate online https://t.co/q3XM64D0ei via EFT, Credit Card, PayPal or Zapper https://t.co/oNTE2y5Iww
#onebodymanyparts https://t.co/eChLX4YVEn",['onebodymanyparts']
16,ambassadorsoc,Khaylitsha in Makhaza,6,42,24,Tue May 12 19:07:24 +0000 2020,0,"Ambassadors for Change. We are a youth-run organization, working across different activities to support community resilience. Currently all of our efforts are going towards supporting the most vulnerable families in Khayelitsha, Cape Town. #covid19sa #COVID19 https://t.co/HS0gGm2YNl","['covid19sa', 'COVID19']"
17,GinLedi,"Cape Town, South Africa",152,66,115,Tue May 12 19:09:02 +0000 2020,0,"@GinLedi face masks

We turned gin into sanitizers, profits into face masks, and our hands into givers.

#Covid19 has had an effect on South Africa as a whole and we at Ledi Craft Gin are part of the team that are… https://t.co/MpOni4xEyM",['Covid19']
18,Diegochuene,Pretoria ,31443,111013,52312,Tue May 12 19:11:05 +0000 2020,49,Hit a like if you agree she's  beautiful #Covid_19 #bhekicele #fruitsnackchallenge #PutSouthAfricansFirst #ScandalEtv #Abafundisi #KellyKhumalo #DstvMustFall #RealHousewives #TheQueenMzansi #LockdownSA #day48oflockdown  #Level3 https://t.co/5clRkQEqHB,"['Covid_19', 'bhekicele', 'fruitsnackchallenge', 'PutSouthAfricansFirst', 'ScandalEtv', 'Abafundisi', 'KellyKhumalo', 'DstvMustFall', 'RealHousewives', 'TheQueenMzansi', 'LockdownSA', 'day48oflockdown', 'Level3']"
19,OLekubu,,406,175,394,Tue May 12 19:11:42 +0000 2020,0,@TMayekiso @COVID_19_ZA @DrZweliMkhize Couple of times already with no luck. Also applying everywhere,[]
20,mfundodube,"Johannesburg, City of Winners",522,147,412,Tue May 12 19:14:30 +0000 2020,0,"Mfundo Projects and Services (MP-S) fighting against COVID 19 offers a Sanitizer station that offers non contact for its clients. We offer sanitizers and refill for our client needs and demands.

It’s available only… https://t.co/NaTBLtroC1",[]
21,Candl3z,"Polokwane, South Africa",632,492,8460,Tue May 12 19:17:36 +0000 2020,0,Someone in my family died of covid 🙆🏽‍♀️,[]
22,Madikela06,📍Pietersburg,6698,7328,32860,Tue May 12 19:20:47 +0000 2020,1,"@AshesD_ @therealjaphbee @OfficialPSL I blame Covid-19 😂😂😂😂😂😂😂😂

Maybe he started watching PSL games during times of Andile Jali and Manyisa after he stoped watching it😂😂😂",[]
23,ambassadorsoc,Khaylitsha in Makhaza,6,42,24,Tue May 12 19:24:53 +0000 2020,0,"21 April 2020
AoC in partnership with @OneofeachSA donated masks to Street vendors, Bolts drivers, Taxi drivers and AoC Team to strengthen our work with safety measures 
#AOCresponseCOVID19
#StopFakeNews #COVID19
#StayAtHome

Do It For Them, With Them https://t.co/HZIkokzTql","['AOCresponseCOVID19', 'StopFakeNews', 'COVID19', 'StayAtHome']"
24,LeeRoy_Chetty,"Washington, DC",1170,1017,10104,Tue May 12 19:25:31 +0000 2020,0,"Interesting TIPS brief theorising #SouthAfrica Gov needs a large response to the #COVID19 crisis, with a package that approaches R1 trillion. Paper argues that inadequate stimulus risks turning a recession into a depression. 

✍🏽 https://t.co/K5ZNuh7q1n","['SouthAfrica', 'COVID19']"
25,bethwellt,Pretoria,771,451,3807,Tue May 12 19:30:07 +0000 2020,0,@Samnaidoo5 @salpatel786 @SABCNews @Liferesponse24 @Lotusfm Car accident above is Corona death? @Samnaidoo5 learn to read b4 you respond.,[]
26,Blvck_TonyStark,"Bedfordview, South Africa",786,2666,19426,Tue May 12 19:30:51 +0000 2020,0,@bonitaonsafari @SpeQx @Thobi_M Ah now that you’ve entered the chat you might as well join. We’ll get you from Nairobi at quarter past covid o’clock 👊🏾,[]
27,maokafor,"Germiston, South Africa",1982,2205,23789,Tue May 12 19:30:56 +0000 2020,0,"@cesc4official Like Mesuit Ozil suggested, it's time to give covid-19 a red card.",[]
28,kevinleosmith,Hoedspruit,376,1680,42296,Tue May 12 19:31:17 +0000 2020,0,1/2 #COVID19SA  chart showing R zero number which is way more important than the other stats the media headline. If R &lt; 1 then new cases will decline until zero. If R &gt; 1 then numbers will continue to increase. We started at 5.5 &amp; are now at 1.27 &amp; it’s not changing much. https://t.co/lahDDs9HFb,['COVID19SA']
29,kevinleosmith,Hoedspruit,376,1680,42296,Tue May 12 19:32:32 +0000 2020,0,2/2 #COVID19SA therefore the numeric rises are a fairly constant percentage rise which means it’s not running out of control and hardly changed from level 5 to 4. https://t.co/HBkOE5Un0n,['COVID19SA']
30,TowardsUhuru,South Africa,2137,2157,24246,Tue May 12 19:33:26 +0000 2020,0,"@RGRSA Does it work though and if it does, does it work on adults given that it remains active for around 15 years?

I really don't understand this rush to open up when by all indications, there will be a major breakthrough in the treatment of Coronavirus by the end of the year.",[]
31,myforcey,South Africa,382,158,3227,Tue May 12 19:33:41 +0000 2020,0,Where are the Gupta’s? 🤔 #COVID19 #LockdownSA #government #Cigarettesban,"['COVID19', 'LockdownSA', 'government', 'Cigarettesban']"
32,LucyCorne,"Cape Town, South Africa",658,4433,26682,Tue May 12 19:34:50 +0000 2020,0,Hey Britain. Think your COVID rules are arbitrary and unfathomable? You ain't got nothing on South Africa... https://t.co/wxfj49JM5t,[]
33,ThaboMphahlel17,,479,699,16031,Tue May 12 19:35:15 +0000 2020,0,I hope he doesn't get Corona again. https://t.co/CVi1EiYpR2,[]
34,SON_of_Fundi,Cape town south africa,3465,2903,1120,Tue May 12 19:36:21 +0000 2020,0,"Vests still available before winter 
#bhekicele #Covid_19 #PutSouthAfricansFirst #nyannyan https://t.co/AzjDiTZ9WK","['bhekicele', 'Covid_19', 'PutSouthAfricansFirst', 'nyannyan']"
35,TowardsUhuru,South Africa,2137,2157,24246,Tue May 12 19:36:22 +0000 2020,0,"@RGRSA Because God forbid, come December when we have buried tens of thousands of people, when hundreds of thousands have been gravely ill and now face a lifetime of loving with the damage to their organs that Coronavirus caused.

Aftet millions have been subjected to trauma, we find...",[]
36,clive_otis,South Africa ,812,798,20718,Tue May 12 19:37:45 +0000 2020,0,I know covid 19 is real but does anyone know a certain somebody who has the virus ? Just curious 💩,[]
37,SNdlandlama,South Africa,4929,1667,17452,Tue May 12 19:40:43 +0000 2020,3,Minister Your People Are Thirsty For Liquor #bhekicele #Covid_19 https://t.co/90uq82zZRG,"['bhekicele', 'Covid_19']"
38,adrianfunkey,,1521,411,4451,Tue May 12 19:41:21 +0000 2020,0,Time to rethink the CORONA plan. Let everyone start trading Monday to Thursday with Forbidden movement Friday to Sunday to DISRUPT THE MINGLING OF THE VIRUS. A Green Zone Plan for dense areas &amp; quarantine hotspots &amp;… https://t.co/JXH5aX1JzP,[]
39,ambassadorsoc,Khaylitsha in Makhaza,6,42,24,Tue May 12 19:41:55 +0000 2020,0,"23/04/2020 
AoC after receiving many tags and requests to help Lehlonolo Family, we did our best to where we can to put smile to their face.
AoC continue to help the needing families because we feel the same pain feeling as well. #COVID19 #Covid_19
#AoCresposeCovid19
#StayAtHome https://t.co/9PhdfoK5hS","['COVID19', 'Covid_19', 'AoCresposeCovid19', 'StayAtHome']"
