,username,location,following,followers,totaltweets,tweetcreatedts,retweetcount,text,hashtags
0,drmazwemajola,"Johannesburg, South Africa",1560,525,1058,Thu May 28 17:33:46 +0000 2020,0,The govt is dropping the ball now started well in managing the Covid-19 crises but now are sending conflicting messages it's not good at all,[]
1,WCProvParl,"Cape Town, South Africa",543,3230,7887,Thu May 28 17:34:32 +0000 2020,0,"Update on the coronavirus
28 May 2020
 
As of 1pm on 28 May, the Western Cape has 7726 active cases of COVID-19, with a total of 17286 confirmed cases and 9157 recoveries. Statement: https://t.co/TbhIoNrSRb https://t.co/ofPk94qhmf",[]
2,UNDPSouthAfrica,"Pretoria, South Africa",294,3592,3326,Thu May 28 17:35:10 +0000 2020,4,"Catch @AyodeleOdusola of @UNDP tonight btw 8:40 - 9pm (SAST) in conversation with Aayabonga Cawe on @METROFMFANS_SA talking @Africa_Kindness and #Covid19SA
| UNDP in South Africa https://t.co/B0EC4OBbKg",['Covid19SA']
3,gnocchikenyal_,,485,487,23400,Thu May 28 17:36:04 +0000 2020,0,"Kenapa amerika tingkat kematian akan covid sangatlah tinggi?? Such a big question for us, but if you guys know how american people lives you will understand :)",[]
4,kideodegroovies,kwamhlanga,3211,566,1173,Thu May 28 17:37:57 +0000 2020,0,"@YolzYako @LeighMathys I like your thinking cause people are busy saying they want alcohol yet our children are going back to school to collect covid 19,this country",[]
5,Do_The_Ncasa,"Gauteng, South Africa",945,1003,39042,Thu May 28 17:39:41 +0000 2020,0,One thing COVID-19 has shown me... there’s a market for almost ANYTHING! I’ve been thinking far to small for far too long! https://t.co/h9owQX2lXo,[]
6,mariooctober,"Cape Town, South Africa",1381,531,5207,Thu May 28 17:42:31 +0000 2020,1,"If Cyril is really smart, he'd put up a covid 19 test station at every bottle store... He'll test the entire nation in two days 😉",[]
7,drmazwemajola,"Johannesburg, South Africa",1560,525,1058,Thu May 28 17:42:50 +0000 2020,0,According to the acting DG Anban Pillay there is currently backlog of 80000 tests for Covid-19 but the minister of health says only 30000!,[]
8,antoragaz,Johannesburg ,1534,497,2688,Thu May 28 17:48:25 +0000 2020,0,"A warm soup distributed by volunteers to the kids living in the informal settlement Kathrada Park , Newclare,  Johannesburg 
*
*
#solidarity #Coronavirus #covid_19 #winter #kidsinneed #documentary #photojournalism… https://t.co/Opug3NEb5S","['solidarity', 'Coronavirus', 'covid_19', 'winter', 'kidsinneed', 'documentary', 'photojournalism']"
9,StellenboschUni,"Stellenbosch, South Africa",781,69750,11839,Thu May 28 17:51:08 +0000 2020,2,"The #COVID19 pandemic has also damaged the mental well-being of many. This damage may be hard to reverse without prompt action. Coupled with the social isolation the pandemic can to lead to new episodes of mental illness for many South Africans. 
https://t.co/DqbCpNQNA0 https://t.co/0ERLQDFdfI",['COVID19']
10,SMukwakungu,"Johannesburg, South Africa",5520,5254,25553,Thu May 28 17:58:14 +0000 2020,0,"@Ntate_Fizz Feedback is given when you submit the test...

Eish... COVID-19 made us change the nature of the course last minute. 

Yours truly is not at liberty to say https://t.co/DZsgUF8Oqg",[]
11,__arnoldi,"Johannesburg, South Africa",2425,4529,14473,Thu May 28 18:07:23 +0000 2020,0,"People are getting evicted at my building, coronavirus messed up people lives",[]
12,GORGYZN,"Pinetown,DURBAN.",4996,2168,4375,Thu May 28 18:10:16 +0000 2020,0,"@LungaMahlati aybo nam mfethu, @BABESWODUMO we miss, awsenzi ne mistake encane about COVID-19 sikubone. https://t.co/Djz3O5PTio",[]
13,corne06946803,Free State/Western Cape,3039,1747,16804,Thu May 28 18:12:38 +0000 2020,0,@BlessingsRamoba @DlaminiZuma @eNCA She must get herself tested for covid19,[]
14,socialbugsmm,"Pretoria, South Africa",403,32,519,Thu May 28 18:14:49 +0000 2020,1,Has the Coronavirus memes and the funny news broadcasts (on all social media platforms) entertained you during lockdown so far?,[]
15,Zikode74441557,Thokoza ,634,533,9450,Thu May 28 18:17:12 +0000 2020,0,Somebody pass #BlackCoffee i hand sanitizer #Covid_19SA,"['BlackCoffee', 'Covid_19SA']"
16,mokala50,South Africa,344,103,4527,Thu May 28 18:20:57 +0000 2020,0,@DrIshMoukangwe @ZandileThembek1 @robzinterris @MbuyiseniNdlozi Isn’t the problem that no matter what we do our “work” will take ages to be certified and accepted? Just be on the watch out how fast a coronavirus vaccine will be signed off. If the same happened to HIV candidates we would be somewhere,[]
17,brendadavids9,Capetown South Africa,337,317,14401,Thu May 28 18:22:13 +0000 2020,0,"Not been feeling well these pass few days,loosing close colleagues due to covid...but always here to support 
#WelcomeBayYanlis",['WelcomeBayYanlis']
18,slo_tjela,bloemfontein,268,276,2709,Thu May 28 18:23:23 +0000 2020,0,ignorance is going to kill a lot of black folks... this covid shit is really tiring... https://t.co/rFKa0uorIR,[]
19,MRJAZ11,"Cape Town, South Africa",5003,1506,28489,Thu May 28 18:25:40 +0000 2020,0,"@Covid_Zero repost:

A one-of-a-kind performance...a moment that went down in history and was captured on film...Don't forget to grab your tickets for the breath-taking Sipho 'Hotstix' Mabuse👏

Direct booking… https://t.co/daYCirgMTF",[]
20,Poto_Answer,East Rand | Moletlane | Sosha,1916,2030,27539,Thu May 28 18:27:50 +0000 2020,0,"Its Gonna Be Students Leaving The Campus @Official_TUT After The 3rd Of August 2020, Van Staden Is Taking Us For A Ride And I Guess He Forgot How We Do Thing's, Maybe This Covid Has To Do With That Nonsense Communique Of His #TUTMUSTFALL He Must Come Down To Earth. https://t.co/JoQ02IIvDY",['TUTMUSTFALL']
21,MRJAZ11,"Cape Town, South Africa",5003,1506,28489,Thu May 28 18:28:29 +0000 2020,0,"@Covid_Zero repost:

A one-of-a-kind performance...a moment that went down in history and was captured on film...Don't forget to grab your tickets for the breath-taking Sipho 'Hotstix' Mabuse👏

Direct booking… https://t.co/et0lFTvQCu",[]
22,RealPastorBen,,2010,612,792,Thu May 28 18:28:44 +0000 2020,0,"#JusticeForGeorgeFloyd 
#BlackLivesMatter 
#الحالات_اليوم 
#فك_الحظر 
#井上瑞稀 
#GeorgeFloyd 
#فوال_الطايف 
#BLACKPINK 
#malamjumat 
#MinneapolisPoliceMurderdHim 
#malamjumat 
#حظر_كامل 
#Trump 
#Covid_19SA 
#COVID19 
#Covid_19 
#AfricanAmericans 
Justice for all murdered blacks https://t.co/WN5H7Ln13a","['JusticeForGeorgeFloyd', 'BlackLivesMatter', 'الحالات_اليوم', 'فك_الحظر', '井上瑞稀', 'GeorgeFloyd', 'فوال_الطايف', 'BLACKPINK', 'malamjumat', 'MinneapolisPoliceMurderdHim', 'malamjumat', 'حظر_كامل', 'Trump', 'Covid_19SA', 'COVID19', 'Covid_19', 'AfricanAmericans']"
23,jacquescupido12,"Calvinia, South Africa",2586,3107,70885,Thu May 28 18:29:02 +0000 2020,0,Good evening comrade @DlaminiZuma and @the_dti  @GovernmentZA @GCISMedia @NationalCoGTA @DrZweliMkhize @HealthZA . You haven’t told people that they must use their own glass when using alcohol from Monday. Sharing glasses will make #Coronavirus spread very quickly,['Coronavirus']
24,theo_venter,Potchefstroom,1058,4920,10155,Thu May 28 18:31:06 +0000 2020,0,"#COVID19 2018 and 2018 was the year of State Capture and Brexit and impeachment; 2020 introduced new language such as PPE, VC (video conferencing), Zoom, self-isolation, social distancing, and flatten the curve and Corona!",['COVID19']
25,alan_cullum,Pretoria,23,28,2943,Thu May 28 18:33:47 +0000 2020,0,"@waldimar ""There is zero evidence that smoking will propagate or increase transmission of COVID-19."" -Dr Konstantinos Farsalinos, Cardiologist and anti-smoking researcher https://t.co/L0UXc9NbQ6",[]
26,alan_cullum,Pretoria,23,28,2943,Thu May 28 18:34:04 +0000 2020,0,"@DeanMacpherson ""There is zero evidence that smoking will propagate or increase transmission of COVID-19."" -Dr Konstantinos Farsalinos, Cardiologist and anti-smoking researcher https://t.co/L0UXc9NbQ6",[]
27,trinity_k94,"Pretoria, South Africa",1233,1067,12017,Thu May 28 18:35:05 +0000 2020,0,"It will all end up in tears like Coronavirus... Kuzofa umuntu, Emma girl you will die just like the rest. #TheRiver1Magic",['TheRiver1Magic']
28,eniemol,South Africa,1548,765,18283,Thu May 28 18:35:07 +0000 2020,0,Zolani started Covid19 war strue! Mmmmmaaaaaawwwwwweeeeeeee..... #TheRiver1Magic ....... @1MagicTV itjooooooooooo @S_Dlathu killed it again today 🥂🥂🥂🥂🥂🥂.... Damnnnnnnnnnnnnnnn! Can't wait for tomorrow......,['TheRiver1Magic']
29,alan_cullum,Pretoria,23,28,2943,Thu May 28 18:35:08 +0000 2020,0,"@TeamNews24 @News24 @MMkhabel @SarahPeace6 @CowansView @elmienduplessis @PieterDuToit ""There is zero evidence that smoking will propagate or increase transmission of COVID-19."" -Dr Konstantinos Farsalinos, Cardiologist and anti-smoking researcher https://t.co/L0UXc9NbQ6",[]
30,alan_cullum,Pretoria,23,28,2943,Thu May 28 18:36:01 +0000 2020,0,"@News24 ""There is zero evidence that smoking will propagate or increase transmission of COVID-19."" -Dr Konstantinos Farsalinos, Cardiologist and anti-smoking researcher https://t.co/L0UXc9NbQ6",[]
31,alan_cullum,Pretoria,23,28,2943,Thu May 28 18:37:06 +0000 2020,0,"@KhayaJames @eNCA ""There is zero evidence that smoking will propagate or increase transmission of COVID-19."" -Dr Konstantinos Farsalinos, Cardiologist and anti-smoking researcher https://t.co/L0UXc9NbQ6",[]
32,gwendavies12345,,624,237,24980,Thu May 28 18:39:01 +0000 2020,4,@JulieStivvy @RishiSunak @APPGMortgage @JohnGlenUK @BorisJohnson @RishiSunak #ukmortgageprisoners are now suffering a second crisis before recovering from the last crisis. We’ve been overcharged interest but worse at the end of term banks are repossessing vulnerable pensioners homes. It’s scandalous in this #COVID19 crisis. Please legislate https://t.co/FOA0AgpiK1,"['ukmortgageprisoners', 'COVID19']"
33,Cool_Clay,"Johannesburg, South Africa",1900,1118,4139,Thu May 28 18:40:58 +0000 2020,0,"#Malema he killed me when he said the doctor cannot leave the phanga man who is a drunkard, to save a covid19 critical patient #LockdownLevel3","['Malema', 'LockdownLevel3']"
34,CityTshwane,South Africa- Gauteng,2976,462650,89404,Thu May 28 18:43:02 +0000 2020,6,"REMINDER: Since the country will be moving to #Level3Lockdown from 1 June, please make sure you wear your face mask when visiting municipal offices. #Covid19SA https://t.co/9qmlVq6zuc","['Level3Lockdown', 'Covid19SA']"
35,trinity_k94,"Pretoria, South Africa",1233,1067,12017,Thu May 28 18:44:43 +0000 2020,1,@Call_me_Surpy 🤣 🤣 🤣 She has a death wish... O lata Covid_19 a lebeletse a sena mask #TheRiver1Magic,['TheRiver1Magic']
36,HannaBensch,"Kalmar, Sverige",494,317,389,Thu May 28 18:47:52 +0000 2020,0,Forgot to tweet that last week we released the last groups of mole-rats! 242 animals from 35 groups this field season! 💪🏼 I’m so grateful for the successful trapping in these stressful weeks of #lockdown and #COVID19,"['lockdown', 'COVID19']"
37,mcdsibuyi,RSA,1607,1369,4105,Thu May 28 18:48:08 +0000 2020,0,@PresidencyZA HE @CyrilRamaphosa says the lockdown has served its purpose of delaying the spread. My question is are we really ready for the rapid spread?? #COVID19,['COVID19']
38,nelisasangotsha,"Aliwal North, South Africa ",984,1321,9342,Thu May 28 18:49:05 +0000 2020,0,Why are you so inconsistent with updating the province’s Covid-19 stats @healthecmec ??,[]
39,kustomfrogs,J-Bay South Africa,61,9,73,Thu May 28 18:50:57 +0000 2020,0,@GoliathLauren You will fall on your back when you hear voice recordings of managers in high positions with their logic of dealing with COVID-19,[]
40,Nichola61811244,,1669,455,411,Thu May 28 18:58:44 +0000 2020,0,"@PresidencyZA South Africa moves to Alert Level 3 on 1 June, let's work together to protect lives &amp; continue to observe vital social distancing &amp; hygiene practices to curb the spread of COVID-19. #COVID19 https://t.co/AnjcEPnkR6 https://t.co/gTU7iXwaOF",['COVID19']
41,RealPastorBen,,2010,612,792,Thu May 28 19:04:07 +0000 2020,0,"Unmask all racism in America. #BlackLivesMatter 
#Malema 
#JusticeForGeorgeFloyd 
#SavannaVirtualComedyBar 
#GeorgeFloyd 
#AdanYussufUnmasked 
#uzmankhan 
#ACAB 
#COVID19 
#الحالات_اليوم 
#PoojaHegde 
Why African leaders are turning  blind eye on American brutality against blacks https://t.co/RoZgemziou","['BlackLivesMatter', 'Malema', 'JusticeForGeorgeFloyd', 'SavannaVirtualComedyBar', 'GeorgeFloyd', 'AdanYussufUnmasked', 'uzmankhan', 'ACAB', 'COVID19', 'الحالات_اليوم', 'PoojaHegde']"
42,leo_moloele,Senotlelo Mpumalanga,519,613,13035,Thu May 28 19:07:06 +0000 2020,1,Just got off a phone with my priest back home. I’m happy he’s not entertaining this nonsense of opening the church. We have a leader. #ChurchIsNotEssential #COVID19 #StayHome #StaySafe,"['ChurchIsNotEssential', 'COVID19', 'StayHome', 'StaySafe']"
43,SuperKwazi,South Africa,974,317,3642,Thu May 28 19:12:35 +0000 2020,0,"280837BMAY20

Thursday 28th May 2020.
Milnerton, Cape Town, South Africa.

Day 63 COVID-19 National Lockdown. Day 28 of Level 4.

Life In Lockdown Land!

The Storm Provides!

In life mostly you’ve really got to look… https://t.co/8iyxuZjDiF",[]
44,JeanMarcMasson,South Africa,118,251,515,Thu May 28 19:13:20 +0000 2020,0,Don't buy until we inspect. From 1 June 2020 we are back in full swing. For a COVID-19 Safe Inspection contact the trusted name @JeanMarcMasson - https://t.co/2m2GAChGJ3 @ South Africa https://t.co/zDIOAToCkJ,[]
45,cuthbertjnr,South Africa,1968,1904,4374,Thu May 28 19:16:10 +0000 2020,0,"@TAMBA_TOYS @Tamika_Gondwe @ElsaAngel19 You're either one of them that attacks foreigners or choose to play ignorance! Xenophobic attacks break out every year in South Africa. If it doesn't happen this year, I'm afraid,  we will be owing that to #COVID19",['COVID19']
