,username,location,following,followers,totaltweets,tweetcreatedts,retweetcount,text,hashtags
0,Jay_Is_Fabulous,Where The Wild Things Are... ,997,1121,71494,Sun May 10 19:25:07 +0000 2020,0,Better off with those red flags 😂😂😂😂🤣🤣🤣🤞🏽 corona is RIFE https://t.co/vKqq2SusEQ,[]
1,taka_mabusi,South Africa,14425,14385,170730,Sun May 10 19:27:14 +0000 2020,0,From 300k tested only 10k have corona,[]
2,SiboSeale,ER 🏨|| Johannesburg,857,1583,37471,Sun May 10 19:27:41 +0000 2020,2,We are now at 10k Corona cases. RIP cuties😘,[]
3,ArtsSportNwpg,"Mafikeng, South Africa",1801,6285,3928,Sun May 10 19:28:03 +0000 2020,2,"The total number of confirmed #COVID19 cases in South Africa is 10 015. This represents an increase of 595 new cases from previously reported cases. North West Province has 45 cases, an increase of 4 cases. Total recoveries in the Province has increased to 23. #StayHome https://t.co/Yr6vkM4dvA","['COVID19', 'StayHome']"
4,OneNation70290,"Cape Town, South Africa",3303,4505,96189,Sun May 10 19:29:21 +0000 2020,0,"Amid Covid-19 hard lockdown, SAPS future policing plans talk of ‘stamping the authority of the state’ https://t.co/rIKdrC1fq5",[]
5,gopolang6,JOHANNESBURG/ RUSTENBURG,4433,3899,25545,Sun May 10 19:30:33 +0000 2020,0,@SLoversa @uMsotra @DrZweliMkhize Corona is not a hoax it is real stop listening to conspiracies CORONA IS REAL,[]
6,thamieza,"Cape Town, SA",2352,553,17649,Sun May 10 19:31:17 +0000 2020,0,"The virus has clearly shown just how utterly superstitious &amp; nonsensical South Africans are. 

The irrational belief in an imminent collapse of the economy, when the lockdown in place is to ensure that there ARE people post-COVID19 to rebuild this economy, is testament to this!",[]
7,DearKatli,"Midrand, South Africa",5483,5510,89313,Sun May 10 19:34:51 +0000 2020,0,"@IsaahMhlanga @thabileoka Or else, SA economy could contract by 6%-16% - which means a +-7 million individuals may lose their jobs. If the lockdown continues, SARS could lose R285 billion in revenue collection and economy could possibly shrink by further 30%. #Covid19InSA it's time to reopen the economy",['Covid19InSA']
8,heidikramer16,"Johannesburg, South Africa",4414,1080,43269,Sun May 10 19:35:14 +0000 2020,0,😷🤓 Coronavirus Pandemic (full film) | FRONTLINE https://t.co/iJJKZNHuug via @YouTube,[]
9,gopolang6,JOHANNESBURG/ RUSTENBURG,4433,3899,25545,Sun May 10 19:37:16 +0000 2020,0,@SLoversa @uMsotra @DrZweliMkhize I’m not stupid and I’m well awake.. Corona isn’t flu.. it is real..,[]
10,Mxonah_,Fourways,533,710,2644,Sun May 10 19:38:02 +0000 2020,2,If im gonna be 62 and still cheating god please feed me corona now #Uyajola99 https://t.co/JDKE0zsbHx,['Uyajola99']
11,nkambulecm,"Pretoria, South Africa",320,600,3907,Sun May 10 19:41:00 +0000 2020,0,"@Makashule Benefits are never footballing reasons! We've been saying it all along. 

Now they'll finally get a star. Only this asterisk will explain ""season abandoned due to Covid-19, Championship awarded as part of healing the nation charity"".",[]
12,JacqMaraisPhoto,"Cape Town, South Africa",4755,4685,12582,Sun May 10 19:42:21 +0000 2020,5,"For life to make sense, disengage from #COVID19 &amp; trade #lockdown for fresh air #getloststayfound 🍃

@SPOT_Africa @SonyAlpha @gvbconservancy @Diverge_info @visitsimonstown @zaneschmahl @MooveClaremont
@VIVOBAREFOOTZA @veryvivolicious @TRAILza

#outsideisfree #sonyza #SpotAfrica https://t.co/lJCUeYpDPB","['COVID19', 'lockdown', 'getloststayfound', 'outsideisfree', 'sonyza', 'SpotAfrica']"
13,SirNtzee,"South Africa,mzansi",559,624,42860,Sun May 10 19:42:31 +0000 2020,0,Corona: I'm back b*tches https://t.co/V9dkEgPkbk,[]
14,TeeThandeka,"Pretoria, South Africa",3654,3621,29931,Sun May 10 19:43:17 +0000 2020,0,After seeing today's Corona virus stats... Ngiyavuma nami that province is Wuhan 🤔,[]
15,freedomfor_all,,1187,1431,97260,Sun May 10 19:45:05 +0000 2020,0,"@JC_USA1 Covid19=Wealth transfer from taxpayers 99.999% to the THIEVES 0.001%

CRIMINALS INVENTED LAW TO:
STEAL
MURDER
ENSLAVE HUMANITY TO WORK FOR MINIMUM WAGES TO FINANCE ISRAEL'S BANKERS CARTEL DEBT TO EXIST.

ROBOTS, ANTS, BEES WORK WITHOUT MONEY.

Monkey's don't work for money to eat https://t.co/pfuQ1EpZmI",[]
16,JustineLimLaw,Joburg,3526,6214,139038,Sun May 10 19:47:31 +0000 2020,6,"Am at the Sandton Clinic Emergency with my sick, elderly Mum. Not Covid19 thank God but I’m anxious about the drive home, after curfew, alone.
I don’t have a lot of trust in the @SAPoliceService I’m afraid.
The hospital have said they’ll give me a letter.
So awful to be afraid 😟",[]
17,SirNtzee,"South Africa,mzansi",559,624,42860,Sun May 10 19:49:07 +0000 2020,0,Now ENCA has its own format/design due reporting COVID19😪 https://t.co/DJrLNLYCay,[]
18,Do_The_Ncasa,"Gauteng, South Africa",944,1002,39039,Sun May 10 19:50:53 +0000 2020,1,Now THIS is what I call stats on South Africa’s COVID-19. Thank you @rid1tweets https://t.co/EfSFtSt9Xv,[]
19,SihleSthwala,Cape Town ,2167,1194,7303,Sun May 10 19:52:45 +0000 2020,1,😅🤷🏽‍♂️👇🏽...this fellow is trying hard to shift attention from his failures. His dump decisions costed the US more than 70k deaths #COVID19 https://t.co/jHO224SaLd,['COVID19']
20,ErnestWaVaal,🇮🇹Vaal🇮🇹,1126,728,5079,Sun May 10 19:52:54 +0000 2020,0,You guys have to cmsee this 1. That's y they say this pple invented covid19 https://t.co/xCz9WVHLPR,[]
21,freedomfor_all,,1187,1431,97260,Sun May 10 19:53:14 +0000 2020,0,"@KamvelihleGoba Covid19=Wealth transfer from taxpayers 99.999% to the THIEVES 0.001%

CRIMINALS INVENTED LAW TO:
STEAL
MURDER
ENSLAVE HUMANITY TO WORK FOR MINIMUM WAGES TO FINANCE ISRAEL'S BANKERS CARTEL DEBT TO EXIST.

ROBOTS, ANTS, BEES WORK WITHOUT MONEY.

Monkey's don't work for money to eat https://t.co/cy1Q8d6jwk",[]
22,Raggie86,Safer just to say Africa,1514,437,7743,Sun May 10 19:57:52 +0000 2020,0,"@RobForbesDJ @helenzille If you contract swine flu, it doesn’t get called “the flu” it gets traced &amp; isolated &amp; treated. No one does that with the average flu. 
Its not the same thing &amp; our reactions to it are vastly different. Covid is novel &amp; lethal &amp; precaution is the far wiser course of action.",[]
23,OneNation70290,"Cape Town, South Africa",3303,4505,96189,Sun May 10 20:02:12 +0000 2020,0,"@SundayTimesZA This is no longer about #COVID19SA or the welfare of South Africans and especially poor South Africans. The #LockdownSA is now about different factions in the #ANC &amp; the #TripartiteAlliance 
fighting for power. Our country is getting sacrificed in the process.","['COVID19SA', 'LockdownSA', 'ANC', 'TripartiteAlliance']"
24,marty_R200,"Cape Town, South Africa",1342,1743,107814,Sun May 10 20:02:29 +0000 2020,0,@Moo_Venda @VinDollar016 Corona won't end shame,[]
25,krobertr,"George, South Africa",2223,783,9261,Sun May 10 20:02:59 +0000 2020,0,SA’s top epidemiologists: We must get back to normal now before Covid-19 peak hits – The Citizen https://t.co/fDt8O3NZLX,[]
26,DrSueFortuin,"Cape Town, South Africa",214,46,219,Sun May 10 20:03:11 +0000 2020,0,"South Africa beyond Covid-19 | How the virus could shape society, the economy, leadership and politics https://t.co/c6ieCB0p0U via @News24",[]
27,Ventphonic,Johannesburg Soweto,1888,811,2240,Sun May 10 20:04:45 +0000 2020,1,"If Corona decides to kill people who cheat in a relationship, are you safe?",[]
28,JanBran06127566,Springs Gauteng Prov. SA.,782,2434,29369,Sun May 10 20:07:00 +0000 2020,2,"@helenzille One will also have to take into account natural causes of pneumonia during winter times and of course the ""ordinary""new flu strains.Probably these will be categorised as Covid 19 cases to keep the lockdown alive and valid.NEVER TRUST THE ANC!",[]
29,Mel__DT,"Cape Town, South Africa",676,699,12179,Sun May 10 20:07:37 +0000 2020,0,"@mattbauer_5 @mindykaling 100%. You’ll laugh and cringe through it . 

So good. 
So heartwarming. 
So perfect for these weird corona times.",[]
30,Craig_Stack,Cape Town,5299,8560,41054,Sun May 10 20:09:39 +0000 2020,0,"This week, Facebook announced that they will begin warning users if they liked, reacted or commented on posts that are deemed to be “misinformation.” https://t.co/b4t31sDOUI",[]
31,IamExclusiv,"Johannesburg, South Africa",461,1061,51386,Sun May 10 20:10:49 +0000 2020,1,"2021, Covid-19 Lockdown commission of inquiry loading.",[]
32,freedomfor_all,,1187,1431,97260,Sun May 10 20:14:57 +0000 2020,3,"@robert_vajna @ZlataProtsenko @davidicke Covid19=Wealth transfer from taxpayers 99.999% to the THIEVES 0.001%

CRIMINALS INVENTED LAW TO:
STEAL
MURDER
ENSLAVE HUMANITY TO WORK FOR MINIMUM WAGES TO FINANCE ISRAEL'S BANKERS CARTEL DEBT TO EXIST.

ROBOTS, ANTS, BEES WORK WITHOUT MONEY.

Monkey's don't work for money to eat https://t.co/3uGDs18MGm",[]
33,JustinSchonie,Cape Town,570,274,13710,Sun May 10 20:23:15 +0000 2020,0,During Covid-19 why can't @Twitter @Facebook @YouTube @Google @Microsoft @instagram @WhatsApp set a delay period for any post or share containing words linked to Coronavirus. Allow time for potential misinformation to be identified.,[]
