,username,location,following,followers,totaltweets,tweetcreatedts,retweetcount,text,hashtags
0,lorekom88,South Africa,358,173,2270,Sat Mar 28 21:50:23 +0000 2020,0,"I think the Afrocentric solutions/respond to COVID-19 should be more testing center, since we all know that this virus dont show symptoms easily (at early stage of contacting it). If everyone can get tested we will… https://t.co/2GeyIn3ZlX",[]
1,nokwazithepoet,GHT || DBN . ,1665,2033,7742,Sat Mar 28 21:51:19 +0000 2020,1,Corona is in Grahamstown. I legit stayed here so that I’m not surrounded by this shit. My anxiety rn. Yoh guys.,[]
2,BhekiSithole_SA,Mhlabuyalingana|Stanger|DBN📍,9291,11276,72927,Sat Mar 28 21:51:26 +0000 2020,0,Better corona won’t kill us all. I still gonna servive n live longer https://t.co/ZVAMinCzAs,[]
3,Leydene_,"Pretoria, South Africa",820,229,2765,Sat Mar 28 21:51:58 +0000 2020,0,"@scarlettarock @stevedalepets Did not say he contracted feline corona from his owner, the article is false. The cat was tested positive with Coronavirus just not Covid-19. Neither of them infected one another that is the point. Sorry if that does not make sense to you.",[]
4,billysigudla,"Germiston, South Africa",5001,3563,136216,Sat Mar 28 21:52:22 +0000 2020,1,9. Live streaming on Facebook :search for Vusimusi John Sigudla or Siphiwe Billy Sigudla  tomorrow Sunday 29th March 2020 from 09:00 to 09:15 Sermon on #covid19 #CoronaVirusSA by #Revvjsigudla #RevJohnSigudla or Facebook group #SharonBaptistChurch #BaptistConventionOfSouthAfrica https://t.co/yS9FKeyUXb,"['covid19', 'CoronaVirusSA', 'Revvjsigudla', 'RevJohnSigudla', 'SharonBaptistChurch', 'BaptistConventionOfSouthAfrica']"
5,azama_lowkey,Port Elizabeth,16756,18045,14200,Sat Mar 28 21:56:22 +0000 2020,0,"“In all these things, we are more than conquerors through Him who loved us."" Rom. 8:37

In 4 mins .. Let us PRAY  🙏🏿

#CoronavirusSouthAfrica #CoronaHope #Covd_19 #lockDownSouthAfrica #day2of21 #coronavirus","['CoronavirusSouthAfrica', 'CoronaHope', 'Covd_19', 'lockDownSouthAfrica', 'day2of21', 'coronavirus']"
6,Mokhwibitxwane,"Bloemfontein, South Africa",21669,21460,24030,Sat Mar 28 22:00:58 +0000 2020,0,Plot twist. Corona won't let go of you until you die. 😂😂😂😭😭😭 https://t.co/7FktNYKg99,[]
7,billysigudla,"Germiston, South Africa",5001,3563,136216,Sat Mar 28 22:03:45 +0000 2020,0,Live streaming on Facebook :search for Vusimusi John Sigudla or Siphiwe Billy Sigudla  tomorrow Sunday 29th March 2020 from 09:00 to 09:15 Sermon on #covid19 #CoronaVirusSA by #Revvjsigudla #RevJohnSigudla or Facebook group #SharonBaptistChurch #BaptistConventionOfSouthAfrica https://t.co/Se7goxR1xD,"['covid19', 'CoronaVirusSA', 'Revvjsigudla', 'RevJohnSigudla', 'SharonBaptistChurch', 'BaptistConventionOfSouthAfrica']"
8,BrizzyTheplug,"Johannesburg, South Africa",669,575,1981,Sat Mar 28 22:07:19 +0000 2020,0,"@THIZOZO_MOKOENA @Shimza01 South Africa’s first educational texting application launches on the 1st of April 2020 on Play Store And App Store! Helping to minimize Covid 19.

#SouthAfricaLockdown #GautengCOVID19
#EdukaTourApp
@AngieMotshekga
@BladeNzimande
@DBE_SA 
@PreciousMotsepe 
@DrZweliMkhize https://t.co/4mhuocgxQa","['SouthAfricaLockdown', 'GautengCOVID19', 'EdukaTourApp']"
9,billysigudla,"Germiston, South Africa",5001,3563,136216,Sat Mar 28 22:07:23 +0000 2020,0,Live streaming on Facebook :search for Vusimusi John Sigudla or Siphiwe Billy Sigudla  tomorrow Sunday 29th March 2020 from 09:00 to 09:15 Sermon on #covid19 #CoronaVirusSA by #Revvjsigudla #RevJohnSigudla or… https://t.co/R8UQEPNDou,"['covid19', 'CoronaVirusSA', 'Revvjsigudla', 'RevJohnSigudla']"
10,Thabang015_,"Pretoria, South Africa ",1814,2365,51121,Sat Mar 28 22:07:31 +0000 2020,0,"COVID19 said ""World stop""",[]
11,Edulamoney,South africa,1515,1282,11953,Sat Mar 28 22:08:36 +0000 2020,0,@DjNewAfrica You are the Corona virus we want to get rid of...,[]
12,BrizzyTheplug,"Johannesburg, South Africa",669,575,1981,Sat Mar 28 22:08:36 +0000 2020,0,"@master_nzama South Africa’s first educational texting application launches on the 1st of April 2020 on Play Store And App Store! Helping to minimize Covid 19.

#SouthAfricaLockdown #GautengCOVID19
#EdukaTourApp
@AngieMotshekga
@BladeNzimande
@DBE_SA 
@PreciousMotsepe 
@DrZweliMkhize https://t.co/7rNccLenFZ","['SouthAfricaLockdown', 'GautengCOVID19', 'EdukaTourApp']"
13,Chen_Dogg,"Cape Town, South Africa",1162,720,3789,Sat Mar 28 22:09:10 +0000 2020,0,DJs migrating to @Twitch amid #COVID19 - pretty awesome. https://t.co/tE8yEe4uE1,['COVID19']
14,BrizzyTheplug,"Johannesburg, South Africa",669,575,1981,Sat Mar 28 22:10:26 +0000 2020,0,"@mhlengemali @djsumbodysa @Shimza01 @MsCosmoSA @EarfulSoul @MfrSouls South Africa’s first educational texting application launches on the 1st of April 2020 on Play Store And App Store! Helping to minimize Covid 19.

#SouthAfricaLockdown #GautengCOVID19
#EdukaTourApp
@AngieMotshekga
@BladeNzimande
@DBE_SA 
@PreciousMotsepe 
@DrZweliMkhize https://t.co/zmdHj9FKDV","['SouthAfricaLockdown', 'GautengCOVID19', 'EdukaTourApp']"
15,BrizzyTheplug,"Johannesburg, South Africa",669,575,1981,Sat Mar 28 22:10:37 +0000 2020,0,"@mrsjaneparry South Africa’s first educational texting application launches on the 1st of April 2020 on Play Store And App Store! Helping to minimize Covid 19.

#SouthAfricaLockdown #GautengCOVID19
#EdukaTourApp
@AngieMotshekga
@BladeNzimande
@DBE_SA 
@PreciousMotsepe 
@DrZweliMkhize https://t.co/KK0eEwcF2c","['SouthAfricaLockdown', 'GautengCOVID19', 'EdukaTourApp']"
16,BrizzyTheplug,"Johannesburg, South Africa",669,575,1981,Sat Mar 28 22:10:49 +0000 2020,0,"@PeciusJr South Africa’s first educational texting application launches on the 1st of April 2020 on Play Store And App Store! Helping to minimize Covid 19.

#SouthAfricaLockdown #GautengCOVID19
#EdukaTourApp
@AngieMotshekga
@BladeNzimande
@DBE_SA 
@PreciousMotsepe 
@DrZweliMkhize https://t.co/sPq7C8esSF","['SouthAfricaLockdown', 'GautengCOVID19', 'EdukaTourApp']"
17,BrizzyTheplug,"Johannesburg, South Africa",669,575,1981,Sat Mar 28 22:11:00 +0000 2020,0,"@BuffaloUnsta @RapCentury_ South Africa’s first educational texting application launches on the 1st of April 2020 on Play Store And App Store! Helping to minimize Covid 19.

#SouthAfricaLockdown #GautengCOVID19
#EdukaTourApp
@AngieMotshekga
@BladeNzimande
@DBE_SA 
@PreciousMotsepe 
@DrZweliMkhize https://t.co/SnbS5fTAtm","['SouthAfricaLockdown', 'GautengCOVID19', 'EdukaTourApp']"
18,BrizzyTheplug,"Johannesburg, South Africa",669,575,1981,Sat Mar 28 22:11:10 +0000 2020,0,"@catt_machete @Shimza01 South Africa’s first educational texting application launches on the 1st of April 2020 on Play Store And App Store! Helping to minimize Covid 19.

#SouthAfricaLockdown #GautengCOVID19
#EdukaTourApp
@AngieMotshekga
@BladeNzimande
@DBE_SA 
@PreciousMotsepe 
@DrZweliMkhize https://t.co/cRAEYDruIH","['SouthAfricaLockdown', 'GautengCOVID19', 'EdukaTourApp']"
19,BrizzyTheplug,"Johannesburg, South Africa",669,575,1981,Sat Mar 28 22:11:21 +0000 2020,0,"@CEASERWORLD @Shimza01 @ChannelOTV @hunterscider @Robot_Boii South Africa’s first educational texting application launches on the 1st of April 2020 on Play Store And App Store! Helping to minimize Covid 19.

#SouthAfricaLockdown #GautengCOVID19
#EdukaTourApp
@AngieMotshekga
@BladeNzimande
@DBE_SA 
@PreciousMotsepe 
@DrZweliMkhize https://t.co/rIVFemXYkG","['SouthAfricaLockdown', 'GautengCOVID19', 'EdukaTourApp']"
20,BrizzyTheplug,"Johannesburg, South Africa",669,575,1981,Sat Mar 28 22:11:31 +0000 2020,0,"@brian_ovo South Africa’s first educational texting application launches on the 1st of April 2020 on Play Store And App Store! Helping to minimize Covid 19.

#SouthAfricaLockdown #GautengCOVID19
#EdukaTourApp
@AngieMotshekga
@BladeNzimande
@DBE_SA 
@PreciousMotsepe 
@DrZweliMkhize https://t.co/vzC992YYrv","['SouthAfricaLockdown', 'GautengCOVID19', 'EdukaTourApp']"
