,username,location,following,followers,totaltweets,tweetcreatedts,retweetcount,text,hashtags
0,Nico59895750,"Stellenbosch, South Africa",27,121,4521,Thu May 21 17:40:06 +0000 2020,0,"@Bruceps Where is the evidence that smoking increases the risk of Corona? I'd say that with whatever evidence is presented, it's safer to smoke recognised brands, rather than the fake ones! PLUS there'd be an income to the tax coffers, vat &amp; excise.",[]
1,Sebelisto1,"Pretoria, South Africa",220,1098,7184,Thu May 21 17:45:22 +0000 2020,0,"The new normal 🤞🏽 bend or break , Dzali ""you're gorgeous"". Its law #covid19insa #lockdownsa2020  #lockdowndiaries♥️ @ Global Wealth and Wellness With Lifecoach Andrea Dondolo https://t.co/yIb6cCrsIN","['covid19insa', 'lockdownsa2020', 'lockdowndiaries']"
2,Bandz_Wodumo22,"Yhuu ah ahna, nami angazi. SA.",647,842,15804,Thu May 21 17:48:59 +0000 2020,0,"Bare 3 million people in SA would have tested positive for Covid-19 by the end of the year, and 45k will die. 
Kusazoshonwa bakwethu.",[]
3,BELOMBA,"Johanessburg,South Africa",4985,3211,4893,Thu May 21 17:50:30 +0000 2020,0,"As we are approaching level 3,Help remind workers and the public of their responsibilities in terms of hygiene and social distancing,which are considered vital to help in the fight to stop the spread of the covid-19 virus. We have created a brochure with information,@DlaminiZuma",[]
4,jugwanthj,proudly on South African soil,3999,2643,10762,Thu May 21 17:56:14 +0000 2020,14,"Since the COVID-19 outbreak, the EFF is gone into a slumber, absolutely nothing positive from the loud mouths who in January had all the solutions to this nation's problems. Where is the EFF? Quarantined!!!",[]
5,Real_Magivano,Now on MTVBASE 👉🏽,1385,2190,12744,Thu May 21 17:56:34 +0000 2020,0,I still believe that 2020 will be my year. Covid or no Covid.,[]
6,Poto_Answer,East Rand | Moletlane | Sosha,1916,2030,27539,Thu May 21 18:01:03 +0000 2020,0,"Re Tlo Popa,Otla Bona!!✌🏾
Corona will be a thing of the past.😥",[]
7,Matatamola,Pitori Mahlanyeng,225,202,3869,Thu May 21 18:07:42 +0000 2020,0,We are happy atleast le lena le tla cup ka back door plus title ya Covid-19 Champions. https://t.co/cwSBgoF3z8,[]
8,christoff_a,Cape Town,37,142,278,Thu May 21 18:09:12 +0000 2020,0,"COVID19 Big news! https://t.co/i2PM2QFMtd if this doctor is right, we don’t need social distancing or masks?",[]
9,Kiconcoa,"Johannesburg, South Africa",830,809,5927,Thu May 21 18:13:14 +0000 2020,7,Why are Africa's coronavirus successes being overlooked? https://t.co/1oPKiQIesQ,[]
10,Diegochuene,Pretoria ,31443,111014,52312,Thu May 21 18:17:55 +0000 2020,7,Hit a like if you agree she's beautiful  #BenjaminGotIt #AskAkreana  #BenjaminGotIt #day56oflockdown #BhekiCele #skeemsam #etvScandal #BiancaMustFall #Covid_19 #CuttingEdge #AskAkreana https://t.co/MmZFm0e7gG,"['BenjaminGotIt', 'AskAkreana', 'BenjaminGotIt', 'day56oflockdown', 'BhekiCele', 'skeemsam', 'etvScandal', 'BiancaMustFall', 'Covid_19', 'CuttingEdge', 'AskAkreana']"
11,jaynielea,"Cape Town, South Africa",3256,2990,41146,Thu May 21 18:21:11 +0000 2020,9,"56 days of lockdown which induced a complete mental and emotional rollercoast... https://t.co/jNHC7L3nxv

#hive #blog #life #bloglife #blockchain #powerhousecreatives #writing #expression #inspiration #freewrite #lockdown #psychology #Covid_19 #LockdownSA  #depression","['hive', 'blog', 'life', 'bloglife', 'blockchain', 'powerhousecreatives', 'writing', 'expression', 'inspiration', 'freewrite', 'lockdown', 'psychology', 'Covid_19', 'LockdownSA', 'depression']"
12,MichLD72,United Kingdom,1855,555,1761,Thu May 21 18:23:54 +0000 2020,0,"@StephandeLange8 Found some of the doctors 🙄 But CT hospitals are in need of doctors?
#endlockdownsa #daywhogivesashit 
KZN welcomes 28 Cuban doctors to assist with COVID-19 response https://t.co/zUNJAonDUp https://t.co/2Fjd8qlGxC","['endlockdownsa', 'daywhogivesashit']"
13,Mothomatepetepe,Ga-Maloma,5443,6875,68010,Thu May 21 18:24:45 +0000 2020,0,"This hospital is in the Cape. No wonder their numbers just keep spiking up. Minimum PPE, singing next to a critically ill patient. These people don't understand virology. A critically ill COVID-19 patient coming out of ICU is not something to celebrate. If you do, be protected!!! https://t.co/R0pAOu8eR4",[]
14,MidnightSlammer,"East London, South Africa",1450,963,9170,Thu May 21 18:28:23 +0000 2020,0,@CeeYaNonoise I want to give it to someone nje after COVID. This pic gave me all kinds of feels.,[]
15,MidnightSlammer,"East London, South Africa",1450,963,9170,Thu May 21 18:30:17 +0000 2020,0,@CeeYaNonoise I took time to reflect. COVID changed my life.,[]
