,username,location,following,followers,totaltweets,tweetcreatedts,retweetcount,text,hashtags
0,LindoNorth,"Johannesburg, South Africa",2069,1887,4768,Fri Mar 27 21:10:27 +0000 2020,0,#LockdownHouseParty.. what about other Djs... do they gave corona 😂😂😂😋😂😂😋,['LockdownHouseParty']
1,Keorapetse_26,"Johannesburg, South Africa",290,515,38490,Fri Mar 27 21:10:30 +0000 2020,0,"🤦‍♂️🤦‍♂️. Corona.
Heineken..
Flying fish..
Black Label.. https://t.co/AmqKMDOCwi",[]
2,crakeras,Johannesburg,1333,91875,8891,Fri Mar 27 21:12:12 +0000 2020,1,New initiative aims to help South African businesses survive COVID-19 https://t.co/f1D0KpINvL https://t.co/2QTI2qXLkR,[]
3,TitusMatlawe,"Johannesburg, South Africa",4262,3982,59601,Fri Mar 27 21:14:11 +0000 2020,0,"#BlackMotion closing this #LockdownHouseParty down now. They have just ascended the stage, &amp; was I not wrong that they won't be using a 3rd Deck! #Shimza #PH #Covid19SA 👌😷🤕🤒🔥 https://t.co/ssLbOohjOM","['BlackMotion', 'LockdownHouseParty', 'Shimza', 'PH', 'Covid19SA']"
4,LindoNorth,"Johannesburg, South Africa",2069,1887,4768,Fri Mar 27 21:18:45 +0000 2020,0,Corona won't end.. at all kusekho these people https://t.co/XtgTY13vQ4,[]
5,DakaloT_,"Cape Town, South Africa",1200,1294,15691,Fri Mar 27 21:19:07 +0000 2020,0,@TheSoloWandera The other one couldn't be determined if it was Corona or other diseases,[]
6,josie_keenDj,Louis trichardt,2703,2159,441,Fri Mar 27 21:19:46 +0000 2020,0,"@Hit_Refresh 
Hitting so deep that we even forgot about the pandemic we facing.
🔥🔥🔥
#covid-19",['covid']
7,DrYahyaShoole,Somalia,2654,4160,6605,Fri Mar 27 21:20:50 +0000 2020,1,"A group of researchers from South China Agricultural University found that if bats drop feces or saliva onto food that's consumed by a pangolin, the animal can become a carrier of #COVID19. 
Pangolin meat is considered a delicacy in China and Vietnam. https://t.co/ZjGI8DN3TS",['COVID19']
8,kbfromcpt,"Cape Town, South Africa",451,406,6901,Fri Mar 27 21:22:34 +0000 2020,0,"@nubian6 Faith is also getting tested and knowing for sure. If you really want to say you don’t and won’t contract covid19, get tested and mean it for sure. And I pray none of us get it, by staying home and abide by the rules of lockdown!",[]
9,Tshilidzi_pb,Pretoria,1909,2034,3499,Fri Mar 27 21:23:41 +0000 2020,0,@DStv is playing I am a legend🤔🤔🤔 #CoronavirusSouthAfrica #Covid_19 https://t.co/OhyUedD9CS,"['CoronavirusSouthAfrica', 'Covid_19']"
10,OlebileLegodi,"ÜT: -25.994922,28.131643",969,692,7361,Fri Mar 27 21:23:41 +0000 2020,0,"So there is 1 Covid_19 death, 28 year lady tested negative",[]
11,__hazelr,South Africa,2478,8289,130873,Fri Mar 27 21:24:13 +0000 2020,0,What if God brought corona v to wipe us all bc we do be sinning overload😞,[]
12,josie_keenDj,Louis trichardt,2703,2159,441,Fri Mar 27 21:24:35 +0000 2020,0,"@Hit_Refresh sound so deep that we even forgot we facing a deadly pandemic.🔥🔥
#covid-19",['covid']
13,Bossvandy,"Johannesburg, South Africa",2435,2486,48113,Fri Mar 27 21:26:44 +0000 2020,0,How do i even take my daughter to her routine check ups when it's so messy??? #Covid19SA,['Covid19SA']
14,ChefScott_,"Durban, South Africa",1731,19863,254301,Fri Mar 27 21:26:45 +0000 2020,0,"@MissMbali_ If you think it’s okay, then don’t be complaining when the grocery stores also inflate the prices during the Corona",[]
15,xris_masunda,"ÜT: -31.6090822,28.767073",2588,614,966,Fri Mar 27 21:28:16 +0000 2020,0,"@advocatemahere I provided this answer in a Twitter discussion on Monday 23rd. While COVID'19 provided a vent for RBZ to escape shame, it must be noted that a avoid deep crisis, the economy needs a currency which is a good store of value and RTGS had since failed in that front https://t.co/f1pKKaKEJQ",[]
16,Muskidd,"Cape Town, South Africa",3266,3024,32919,Fri Mar 27 21:30:20 +0000 2020,1,"@GGMotlhanke @eNCA Edgars, economic outlook, low economic growth, low business confidence, corona pandemic and wena you decide to involve politics, voters and their thinking capacity. You are the one that needs their head examined.",[]
17,IrvinJimSA,South Africa,664,42208,7062,Fri Mar 27 21:31:16 +0000 2020,3,"Workers in particular  in Us,  they don’t have the necessary PPE suitable to protect them from this vicious  coronavirus we facing the same situation here we need production of this quality clothing as a protective Gear .",[]
18,CurtleyJ_00010,,875,1025,14867,Fri Mar 27 21:31:34 +0000 2020,4,"#Coronavirus 

Take test here:
https://t.co/Vtj69zJXzY https://t.co/zquBfFKlnH",['Coronavirus']
19,BhekiSithole_SA,Mhlabuyalingana|Stanger|DBN📍,9291,11276,72927,Fri Mar 27 21:31:44 +0000 2020,0,"@TelkomZA we’re not happy about the network today. Tell us if your network towers got COVID 19 so we won’t bother buying data. 

The network is bad today.",[]
20,Milirazzi,Johannesburg,572,1265,16794,Fri Mar 27 21:32:39 +0000 2020,0,Post #Covid19SA Ziyanda must get her own show. Heyiii 😂👏 https://t.co/0jeZf338VX,['Covid19SA']
21,neovirago,South Africa,1337,1705,19932,Fri Mar 27 21:32:47 +0000 2020,0,"Do you personally know anyone who's tested positive?
#Covid_19 #CoronavirusSouthAfrica #LockdownSA","['Covid_19', 'CoronavirusSouthAfrica', 'LockdownSA']"
22,Anastasi_Boity,South Africa,2174,1799,6484,Fri Mar 27 21:32:48 +0000 2020,1,"I feel her concern,we cannot afford to have coronavirus in rural areas.😭😭

I am from Moletjie where most people don't even listen/watch the news,our grannies don't even know why they should be sanitizing.
Just imagine how the easy it can spread. https://t.co/OlznBkBuXv",[]
23,Thulani34172985,Johannesburg,1604,279,1438,Fri Mar 27 21:32:53 +0000 2020,0,@Kgoshi_yaBopedi @BafanaBoy2 U better focus on your umbrella hold it tight the corona is real,[]
24,TeffuJoy,"Pretoria, GaMatlala, SA ",8350,8569,110575,Fri Mar 27 21:36:07 +0000 2020,0,Celebrity want a PS game to trend now thn infor abt corona virus😂😂😂Selfishness is a virus,[]
25,Zwanedefault,South Africa,2164,2003,6912,Fri Mar 27 21:37:31 +0000 2020,0,"@yourguy_bright Need I show you more people of Christian based faith who are in denial.... Hence my conclusion ""Christians"" 🤔🤔🤔🤔when we say say COVID-19 is a Chinese virus we don't say all Chinese have it... C'mon bro...",[]
26,zakesong0,"Kempton Park, Gauteng",332,185,324,Fri Mar 27 21:37:38 +0000 2020,0,"Thabos percussion has a soul. Big up Mzansi.

#LockdownHouseParty
#blackmotion
#Covid19SA","['LockdownHouseParty', 'blackmotion', 'Covid19SA']"
27,KarlVonManstein,Antarctica,134,136,18468,Fri Mar 27 21:39:09 +0000 2020,0,"@fayedsouza What's so terrible about it?

All other large economies are contracting post-COVID-19

As for the Chinese, these buggers have subjected the whole world to an existential crisis.",[]
28,karabomanaka,Pretoria ,3282,1863,1908,Fri Mar 27 21:39:38 +0000 2020,0,@dabizza @ChannelOTV @black_motion Ai but anyway let's blame it all on corona,[]
29,taka_mabusi,South Africa,14358,14333,170570,Fri Mar 27 21:41:02 +0000 2020,1,Anyone who has watched thia series Yeka 2018 ithetha nge corona virus https://t.co/Tifds7OZv8,[]
30,TaThera,"Centurion, South Africa",226,125,7247,Fri Mar 27 21:41:27 +0000 2020,0,"Black Motion is being sabotaged, where is the sound engineer? #21daylockdownSA #LockdownSA #Houseparty #HouseHunters","['21daylockdownSA', 'LockdownSA', 'Houseparty', 'HouseHunters']"
31,Lt_Mogakwe,"Centurion, South Africa",1455,569,11742,Fri Mar 27 21:42:13 +0000 2020,0,Covid19 is going to cause havoc in South Africa.,[]
32,Amu_J,Pretoria-Garankuwa,3976,4738,150872,Fri Mar 27 21:45:46 +0000 2020,0,"Now there's #WhatsApp30Seconds

This #21daylockdownSA is making people to be innovative","['WhatsApp30Seconds', '21daylockdownSA']"
33,TheAuxQueen,"Durban, South Africa",1969,1271,9303,Fri Mar 27 21:47:27 +0000 2020,0,There’s a group of people outside singing corona living their best lives. 🙃,[]
