,username,location,following,followers,totaltweets,tweetcreatedts,retweetcount,text,hashtags
0,ZwaneSteven,South Africa,253,656,733,Sat May 30 17:09:01 +0000 2020,3,"COVID19 has a massive impact on small businesses and the multitudes they employ. Only they can feel the real pain and challenge especially when the state hasn’t even given them water, rates electricity relief for the times they had not been operational. Stop this harassment now",[]
1,kokonjisane,"Johannesburg, South Africa",1942,1964,39666,Sat May 30 17:16:58 +0000 2020,0,"I forget about Corona virus , till I’m about to leave the house and realize I forgot my damn mask.",[]
2,MTNDZML,"East London, South Africa",228,50,1204,Sat May 30 17:20:21 +0000 2020,0,Now watching #Contagion or should I say #CoronaVirus. This is some hectic stuff. #COVID19SouthAfrica #day65oflockdown #coronavirusInSA https://t.co/xDsCjcwwHk,"['Contagion', 'CoronaVirus', 'COVID19SouthAfrica', 'day65oflockdown', 'coronavirusInSA']"
3,JessieMags,Your mothers closet ,1392,1501,23489,Sat May 30 17:27:53 +0000 2020,0,"Hey guys could you please take 5 minutes of your time to fill in my survey for varsity 🙏🏾
#unemploymentmustfall #COVID19 #LockdownHousePartyFinale #day65oflockdown 

https://t.co/C4hsZVkFW8","['unemploymentmustfall', 'COVID19', 'LockdownHousePartyFinale', 'day65oflockdown']"
4,ShabbaR39020040,"Boksburg, South Africa",194,32,304,Sat May 30 17:29:08 +0000 2020,0,Mr Corona Virus himself #LockdownHouseParty,['LockdownHouseParty']
5,cloud_nine_nine,cloud99.,167,943,9150,Sat May 30 17:37:16 +0000 2020,0,so I covid 19 still here? https://t.co/ciqET91ljc,[]
6,AndrewManaka,"Pretoria, South Africa",2146,1108,6348,Sat May 30 17:39:07 +0000 2020,0,Dear @GovernmentZA @JacksonMthembu_ @DrZweliMkhize Pls consider to put  covid19 testing stations in all liquor stores from Monday...1/2 population could be tested within 4 days,[]
7,Prof_Charles1,"Giyani• Pretoria, South Africa",2411,2396,13061,Sat May 30 17:39:07 +0000 2020,3,"Pastor @MmusiMaimane is at work 🙏

#day65oflockdown #CoronaVirusSA #COVID19inSA #COVID19 #ZozibiniTunzi #DanieHerselmanMustFall https://t.co/6qbisNYLuc","['day65oflockdown', 'CoronaVirusSA', 'COVID19inSA', 'COVID19', 'ZozibiniTunzi', 'DanieHerselmanMustFall']"
8,kgware_paballo,031 x 051,3328,8040,13327,Sat May 30 17:39:34 +0000 2020,0,"Imma need my future husband to make his way to me so that when Corona subsides, we go straight to the altar",[]
9,Hayden_101_,Mt. Olympus ,380,2175,135416,Sat May 30 17:40:17 +0000 2020,0,Ice Cold Corona &gt;,[]
10,TmanMjaji,South Africa,5000,1258,11539,Sat May 30 17:47:42 +0000 2020,0,These sectors are still hiring during South Africa’s coronavirus lockdown – BusinessTech https://t.co/aYsYIZYrpj,[]
11,TheBlackspice,Johannesburg,4983,2337,87664,Sat May 30 17:48:07 +0000 2020,0,"Must I tell him or what?
#COVID19 #schoolreopening #Level3Restrictions https://t.co/TpwvgdqrIT","['COVID19', 'schoolreopening', 'Level3Restrictions']"
12,301Ram_,"Pretoria, South Africa",42,121,10390,Sat May 30 17:49:56 +0000 2020,0,That picture looks like it's coronavirus painted lmaooo 💀💀💀💀💀 https://t.co/bvwN4bO2uD,[]
13,CapeTownFreeway,Cape Town //\/¯¯¯\/\,14,56115,223100,Sat May 30 18:04:30 +0000 2020,0,223436: #Protesting on N7 Northbound after Plattekloof Road. Left lane obstructed. Expect Delays. #CoronaVirusSA#StayHomeSaveLives#StayHomeStaySafe#ItCanWait https://t.co/A5gtx6HriV,['Protesting']
14,Mokhaliiii,"Bloemfontein, South Africa",1933,2102,12361,Sat May 30 18:07:57 +0000 2020,0,"I miss putting on her gown sleeping in her thick heavy mink blankets man, fuck corona dawg",[]
15,TheBlackspice,Johannesburg,4983,2337,87664,Sat May 30 18:09:15 +0000 2020,1,"I know journalists havent zoomed in into this matter but I think we have a #COVID19 test kit crisis in South Africa.

SAVE THIS TWEET",['COVID19']
16,CityTshwane,South Africa- Gauteng,2976,462650,89404,Sat May 30 18:09:15 +0000 2020,3,"#COVID_19 affects different people in different ways. Here are common symptoms;
- fever
- dry cough
- tiredness 
- shortness of breath or mild to severe respiratory illness.

#Covid19SA #StayAtHomeSa","['COVID_19', 'Covid19SA', 'StayAtHomeSa']"
17,Akhona_Mfaba,"Sandton, South Africa",1148,3026,45455,Sat May 30 18:12:46 +0000 2020,0,@kgaugelo_SM @Pertu_MM @mologadi @nonoshee @Buliebabes @MahlapeThabiso @Lebzz__ @MsMolobi @Angellique_zeMo I’m not a church goer even without Covid.,[]
18,BusaraSA,"Sandton, South Africa",686,701,1829,Sat May 30 18:17:39 +0000 2020,0,#Covid_19 offers us the chance to change who we were and what we stood for. It would be a shame to miss this opportunity for a second chance. - Anthony T' Hincks. Rewinding to the @Newzroom405  interview wondering if our values are transforming or we will to go back to who were? https://t.co/V1QPb8LRGp,['Covid_19']
19,Mbatha_ml,Marlboro,566,343,330,Sat May 30 18:19:38 +0000 2020,0,"Good day

Please kindly assist with donations.
#Together_we_will_defeat_COVID19 https://t.co/iWvq24R4un",['Together_we_will_defeat_COVID19']
20,Nteboheng40,"Hammanskraal, South Africa",856,3234,3159,Sat May 30 18:25:42 +0000 2020,0,"As of today, the number of confirmed #COVID19  cases in South Africa is 30 967 and the death toll stands at 643.😔",['COVID19']
21,gpgSocDev,Gauteng,2128,24206,16561,Sat May 30 18:27:13 +0000 2020,4,"#COVID19 #LockdownSA #GrowingGautengTogether #StayHomeSA #ChildProtectionWeek @Lesufi @kabasia_o @thembeni2903 @HartmannAmanda
As we approach level 3, may we not forget our important stakeholders, let us all play a part in their protection https://t.co/a8PPEU2tlx","['COVID19', 'LockdownSA', 'GrowingGautengTogether', 'StayHomeSA', 'ChildProtectionWeek']"
