,username,location,following,followers,totaltweets,tweetcreatedts,retweetcount,text,hashtags
0,_phumstar,Boksburg,505,979,32474,Mon Mar 09 17:35:52 +0000 2020,0,Is the #CoronaVirus a Caucasian Virus #AskingForAFriend,"['CoronaVirus', 'AskingForAFriend']"
1,tebogo_maseng,South Africa,1627,1191,11756,Mon Mar 09 17:37:53 +0000 2020,0,That rain avoiding us the Northern Cape like the Corona Virus suppose to!!! https://t.co/NBxguqBcYD,[]
2,elronquito1,"Cape Town, South Africa",422,297,28502,Mon Mar 09 17:43:52 +0000 2020,0,I’d make a Corona joke but I’m better than that https://t.co/66bBS5n85N,[]
3,Modderbok,All over Southern Africa ,133,227,753,Mon Mar 09 17:44:42 +0000 2020,0,"Not the usual beer, day 9 of no alcohol. Vit C and hand sanitizer to block #corona and an ironic title in recent times #newzealand ayres_adventures #travel @modderbok @ O.R. Tambo International Airport https://t.co/3NqWI81ebm","['corona', 'newzealand', 'travel']"
4,MluNArh,"Johannesburg, South Africa",381,1115,61169,Mon Mar 09 17:46:04 +0000 2020,5,if Beyoncé gets Corona then I should get it as well 🤷🏽‍♂️ https://t.co/idIHsB4t1J,[]
5,KagisoMonyadiwa,Mafikeng South Africa ,453,2495,18860,Mon Mar 09 17:48:48 +0000 2020,6,"South Africa is a special Cow Ntree xhem. This is why #DataMustFall

#CoronavirusOutbreak
#CoronaVirusUpdate
#COVID19
@LandNoli

https://t.co/N6W0M5Oy1O","['DataMustFall', 'CoronavirusOutbreak', 'CoronaVirusUpdate', 'COVID19']"
6,EttySh,"ÜT: -26.119839,28.060725",1287,1680,27282,Mon Mar 09 17:50:19 +0000 2020,0,"SARS-CoV-2 is A coronavirus not THE coronavirus. 
When the next one comes along what are we going to call that, the other coronavirus? and the one after that?",[]
7,Comrade_Skhokho,Scotland/ South Africa,2977,4788,39701,Mon Mar 09 17:50:39 +0000 2020,0,@HeidiGiokos It really is getting ugly. The rational person must surely recognize that global recession plus the COVID-19 makes this wretched airline completely unsustainable. Put it out of its misery along with the leeches who feed off the rotting carcass.,[]
8,4nzo,"Refengkgotso, South Africa",633,224,2359,Mon Mar 09 17:51:20 +0000 2020,0,There we go again 🤷🏽‍♂️ #CONVID19 #CoronaVirus https://t.co/m24pWLms8O,"['CONVID19', 'CoronaVirus']"
9,elronquito1,"Cape Town, South Africa",422,297,28502,Mon Mar 09 17:51:20 +0000 2020,0,"@thathickbitch Yes lol, I won’t partake in corona jokes as a point of conscience, might be a weird line to draw but hey man 🤷‍♂️",[]
10,DondaSthembiso,,15704,19158,68565,Mon Mar 09 17:51:53 +0000 2020,1,"Alert ❗❗❗

Corona virus can be spread through money. If you have any money at home, put on some gloves, put all the money in to a plastic bag and put it outside the front door tonight. I'll be collecting all the plastic bags tonight for safety. Think of your health.",[]
11,Mxwillia_58,South Africa 🇿🇦 ,4915,2749,8169,Mon Mar 09 17:52:52 +0000 2020,0,"Gogo lithini idlozi ngomcimbi we #CoronavirusInSA #COVID19 #Coronavirussouthafrica elapha mzantsi? 

What do ancestors say in the calabash about #CoronaVirusUpdate ?

Bathini abadala, safa bekhona!!","['CoronavirusInSA', 'COVID19', 'Coronavirussouthafrica', 'CoronaVirusUpdate']"
12,McGebaLCD,Nhlazatshe || Johannesburg ,907,712,9355,Mon Mar 09 17:53:50 +0000 2020,0,CoronaVirus seems to be well aligned with brand South Africa,[]
13,DonaldLeburu1,"Johannesburg, South Africa",337,68,105,Mon Mar 09 17:55:03 +0000 2020,0,No mntase casa flue go n check maybe ke corona🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️🏃‍♂️ https://t.co/yw6oC0jZCF,[]
14,ShaunDemmer,"Bryanston, Johannesburg",682,875,6732,Mon Mar 09 17:57:42 +0000 2020,0,COVID-19 slippping into yet another country .... #coronavirus https://t.co/DYuoFTxf6R,['coronavirus']
15,DondaSthembiso,,15704,19158,68565,Mon Mar 09 17:59:36 +0000 2020,0,@wandinkosi They will be stealing all the Corona. I just wanna make sure it doesn't affect anyone.,[]
16,maginyamulweli,"Hoedspruit, South Africa",21812,24309,25702,Mon Mar 09 18:01:29 +0000 2020,0,@missmathabo8 Corona greetings😁😁❤️❤️,[]
17,UNtuthwane,"Jozini, South Africa",875,14024,347272,Mon Mar 09 18:01:42 +0000 2020,0,I hope they won't cancel the Corona fest in cpt https://t.co/b2o8aCEikk,[]
18,TinasheMhlanga,Africa ,367,117,4118,Mon Mar 09 18:04:49 +0000 2020,0,#Coronavirus doing things across the world #Covid19,"['Coronavirus', 'Covid19']"
19,_officialxv,Cape Town,979,7542,32952,Mon Mar 09 18:06:20 +0000 2020,0,These are type of people that brought Corona to our country. 😭 https://t.co/BpLRaUjfSc,[]
20,ch_usama_wazir,"Lahore, Pakistan",38,19,46,Mon Mar 09 18:07:44 +0000 2020,0,“Safety brings first aid to the uninjured”.  Use the mask and do safe your life. “CORONAVIRUS” #coronavirus @ All World https://t.co/behT3kbPIe,['coronavirus']
21,kaamuza,"Sandton, South Africa",625,467,4369,Mon Mar 09 18:10:22 +0000 2020,0,We should all take precautions covid 19 is really here .... https://t.co/VrXMWsYN4Z,[]
22,MngadiZinhle,"Rustenburg, South Africa",1362,2480,4323,Mon Mar 09 18:10:47 +0000 2020,0,MEC of Health in #NW is u underway now. @Newzroom405 will keep track of this story.  #COVID19 https://t.co/0ELlOaoTdN,"['NW', 'COVID19']"
23,Teezy_Promking,"Soshanguve, South Africa",10453,38407,40131,Mon Mar 09 18:12:56 +0000 2020,0,Corona is that you??🤔 https://t.co/gCfrKLlQ4U,[]
24,donald_nets,"Pretoria, South Africa",971,785,145,Mon Mar 09 18:17:45 +0000 2020,0,You just have to respect the level of chill in SA. #CoronaVirusUpdate #COVID2019 #SouthAfrica #coronavirus #mondaythoughts https://t.co/1yKfzJiP7r,"['CoronaVirusUpdate', 'COVID2019', 'SouthAfrica', 'coronavirus', 'mondaythoughts']"
25,mzwah_sa,"Durban, South Africa",4933,2421,2902,Mon Mar 09 18:18:58 +0000 2020,0,"Symptoms of Coronavirus.
-Fever
-Coughing
- Asking for eWallet.",[]
26,MngadiZinhle,"Rustenburg, South Africa",1362,2480,4323,Mon Mar 09 18:20:23 +0000 2020,0,"Sambatha: ""Each suspended case is treated with great care and caution.  So we also protect health workers who deal with the cases."" @Newzroom405 #COVID19",['COVID19']
