,username,location,following,followers,totaltweets,tweetcreatedts,retweetcount,text,hashtags
0,Fisoh_NdabaSA_,"Johannesburg, South Africa",3533,6208,19907,Tue Apr 07 19:51:24 +0000 2020,0,"#coronavirus 
#Covid19inSA 
#CoronavirusInSA my nephew https://t.co/o0R6fjQoxH","['coronavirus', 'Covid19inSA', 'CoronavirusInSA']"
1,Tshepotmos,"Sandton,Gauteng",1086,1209,22129,Tue Apr 07 19:51:38 +0000 2020,3,"I had no plans,but will blame everything on corona. https://t.co/7fpmB4sOaF",[]
2,IamEriOluwa,"Johannesburg, South Africa",12107,14006,28176,Tue Apr 07 19:54:16 +0000 2020,2,"I don't knkw who needed to hear this. STOP SPENDING YOUR MARCH SALARY. KEEP IT and look for a side Hustle you can start.
Its time not to make your job your life. So that even if you loose your job, you won't loose your life. #COVID19 #LockdownSA #sidehustle #SurvivingCovid19","['COVID19', 'LockdownSA', 'sidehustle', 'SurvivingCovid19']"
3,ChalysCaD,"South Africa, Europe and Asia",1081,500,5587,Tue Apr 07 19:54:48 +0000 2020,0,@Unathi_Kwaza You are wrong! between 5% and 80% of people testing positive for SARS-CoV-2 may be asymptomatic.https://t.co/EZhYmMvFsG,[]
4,Toruna_Li,"Cape Town, South Africa",804,430,2193,Tue Apr 07 19:56:50 +0000 2020,0,"i can’t see this alone😂😂🙂
what purpose do the gloves serve now?
#Day12OfLockdown 
#COVID19 https://t.co/nqbdC7AlHL","['Day12OfLockdown', 'COVID19']"
5,whittingdale,"Cape Town, South Africa",3270,950,18529,Tue Apr 07 19:57:43 +0000 2020,0,and for denying #coronavirus in China...when we all knew.check the timelines https://t.co/68UvAjymFS,['coronavirus']
6,SA_Bhebe,"Centurion, South Africa",5062,6737,8067,Tue Apr 07 19:59:32 +0000 2020,0,@TamaraPillay @PicknPay @NCC_COVID19 @eNCA I don't believe that a BIG retailer like Pick n Pay cannot negotiate prices or accept huge increases from their own suppliers especially at a time like this.,[]
7,NeoModihapula,,1968,8737,386091,Tue Apr 07 20:00:20 +0000 2020,0,Moruti re kopa live show post corona time 😭😭😭😭😭😭😭 https://t.co/8EVLRTEyCE,[]
8,StadenMarlene,"Modimolle, South Africa",149,330,495,Tue Apr 07 20:02:11 +0000 2020,1,"DISTRICT COMMAND COUNCIL

Today we had our very first sitting as a District Command Council for Waterberg.

Led by the Executive Mayor, Clr Mateboge, all local municipalities attended.

We have discussed and approved our contingency plans in response to the Corona Virus https://t.co/1QyxnVz6Yt",[]
9,DekaJele,Midrand,83,41,74,Tue Apr 07 20:03:06 +0000 2020,0,If corona was a person https://t.co/KCl8ujcxJy,[]
10,yungiiieUNFAZED,"South Africa, Johannesburg ",997,698,7647,Tue Apr 07 20:03:19 +0000 2020,0,"After Hours
.
.
.
😷🤕

#Day12OfLockdown #SBWL #SouthAfricaLockdown #COVID19 #supermoon #StaySafe #lockdowneffect https://t.co/RcYxkjR56X","['Day12OfLockdown', 'SBWL', 'SouthAfricaLockdown', 'COVID19', 'supermoon', 'StaySafe', 'lockdowneffect']"
11,Jonavon1963,Cape Town,192,244,588,Tue Apr 07 20:03:49 +0000 2020,0,"@MorningLiveSABC @SABCNEWS_ONLINE @Heart1049FM @IOL  @CapeTimesSA @KFMza @ewnupdates SADTU Western Cape Press Statement - “The Western Cape government is undermining the President’s plan to limit the spread of COVID 19 virus in the country,” SADTU says.
https://t.co/ctHHSuVP7M",[]
12,IamCaptainLebo,"Pretoria, South Africa",829,719,6732,Tue Apr 07 20:04:38 +0000 2020,0,"#fatherhood &amp; #fatherdaughter prep 4 #Day13OfLockdown So my princess is #aksing me, since I don't have answera, I #aks d world #Covid19inSA #LockdownMzansi #AreYouReadyToDivorceAlcohol  #TuesdayThoughts #TuesdayMotivation #TheMorningFlava #TeamMop #WEAREINTHISTOGETHER @METROFMSA https://t.co/dUoSIySRuA","['fatherhood', 'fatherdaughter', 'Day13OfLockdown', 'aksing', 'aks', 'Covid19inSA', 'LockdownMzansi', 'AreYouReadyToDivorceAlcohol', 'TuesdayThoughts', 'TuesdayMotivation', 'TheMorningFlava', 'TeamMop', 'WEAREINTHISTOGETHER']"
13,SA_Bhebe,"Centurion, South Africa",5062,6737,8067,Tue Apr 07 20:06:33 +0000 2020,0,"@TamaraPillay @Black_RoseG @PicknPay @NCC_COVID19 @eNCA The media is not doing enough to highlight this!!! @my_spar was trending today and @WOOLWORTHS_SA is also selling 18 eggs at over R100 according some Twitter posts! @Radio702
@Powerfm987
@Newzroom405 @SABCNewsOnline @eNCA @ewnreporter @TimesLIVE @SowetanLIVE @TheCitizen_News",[]
14,Lameez_L,041,948,1127,5869,Tue Apr 07 20:07:11 +0000 2020,0,"@wadehendrickss https://t.co/gEfOMsr7HR

Apparently this is what they looking at for a way forward",[]
15,SA_Bhebe,"Centurion, South Africa",5062,6737,8067,Tue Apr 07 20:08:37 +0000 2020,0,@TamaraPillay @Black_RoseG @PicknPay @NCC_COVID19 @eNCA @my_spar @WOOLWORTHS_SA @Radio702 @Powerfm987 @Newzroom405 @SABCNewsOnline @ewnreporter @TimesLIVE @SowetanLIVE @TheCitizen_News Retailers think because the country is facing a crisis people don't know what food costs!!! I know my price of bread and I will tell you even when it has gone up by a 1c no matter the circumstances!!!!,[]
16,Lahloza,CPT,1205,1495,34333,Tue Apr 07 20:11:29 +0000 2020,0,"How a lie WE TOLD about Bill Gates and a vaccine for the coronavirus exploded on Twitter

- Fixed it for you https://t.co/SdhaWRFhlV",[]
17,jugwanthj,proudly on South African soil,3996,2640,10737,Tue Apr 07 20:18:18 +0000 2020,0,"Good point Professor, however, Mbeki, did not make those comments disrespecting the Disaster Act. COVID-19 is different from HIV/AIDS https://t.co/mcfqYtoL7z",[]
18,AccessChapter2,"Pretoria, South Africa",135,466,657,Tue Apr 07 20:19:06 +0000 2020,2,"Catch our ED @msletsike 

On Covid-19 https://t.co/vfdt1oTHsm",[]
19,NorthWestDOH,"Mafikeng, South Africa",10014,15263,4704,Tue Apr 07 20:19:26 +0000 2020,5,"#NorthWestHealth Administrator Jeanette Hunter @jeanetterebecc1 says the more we know our #Covid19 status and keep ourselves safer through physical distancing, washing our hands and not touching our faces the better. Let’s flatten the curve and keep numbers low. #StayHomeSA https://t.co/vrkuGvTsrE","['NorthWestHealth', 'Covid19', 'StayHomeSA']"
20,Magelizah,South Africa,465,60,81,Tue Apr 07 20:21:10 +0000 2020,0,#COVID19_CHRONICLES #LOCKDOWN_ESSENTIALS_101 @ Cest Si Bon Shelly Beach https://t.co/Pe3ALGIrfN,"['COVID19_CHRONICLES', 'LOCKDOWN_ESSENTIALS_101']"
21,zvobgoluckson,"Rosebank, Cape Town",3182,30037,75026,Tue Apr 07 20:21:47 +0000 2020,20,How terrible things are in Zimbabwe. A #covid-19 infected person died on Saturday but his #covid-19 test results announced today 3 dys later after his death.,"['covid', 'covid']"
22,badqueentuelo,GOD,96,6063,97917,Tue Apr 07 20:22:48 +0000 2020,1,I affirm after Covid19: https://t.co/9fGBfBZL7V,[]
23,LuvuyoluthandoM,"Midrand, South Africa",1859,1857,3468,Tue Apr 07 20:26:55 +0000 2020,0,@Nala_Denga @JNkosiman @TeddyBAfrica @COVID_19_ZA @DrZweliMkhize What about those who dont know and are infecting those who are also unaware of their surroundings.,[]
24,TsotsiWaJapan,Old Trafford,795,2480,74132,Tue Apr 07 20:28:19 +0000 2020,0,Lol Aunty osizayo is saying we must stay away from women because of this Corona thing... uthi akafune mantombazane in the house 🤣🤣🤣🤣,[]
25,Skhumbuzo123,"Cape Town, South Africa",843,536,8054,Tue Apr 07 20:29:14 +0000 2020,0,"Ayo! As soon as we get an instant results testing kit for Coronavirus, some club needs to use that as entrance fee coz we need to party before a vaccine is approved 💯🍾🥂",[]
26,q_bar_king,Citizen of the World,1041,471,9019,Tue Apr 07 20:29:15 +0000 2020,0,One continent standing!! Afrika ✊🏽😂 #Covid19inSA #CoronavirusInSouthAfrica https://t.co/Hzj3YFSHzL,"['Covid19inSA', 'CoronavirusInSouthAfrica']"
27,briam_harrison,Pretoria,1857,1565,32566,Tue Apr 07 20:30:27 +0000 2020,0,"#Coronavirus : Latest

USA 🇺🇸  now surpassed France with most deaths recorded in a day 1,687 https://t.co/mjTmb8k1pQ",['Coronavirus']
28,briam_harrison,Pretoria,1857,1565,32566,Tue Apr 07 20:38:45 +0000 2020,0,"Check out @Trevornoah interviewing Bill Gates on @TheDailyShow on @DStv ch122,

And stop reporting fake News! #Coronavirus",['Coronavirus']
29,ShineBourgeois,"St Louis, MO 🇺🇸 / EL 🇿🇦",1673,14817,93345,Tue Apr 07 20:39:06 +0000 2020,0,Shit is crazy out there 😂😂😂 hi sipping through the 😷 #Covid19inSA #LockdownHouseParty https://t.co/qAwfNZeFt7,"['Covid19inSA', 'LockdownHouseParty']"
30,BadiLukholo,South Africa,421,302,977,Tue Apr 07 20:40:06 +0000 2020,0,Health Care Professionals are at the forefront of fighting the covid-19. https://t.co/iQvJB6GLbS,[]
31,navz_otwosh,🇿🇦🇰🇪,1315,958,31414,Tue Apr 07 20:40:19 +0000 2020,0,"@ahmednasirlaw Strangely though, China with the highest air pollution rates has had the lowest Covid-19 death rate than Italy, Spain, UK and the US where air quality is far much better. Something ain't right somewhere.",[]
