,username,location,following,followers,totaltweets,tweetcreatedts,retweetcount,text,hashtags
0,ntwanie,south africa,721,616,18571,Tue May 05 18:35:14 +0000 2020,0,Feeling rather neglected is been 5 days without that affirmation sms from SA_Gov that my efforts are helping with the fight against COVID-19,[]
1,crakeras,Johannesburg,1333,91879,8895,Tue May 05 18:43:05 +0000 2020,0,@GGAlcock: WTF SA govt? @MYANC Social grant queues highlight #COVID19 #lockdown  farce: https://t.co/yTyQG8MEeC @OfficialSASSA,"['COVID19', 'lockdown']"
2,ofuturecities,"Cape Town, South Africa",12250,91343,78262,Tue May 05 18:45:25 +0000 2020,2,"The field hospital could accommodate minimum 1 500 beds. It is engineered for safety while accommodating a high volume of patients, medical specialists, support staff &amp; vendors of up to 4 500 people daily at full capacity.

#covid19 #stadium #southafrica #design #architecture https://t.co/o6tqfUmfsM","['covid19', 'stadium', 'southafrica', 'design', 'architecture']"
3,pabie_letty,"Burgersfort, South Africa",2578,2555,3333,Tue May 05 18:46:56 +0000 2020,0,African Union: Corona Virus Cure from Madagascar - Sign the Petition! https://t.co/belqx9O9SB via @Change,[]
4,DwainDStewart,"Sandton, South Africa",1971,1748,4802,Tue May 05 18:49:42 +0000 2020,0,@BOERVROU14 Oh FFS apartheid!? Imagine Jewish people saying the same in relation to the Holocaust @DlaminiZuma @piersmorgan @humanrights1st @WHO thank Christ for @CyrilRamaphosa #whiteprivilege? Tackle human inequality period - if only we were all lucky enough to be colour blind #Covid_19 https://t.co/0wSGiWkh7P,"['whiteprivilege', 'Covid_19']"
5,given_ngomani,South Africa,35950,43983,172070,Tue May 05 18:53:02 +0000 2020,11,"In the UK rolls royce is cutting 8 000 jobs, British airways 12 000 and Virgin Atlantic 3 000 jobs and in the USA close to 16 million Americans may loose their jobs due to the COVID19 whilst this is very scary, in South Africa the fight is about cigarettes, get your act together",[]
6,torochaser,Headed somewhere slowly.....,296,239,14856,Tue May 05 18:58:29 +0000 2020,0,My phone been my saving grace during this Coronavirus shem 😩😩💔,[]
7,AmbassadorJulin,"Stockholm, Sweden",1419,2711,4352,Tue May 05 19:00:08 +0000 2020,1,"Listen to #AndersTegnell (Sweden’s Prof Karim) explaining our Covid19-model to @Trevornoah Interesting! @DrZweliMkhize @HealthZA @ProfAbdoolKarim 
Dr. Anders Tegnell - Sweden’s Decision Not to Impose Quarantine | The Da... https://t.co/8L8W28H5IN via @YouTube",['AndersTegnell']
8,Community36tsh1,,164,11,218,Tue May 05 19:01:10 +0000 2020,0,"Car wash and saloons must open the chemical that they use is dangerous to the Humans and jams especially coronavirus, they use water all the https://t.co/kxLlIEdoHD President and Ministers look at it.",[]
9,meagzclaasen,"Cape Town, South Africa",264,87,3361,Tue May 05 19:07:29 +0000 2020,0,"DAY 5️⃣ // PHASE 4️⃣ :LOCKDOWN LOVE 💕 
•
Did I put make up on, do my hair, throw on a dress just for my weekly shop ?? 
... all in the hopes to meet my COVID boyfriend from 2 meters away 💕
•
10000% - OF COURSE I DID… https://t.co/cRlELqKg03",[]
10,peter_5yrs,"Pretoria, South Africa",438,697,21226,Tue May 05 19:09:04 +0000 2020,0,Hard times #Covid19SA many lose thier jobs as I see things. https://t.co/l8l3EI8nfb,['Covid19SA']
11,Hannetj72595323,,11,55,4823,Tue May 05 19:11:34 +0000 2020,0,"@ScienceChiq_79 Yesterday I read a piece from a burial parlour employee stating that each and every death was 'diagnosed' as Covid-19. According to him the virus must have cured cancer, heart diseases, diabetes etc. No autopsies were performed🤔",[]
12,JohnLombela,"Johannesburg, South Africa",773,2186,4119,Tue May 05 19:17:05 +0000 2020,0,"Stop talking about how miserable you are. Start doing something right now that will change the circumstances of your life and refuse to accept things for what they are#Covid19 #Lockdown","['Covid19', 'Lockdown']"
