,username,location,following,followers,totaltweets,tweetcreatedts,retweetcount,text,hashtags
0,Skhumbuzo123,"Cape Town, South Africa",842,536,8054,Mon May 04 19:18:22 +0000 2020,0,"Check on your friends and family in Cape Town during #COVID19 #lockdowninsouthafrica.
We're living amongst idiots intent on spreading a pandemic who believe this is the Civil Rights Movement😩 https://t.co/3pwud8hP5a","['COVID19', 'lockdowninsouthafrica']"
1,gudtobeblack,"Johannesburg, Soweto",678,1083,16961,Mon May 04 19:21:45 +0000 2020,0,"U.S. states want to reopen busineses, but schools and day cares remain closed, and parents can't go back to work without them. https://t.co/swlsa2LIeH via @HuffPostPol",[]
2,r00ibaard,South Africa,461,1194,13702,Mon May 04 19:22:25 +0000 2020,0,@Animalsandfools Very sad for the monkey :(:( humans so so so cruel. Corona needs to get ppl like this. It’s what it was designed for https://t.co/K8TEqr2VVE,[]
3,Tremayne_AFC,South Africa,755,362,5517,Mon May 04 19:22:41 +0000 2020,0,"With an increased number of new cases now recorded daily, expect number of patient recoveries to decline due to added stress on our healthcare system #COVID19 #CoronavirusInSA #StayAtHomeSA 🇿🇦","['COVID19', 'CoronavirusInSA', 'StayAtHomeSA']"
4,ThibaThilivhali,Thohoyandou,5488,5392,2685,Mon May 04 19:23:00 +0000 2020,1,"Girls you must start giving us pussy, we gonna die all soon, this Corona is so serious #MayThe4th #COVIDー19 #LockdownSA","['MayThe4th', 'COVIDー19', 'LockdownSA']"
5,KgengweReneilwe,"Johannesburg, South Africa",0,36,869,Mon May 04 19:29:07 +0000 2020,0,"When life gives you people that are very special, you don't have to dream anymore🙌🏾
.
.
I miss you my friends❤️ #stayhome #covid19 #family #friends #unstoppablesquad @ Sunninghill Office Park https://t.co/cpj0SpUqzu","['stayhome', 'covid19', 'family', 'friends', 'unstoppablesquad']"
6,dube_mthoko,"Midrand, South Africa",1592,1286,1032,Mon May 04 19:30:17 +0000 2020,0,"Seven more Covid-19 deaths have been recorded, totalling 138 deaths. SA's mortality rate is 1.9%, below the worldwide average of 3.4%. SA now stands at 7 220 confirmed Covid-19 cases.",[]
7,thabangdenia,Pretoria east the blyde estate,47032,45567,41980,Mon May 04 19:32:58 +0000 2020,0,@Madzovi Mama covid,[]
8,EricRahoo,"JHB,South Africa",1231,2259,219601,Mon May 04 19:34:06 +0000 2020,0,"Countries overseas are not giving shit about this Corona virus, next thing they will want to fly down here.",[]
9,K_TLEM,Vaal/Sebokeng/Zone 10 Ext.3,204,1128,1189,Mon May 04 19:35:37 +0000 2020,1,"#Vaal Rise Up. Check the link below. #VaalTwitter #Vaali #VaalCruise
#Vaaldrive #520PROMO #RT #COVID19SouthAfrica #Covid19SA #Covid_19 #COVID19UGRecovery
https://t.co/ztIIuQq9qe https://t.co/EpqJbmW47a","['Vaal', 'VaalTwitter', 'Vaali', 'VaalCruise', 'Vaaldrive', '520PROMO', 'RT', 'COVID19SouthAfrica', 'Covid19SA', 'Covid_19', 'COVID19UGRecovery']"
10,sellomolope1,,2,1,26,Mon May 04 19:39:33 +0000 2020,0,The corona is going up every day,[]
11,Andymatsha,"East London, South Africa",4998,2063,14276,Mon May 04 19:39:43 +0000 2020,0,@UMaphango @IamLadyeeElle @Dispatch_DD After Covid19 kuzobakho state investigation for ezi Sanitser,[]
12,Taarique1,"Cape Town, South Africa",1758,786,1145,Mon May 04 19:40:21 +0000 2020,0,@CyrilRamaphosa @eNCA @southafrican @PresidencyZA @WesternCapeGov OK IM DONE SOUNDING LIKE A BROKEN RECORD BUT that cigarettes you see in the thread will surely kill us sooner than the CORONAVIRUS/ COVID19 “WE HAVE RIGHTS &amp; I’ll be going to COURT not alone!Trust me Mr President,[]
13,Simlindile_M,Cape Town|Centane,5001,505,1427,Mon May 04 19:43:20 +0000 2020,0,"#WesternCape I pray every day that this #covid19inSA doesn't reach a 20,000 death mark at least... I hope we don't even get to 5000. Nkosi Sikelela iAfrika","['WesternCape', 'covid19inSA']"
14,SA_Nozomi,South Africa,130,233,484,Mon May 04 19:46:09 +0000 2020,0,TD | Weathering the COVID-19 lockdown | Coping with the new normal https://t.co/mKFPPcL2Kw,[]
15,Cedric_Bosega,"Pretoria, South Africa",288,330,1205,Mon May 04 19:47:28 +0000 2020,0,Covid-19... thou art a heartless b@&amp;&amp;h😔 #staysafe #pleasequarantineyourself @ Temba Hammanskraal https://t.co/ktPOusmDiP,"['staysafe', 'pleasequarantineyourself']"
16,shandu009,"MIDRAND,SOUTH AFRICA",2847,2791,94245,Mon May 04 19:48:15 +0000 2020,3,"The prophet #Bushiri
20plenty, before #COVID19 https://t.co/smMUiDfype","['Bushiri', 'COVID19']"
17,dougandersonza,South Africa,972,551,2929,Mon May 04 19:50:39 +0000 2020,0,"I wish we could have a weekly/ bi-weekly briefing session breaking down all the COVID-19 stats, what the numbers mean, what to look for, comparisons, what are ""positive"" and ""negative"" figures etc, in layman's terms, by the specialists. This will help the public. @DrZweliMkhize https://t.co/oEAkAwexpv",[]
18,BEATZBYBKAY_,"Sasolburg, South Africa",208,235,584,Mon May 04 19:51:47 +0000 2020,0,"Covid-19 could not even break the bond, True meaning ya RE KAO FELA #VaalTwitter 🇮🇹❤️",['VaalTwitter']
19,SuperKwazi,South Africa,974,317,3642,Mon May 04 19:52:03 +0000 2020,0,"040845BMAY20

Monday 4th May 2020.
Milnerton, Cape Town, South Africa.

Day 39 COVID-19 National Lockdown. Day 4 of Level 4.

Life In Lockdown Land!

The Rebel Force!

May The 4th Be With You! When you’re waging war… https://t.co/AONCw8xpgg",[]
20,SbonisoPNZ,Afrika,2663,1869,22755,Mon May 04 19:52:04 +0000 2020,0,South Africans: Support the National Command Council on COVID-19 decision to ban the sale of cigarettes - Sign the Petition! https://t.co/PueWzu1ZPL via @Change,[]
21,SbonisoPNZ,Afrika,2663,1869,22755,Mon May 04 19:52:29 +0000 2020,0,South Africans: Support the National Command Council on COVID-19 decision to ban the sale of cigarettes - Sign the Petition! https://t.co/0TQzNGWFKy via @Change,[]
22,LeefaMokoena,,1731,154,9654,Mon May 04 19:53:18 +0000 2020,0,@Beyonce I cooked covid19... why do you think my car is priced at Covid19.6 rand exchange rate to dollar? https://t.co/3oPFOymJA9,[]
23,LeefaMokoena,,1731,154,9654,Mon May 04 19:54:25 +0000 2020,0,@CIA my mother died of Covid19... and the rest of my family. @PresidencyZA,[]
24,Kwena_Lebogang,"Johannesburg, South Africa",484,967,1896,Mon May 04 19:54:38 +0000 2020,1,Promises to be an amazing conversation celebrating the winners of @codethecurve. Join us on the #SAPPurposeNetwork Live to hear about their winning solutions to tackle #COVID19. Click here to register: https://t.co/vcNdmWdS4I https://t.co/MnU9Dyy3Tv,"['SAPPurposeNetwork', 'COVID19']"
25,riadlaher,Sandton South africa,1372,530,8421,Mon May 04 19:55:11 +0000 2020,0,India slapping a 70 percent corona tax on alcohol 😂 https://t.co/2BmvWcn1S7,[]
26,LeefaMokoena,,1731,154,9654,Mon May 04 19:55:33 +0000 2020,0,@HealthZA my mother died of Covid19... guess who invented it unknowingly...@Beyonce https://t.co/5DZmIX00FS,[]
27,Skhumbuzo123,"Cape Town, South Africa",842,536,8054,Mon May 04 19:55:40 +0000 2020,0,"If Khayelitsha or Gugulethu had the number of #Covid19 cases as the city of Cape Town, they(you know who) would have demanded that those townships be quarantined.
#WeAreInThisTogether 🙄","['Covid19', 'WeAreInThisTogether']"
28,Derekepping, Cape Town,666,413,27831,Mon May 04 19:55:47 +0000 2020,1,We're so fucked..... All the hate.... 😫 #COVID19,['COVID19']
29,LeefaMokoena,,1731,154,9654,Mon May 04 19:56:54 +0000 2020,0,@KimKardashian my mother died of Covid19 https://t.co/66ycIQ6U2A,[]
30,BrianNyezi,"Johannesburg, South Africa",1074,1825,9296,Mon May 04 19:57:40 +0000 2020,1,"At this infection rate, before end of this week, SA will be over 10,000 confirmed cases of COVID-19. @HealthZA https://t.co/mvLnKx7U5u",[]
31,Molefi_M,Vaal Gauteng S.A,841,506,3811,Mon May 04 19:57:57 +0000 2020,0,@EMolangoanyane #VaalTwitter  #VaalTwitterDrive  Let's beat covid https://t.co/qr5AW5dHJE,"['VaalTwitter', 'VaalTwitterDrive']"
32,ineskawaii,South africa,89,124,299,Mon May 04 20:04:09 +0000 2020,0,"Important to put things into perspective and to understand that we will beat covid but what about smoking, pollution, diet, mental health, malaria?! https://t.co/A3cLbDGijP",[]
33,MetjaKopino,"Pretoria, South Africa",530,968,16823,Mon May 04 20:08:12 +0000 2020,0,@AbigailMaemu 😂... Re dealer le Covid hy moet net wag,[]
34,realNeoM,"Cape Town, South Africa",1032,3489,12353,Mon May 04 20:11:20 +0000 2020,0,@RodriguezCairo1 Mxm 🤣🤣🤣 this COVID19 nonsense ruined what would’ve been a great year yaz,[]
35,mkoo7gp,Jozi,4656,2269,68077,Mon May 04 20:14:05 +0000 2020,0,South Africans: Support the National Command Council on COVID-19 decision to ban the sale of cigarettes - Sign the Petition! https://t.co/ZQLXpfYCZZ via @Change,[]
36,khayeLK,"Durban, South Africa",1356,2503,10252,Mon May 04 20:14:43 +0000 2020,0,"The problem with USA passionate push for economic reopening is informed by the insensitivity that, mainly and enormously, this COVID-19 Virus, to them, is lie ethnic cleansing of black race. They don’t care. @S_C_ @LouisFarrakhan @RevJJackson @DrTedros",[]
37,ArapahoSantiago,"Sandton, South Africa 🇿🇦",936,980,8253,Mon May 04 20:15:27 +0000 2020,0,South Africans: Support the National Command Council on COVID-19 decision to ban the sale of cigarettes - Sign the Petition! https://t.co/2KQKoDlBIe via @Change,[]
38,KevGBE,"Johannesburg, South Africa",508,548,14998,Mon May 04 20:16:48 +0000 2020,3,When I see a 10/10 hun while I'm on the way to find a cure for covid19 https://t.co/bcL5GoB9p1,[]
39,covertony,Cape Town,1901,3573,32464,Mon May 04 20:16:58 +0000 2020,0,"@News24 @CyrilRamaphosa That way nobody is blamed when things go wrong. It also confirms that the economically illiterate still rules the roost. We need to tap every cent of revenue out of this economy without disturbing COVID successes. Cigarettes are still being sold, just without tax revenue!!",[]
40,Just_Marley_,"Centurion, South Africa",2098,2204,486,Mon May 04 20:17:25 +0000 2020,0,"The Western Cape should have stayed at on level 5 lockdown. Can they go back alone as a province. They are basically the District 9 of South Africa. 
#Covid_19 #staysafe #day37oflockdown #ExtendTheLockdown","['Covid_19', 'staysafe', 'day37oflockdown', 'ExtendTheLockdown']"
41,TeffuJoy,"Pretoria, GaMatlala, SA ",8353,8583,110684,Mon May 04 20:19:59 +0000 2020,0,"Who are this idiots tht u always refers to, who are this ppl tht u wish so worse abt them. Cant u drive positive tweets tht might somehow change ppl's perception abt #Covid19SA - I hv never seen such a weak Politician. https://t.co/GnJUeVPslh",['Covid19SA']
42,Sbll,Mzanzi ,1145,1443,1882,Mon May 04 20:21:47 +0000 2020,0,South Africans: Support the National Command Council on COVID-19 decision to ban the sale of cigarettes https://t.co/GWAxiRGnPR via @Change,[]
43,vuvu212001,"Johannesburg, South Africa",1433,530,3272,Mon May 04 20:22:15 +0000 2020,0,"The shortest story in the history of covid
.
.
.
R350 dololo",[]
44,Sthems,Fourways,1476,931,3097,Mon May 04 20:23:09 +0000 2020,0,Coronavirus: Lions nap on road during South African lockdown https://t.co/X4IV3EtZzV,[]
45,thato_kashe,"Centurion, South Africa",5001,3499,8246,Mon May 04 20:24:56 +0000 2020,0,If we do not VOTE for a leadership that put its people first...... we ALL gonna die AFRICANS ! thats a promise from those who are planning to take over minerals #coronavirus https://t.co/G6rI8YIv1z,['coronavirus']
46,liam_mulenga,Johannesburg📍,1882,3127,44678,Mon May 04 20:34:15 +0000 2020,0,1.5 million people went to work today and the number of cases is 7220 😭 #Covid19InSA,['Covid19InSA']
47,Thapelo90351161,,80,2,85,Mon May 04 20:36:58 +0000 2020,0,"@PresidencyZA 0ur country are in Danger, because of covid 19.let's go back to level 5.",[]
48,magicdan60,"ÜT: -26.712692,27.104824",9055,8300,23420,Mon May 04 20:38:00 +0000 2020,1,"If cigarette sales spread coronavirus, prove it – tobacco association
#lockDownSouthAfrica
#sabcnews
#SouthAfrica🇿🇦
#COVIDー19
#COVID19

https://t.co/nmfmqpjFEa (via )","['lockDownSouthAfrica', 'sabcnews', 'SouthAfrica', 'COVIDー19', 'COVID19']"
49,maisakajay,Sunny South Africa,1510,392,22152,Mon May 04 20:38:11 +0000 2020,0,"There should be a cordon around Western Cape though, or else they're gonna spread it all over the country!!🤦🏾‍♀️🤦🏾‍♀️ #Covid19SA #lockDownSouthAfrica https://t.co/B8uPOVA2GD","['Covid19SA', 'lockDownSouthAfrica']"
50,shandu009,"MIDRAND,SOUTH AFRICA",2847,2791,94245,Mon May 04 20:40:03 +0000 2020,1,@LovemoreTalksHR @HrhVernon One person in a Lynden burg mine tested positive for #COVID19,['COVID19']
51,Mr_Awesome_Za,,1548,306,9546,Mon May 04 20:41:32 +0000 2020,0,African Union: Corona Virus Cure from Madagascar - Sign the Petition! https://t.co/tlT4KswahA via @Change,[]
52,kedar_patkar,"Mumbai, India",170,160,1018,Mon May 04 20:43:31 +0000 2020,0,"@Reuters talks about #coldwar but what we are facing currently is nothing but #WorldWar3. The ongoing #Covid_19, global powers against #China, #digitalcurrency introduction, #SouthChinaSea #NuclearTest. @WW3Info 
It's a ticking bomb which d entire humanity is currently witnessing https://t.co/CaR9c0NZKi","['coldwar', 'WorldWar3', 'Covid_19', 'China', 'digitalcurrency', 'SouthChinaSea', 'NuclearTest']"
53,MatuduMatji,Thohoyandou ,13719,12460,137366,Mon May 04 20:50:17 +0000 2020,1,"I can't seem to stomach the ""Let's go back to level 5 lockdown"" suggestions.

I mean this Covid19 is not going away anytime soon and we can't stay in lockdown forever. At some point we will have to learn to live with it and protect ourselves from it.",[]
54,TitusMatlawe,"Johannesburg, South Africa",4266,3986,59730,Mon May 04 20:52:11 +0000 2020,0,"💩 a network a ya bheda! Vodacom, MTN, same same! Le a tlhopa, maybe govt is now rationing data for us. #LockdownSA! 🤔😠😢 #Covid19InSA","['LockdownSA', 'Covid19InSA']"
55,thaka99,Pretoria,948,197,344,Mon May 04 20:52:47 +0000 2020,0,South Africans: Support the National Command Council on COVID-19 decision to ban the sale of cigarettes - Sign the Petition! https://t.co/Ts1o7mUuLD via @Change,[]
56,Tshwanelo80,ONE UNITED AFRICA,1573,1458,86513,Mon May 04 20:54:33 +0000 2020,1,"You know, some time back there were numerous research that portrayed alcoholism as a black problem, boom covid-19 came and we realized that it's not the case https://t.co/9L1xQAGxxi",[]
57,MatuduMatji,Thohoyandou ,13719,12460,137366,Mon May 04 20:54:58 +0000 2020,0,"Corona virus is inevitable, life must continue.",[]
58,MatuduMatji,Thohoyandou ,13719,12460,137366,Mon May 04 20:58:36 +0000 2020,1,"The race is between the Corona virus versus Depression and Poverty.

😏",[]
59,ephymol14,,1007,1991,28545,Mon May 04 21:02:07 +0000 2020,1,We love being Anti covid19 MOVEMENT...3layers with the filter and Csd STANDARDS....WASH/IRON...#makemasks #savelives... https://t.co/jWLFRq08pS,"['makemasks', 'savelives']"
60,Simlindile_M,Cape Town|Centane,5001,505,1427,Mon May 04 21:03:17 +0000 2020,0,"There is no mention of Mother's day even on TV 📺... Well maybe we're too focused on #COVID19.

It feels like a father's day, it never has any value. I hope I don't forget to wish my mom",['COVID19']
61,EricRahoo,"JHB,South Africa",1231,2259,219601,Mon May 04 21:04:56 +0000 2020,0,We are facing some serious problems with this Corona nonsense,[]
62,1dobson47,"Johannesburg, South Africa",276,112,1287,Mon May 04 21:06:18 +0000 2020,0,Please ask the last sentence again. Which parent will want to use their kids to test COVID-19? Unless those who are now letting their kids roam the streets complaining that the kids eat too much or they want privacy. That’s useless parents https://t.co/bBeqXGbyFw,[]
63,getjiese,"Potchefstroom, South Africa",20455,43477,17962,Mon May 04 21:06:21 +0000 2020,2,"I can't make peace with the fact that am supposed to be graduating this Thursday and I won't because of Corona It breaks my heart. Am not OKAY, am not😭😭😭😭😢😢 https://t.co/j3k4Pe13GX",[]
64,ThatMeneer,"Johannesburg, South Africa",1097,1170,2819,Mon May 04 21:09:16 +0000 2020,0,When is one of the Miracle Pastors claiming to have healed Covid19...the silence of our pastors is deafening 😥,[]
65,getjiese,"Potchefstroom, South Africa",20455,43477,17962,Mon May 04 21:10:17 +0000 2020,0,@zeeboney @SphiwesihleMk I hate this Corona😭😭😭,[]
66,SabeloMrOGee,Westville Durban South Africa,4380,3961,5065,Mon May 04 21:11:08 +0000 2020,0,@Jafta_ML Mandarin to ask Chinese how they created this covid-19,[]
67,ephymol14,,1007,1991,28545,Mon May 04 21:11:13 +0000 2020,0,Ephymol 3layers masks with the filter and Csd STANDARDS....WASH/IRON...#makemasks #savelives We Anti covid19 MOVEMENT.. https://t.co/Wdi436mBbP,"['makemasks', 'savelives']"
68,MichLD72,United Kingdom,1855,555,1761,Mon May 04 21:12:14 +0000 2020,0,I literally have no words. This country ... Unbelievable!!!  #level4lockdown #SouthAfricaLockdown #Covid19SA #cantfeedthehungry  #CoronaVirusSA https://t.co/B9agGneZoA,"['level4lockdown', 'SouthAfricaLockdown', 'Covid19SA', 'cantfeedthehungry', 'CoronaVirusSA']"
69,Mdleleni,"Johannesburg, South Africa",4364,3263,4509,Mon May 04 21:18:45 +0000 2020,0,"@hlakaneb @portiagumedesa @Lesufi It's very confusing indeed Nhlaka three of my friends didnt get no payment from their employer they not even saying anything one just re-applied for the COVID-19 UIF and after it was back to being quite 

Its stressful nje and those people have Bill's to pay so is food https://t.co/7U2iyCABgO",[]
70,RealOmza,The Parks- Fourways ,1139,372,6892,Mon May 04 21:21:01 +0000 2020,0,"@khayadlanga My life before CoVid19, I was on a right track. I was gonna achieve a lot this year.",[]
71,zanindaba,Global,964,1074,7891,Mon May 04 21:23:37 +0000 2020,0,Sikhathele already 🤣oh le corona https://t.co/YeYp1izGed,[]
72,sbo_zitha,"Durban, South Africa",4418,5420,54170,Mon May 04 21:24:18 +0000 2020,0,"Whatever you do,  please don't nuy mask on the street. #Covid_19 is giving us enough running already,  dont more virus https://t.co/N6lSYE8cs5",['Covid_19']
73,IrvinKettyKhoza,"Centurion, South Africa",124,746,81804,Mon May 04 21:35:52 +0000 2020,0,"@mzwandileMasina No I can't. The government banning ciggarates was a dumb move. Now ciggarates are scarce. People are gonna share the little they have (skeif) and infect each other with the Corona virus. No, I can't support your cause.",[]
74,auntywama2000,"Newcastle, South Africa",6963,8707,28591,Mon May 04 21:36:58 +0000 2020,0,@GwinchS_ @god Yini le?😂😂 Why are they sooo unhygienic? How do you explain this? Yho hhay covid was supposed to wipe all of them out sies,[]
75,nkatareginald,Limpopo Botlokwa Springs ,3610,1864,10342,Mon May 04 21:38:20 +0000 2020,0,South Africans: Support the National Command Council on COVID-19 decision to ban the sale of cigarettes - Sign the Petition! https://t.co/ogNyN4mLpq via @Change,[]
76,RapotuMM,"Polokwane, South Africa",3479,3658,20933,Mon May 04 21:39:02 +0000 2020,0,@ArthurMaisela Kea lwala struggling to breathe ase Corona kee tsere court💔💔💔.,[]
77,Oteng_Lamola,"Pretoria, South Africa",6625,6782,24968,Mon May 04 21:39:58 +0000 2020,0,Those people who don't know how to sing but always sang with the crowd at church.... HOW ARE YOU DOING AT THE BACK WITH COVID-19? NO CHURCH,[]
78,ma_willow,"Johannesburg, South Africa",330,259,5585,Mon May 04 21:41:42 +0000 2020,0,@AdvoBarryRoux Are individuals allowed to place an order for the Madagascan alleged covid19 cure?,[]
79,yvetatti,"Cape Town, Western Cape",512,236,20324,Mon May 04 21:46:32 +0000 2020,0,"Boloba lisusu !!!!
#covid19 has changed many stereotypes and conceptions!!!! @ Cape Town Southern Suburbs, Cape Town https://t.co/9cwgKU0lyS",['covid19']
80,Da_KaTalist,South Africa,249,141,732,Mon May 04 21:49:52 +0000 2020,0,Y'all know mos Corona got a sister... After the guy kuza Lona. So we're not safe. 🙉. #coronavirusInSouthAfrica https://t.co/Y1j2HJRX31,['coronavirusInSouthAfrica']
81,GlarezH,,200,6322,47869,Mon May 04 21:53:13 +0000 2020,0,Get tested for Covid19 bro https://t.co/ebUgObpB0d,[]
82,nthabimany,South Africa,138,316,8272,Mon May 04 21:56:42 +0000 2020,0,@HeidiGiokos @TimModise oh no 🤦🏾‍♀️ more Corona brought to Mzansi 😢,[]
83,Zukz_Franco,,7187,7984,49897,Mon May 04 21:57:37 +0000 2020,0,@kulanicool Yet he never saw #COVID19 🤣,['COVID19']
84,jamescapetown,"Cape Town, South Africa",22,8636,222844,Mon May 04 22:02:46 +0000 2020,8,"😷PLS RT!😷 Live #Periscope #CapeTownCoronaDiary Day 51➡@MarvellousMasks new #Covid_19 #LockdownLevel4 handmade #FaceMasks #SmallBiz+NEW bespoke masks for guys with beards yo! 😎💝🌍🐸 #capetown #southafrica #day39oflockdown cc @PeriscopeCo @sbizso
https://t.co/lSm5l3dPXQ","['Periscope', 'CapeTownCoronaDiary', 'Covid_19', 'LockdownLevel4', 'FaceMasks', 'SmallBiz', 'capetown', 'southafrica', 'day39oflockdown']"
85,Kvsh_Molton,"Rustenburg, South Africa",9169,8670,47230,Mon May 04 22:02:51 +0000 2020,0,"I test my free kick skills
#KeaDrive
#Covid_19SA https://t.co/piLHTWbags","['KeaDrive', 'Covid_19SA']"
86,skech1,South Africa,809,798,4188,Mon May 04 22:10:31 +0000 2020,1,"Over 3000 soldiers and civilian employees of the Russian Ministry of Defence are infected with Covid-19. 1,254 servicemen, 1,228 cadets and professors at higher military schools, 209 cadets at 4 pre-higher military schools,and 332 civilian employees. Janes (2020,May 05) #COVID19",['COVID19']
87,princedonnovan,"Cape Town, South Africa",1256,1712,43026,Mon May 04 22:14:42 +0000 2020,0,"I only drink Henney and smoke Marlboro, drink nou pynappel bier en roek pacifics! We see you #COVID19",['COVID19']
88,AbutiRowRow,"Johannesburg, South Africa",530,2699,73708,Mon May 04 22:20:54 +0000 2020,0,"Last week you were bragging about your generator during covid, manje you’re boycotting 💔💔💔 #boycottrespublica",['boycottrespublica']
89,JonDenga,South Africa,913,376,1426,Mon May 04 22:22:02 +0000 2020,0,What’s up with Coronavirus &amp; toilet paper bulk buy?,[]
90,tekomak_,"Midrand, South Africa",992,2621,40645,Mon May 04 22:25:47 +0000 2020,0,"I don’t understand such individuals. 😩 I don’t. What part of Covid is a respiratory illness do people not understand? 🤷🏽‍♂️ It is nothing thaat personal. 🙃 People share cigarettes there by the corner and likes. 😣

Haii fokk man. 😒 MaDlamini must be left alone. 🚮 https://t.co/d8vbPKplwx",[]
