,username,location,following,followers,totaltweets,tweetcreatedts,retweetcount,text,hashtags
0,SbuMpungose,JoburgMyHomeburg ,4838,16779,49707,Fri May 22 17:23:45 +0000 2020,2,"Lol, y’all think you are really doing something here. The government (with all their shortcomings) has been clear about opening up the economy incrementally. This also gives some employers time to meet the safety standard required in this COVID19 world. https://t.co/Wc1cmytZ39",[]
1,MelusiT,"Durban, South Africa",1926,1345,9423,Fri May 22 17:27:29 +0000 2020,1,"If A Guy Invites You Over To His House, And His Friends Start Leaving One By One, My Sister Follow The Last Person

#Covid_19 #day57oflockdown # https://t.co/lsz5g9o2vo","['Covid_19', 'day57oflockdown']"
2,ricardomackenzi,Cape Town,2119,6649,39911,Fri May 22 17:28:34 +0000 2020,252,"Dear @CyrilRamaphosa I honestly thought at some point (first week of #Lockdown) we fighting the same thing: #COVID19 

It has become clear over many weeks you &amp; your “NCCC” declared war on good, honest South Africans. 

For Gawd Sake: STOP IT 😡😡😡😡 https://t.co/19JcXPuE8c","['Lockdown', 'COVID19']"
3,Emjay_McWilsons,South Africa,2018,3177,7958,Fri May 22 17:31:39 +0000 2020,0,@siphodube @harryjacobs77 @makumbi_k2 @News24 @QaanitahHunter Sorry sir/ma’am but this comment is unreasonable since everyone is subjected to indoors and home working/studying. Lastly the issue at hand is about limiting spread of Covid19 not road accidents.,[]
4,shandu009,"MIDRAND,SOUTH AFRICA",2847,2791,94245,Fri May 22 17:31:42 +0000 2020,0,"@KoosdlRey @schenckerville Missed the comparison of deaths same period last year, without covid-19. It may be a serious omission, if we extrapolate Covid is then killing less, but the effects of lockdown are causing more deaths.",[]
5,NorthWestDOH,"Mafikeng, South Africa",10015,15280,4705,Fri May 22 17:31:43 +0000 2020,15,"#COVID19| The total number of confirmed COVID-19 cases in South Africa is 20 125 with 10 104 recoveries and 397 deaths. North West province has 80 confirmed cases, 29 recoveries and one death. https://t.co/aXu3jKIl5o",['COVID19']
6,ZikhonaTshona,"Johannesburg, South Africa",2167,43570,68965,Fri May 22 17:32:55 +0000 2020,4,COVID-19 really did stop us in the tracks of chasing dreams 😭😭 can't wait for us to overcome. https://t.co/EkEmkQP21o,[]
7,ArtsSportNwpg,"Mafikeng, South Africa",1801,6285,3928,Fri May 22 17:35:59 +0000 2020,3,Premier Prof Job Mokgoro talks about North West's readiness for level 3 lockdown #COVID19 https://t.co/03ISmjXudY,['COVID19']
8,RaophalaM,Tzaneen,3521,1331,2683,Fri May 22 17:37:21 +0000 2020,0,"Saze savelelwa bakithi! 🙆🏽‍♂️

The number of COVID-19 infections in South Africa has breached 20k mark.
#day57oflockdown
#StayHome
#Covid_19 https://t.co/RdxqQQokg4","['day57oflockdown', 'StayHome', 'Covid_19']"
9,LuzukoShusha,"Durban, South Africa ",4554,1621,2720,Fri May 22 17:41:32 +0000 2020,0,Painting on the wall done today #COVID19SouthAfrica #coronavirus #Groutville #Stanger https://t.co/LxeczV9Zhs,"['COVID19SouthAfrica', 'coronavirus', 'Groutville', 'Stanger']"
10,Gibbs_Mp,"Mpumalanga,Mbombela",1489,1085,3734,Fri May 22 17:41:33 +0000 2020,0,@TheEazyEd They hoping COVID-19 can eliminate the majority so they can have better chance to come back to power.,[]
11,LINSDURBAN,"Durban, South Africa",380,1690,63839,Fri May 22 17:41:55 +0000 2020,0,Gauteng is like China #Covid19,['Covid19']
12,MonwabisiMbonda,"Port Elizabeth, South Africa",5012,1439,15764,Fri May 22 17:44:49 +0000 2020,1,They using Covid 19 to take away our rights.  #dlaminizuma https://t.co/Ja1nQyl1v6,['dlaminizuma']
13,ArtsSportNwpg,"Mafikeng, South Africa",1801,6285,3928,Fri May 22 17:48:57 +0000 2020,2,"#COVID19 The total number of confirmed COVID-19 cases in South Africa is 20 125 with 10 104 recoveries and 397 deaths.
North West province has 80 confirmed cases, 29 recoveries and one death. https://t.co/fVL6419nQF",['COVID19']
14,samcholes,,1642,1463,22295,Fri May 22 17:50:53 +0000 2020,0,Who has seriously considered a Twitter-fast due to Covid-19 fatigue?,[]
15,BHMedia_,"Cape Town, South Africa",8,3,112,Fri May 22 17:55:43 +0000 2020,0,"We created the #whatifseries for businesses during #coronavirus
To let them know there are still means of ways they can still market their business.

#MarketingStrategy #MarketingDigital #DigitalMarketing #socialmedia #Growth #branding #gym #Tiktokvsyoutube #Sales #SMM https://t.co/6REzT1LANY","['whatifseries', 'coronavirus', 'MarketingStrategy', 'MarketingDigital', 'DigitalMarketing', 'socialmedia', 'Growth', 'branding', 'gym', 'Tiktokvsyoutube', 'Sales', 'SMM']"
16,MpungoseNW,KZN-DBN-kwaMashu,843,631,6498,Fri May 22 17:56:24 +0000 2020,1,#UpDates on #Covid19SA with @yiaclub #CovidInfoTeam @ KwaMashu https://t.co/I4y2J9kh8o,"['UpDates', 'Covid19SA', 'CovidInfoTeam']"
17,alfred_morgn,"Cape Town, South Africa",209,126,1339,Fri May 22 17:58:02 +0000 2020,1,@EmyKuhlula @DrZweliMkhize My dear corona virus in SA is a scam,[]
18,SidwellGuduka,"Bloemfontein, South Africa",4974,3620,7795,Fri May 22 17:59:42 +0000 2020,0,#Coronavirus: Statistics https://t.co/lIafcDNvx2,['Coronavirus']
19,bandilemasuku,Soweto,1649,22556,2935,Fri May 22 17:59:46 +0000 2020,21,"MEC @Lesufi and I hosted Deputy Minister Thembi Siweya at one of our quarantine sites today. DM Siweya assessed the state of the quarantine facility, and received a briefing on the work done by @GautengProvince on COVID-19
#GrowingGautengTogether #GautengCOVID19 https://t.co/RerOYho8CD","['GrowingGautengTogether', 'GautengCOVID19']"
20,sindivanzyl,brainfarm.co.za,17213,291095,509452,Fri May 22 18:01:16 +0000 2020,20,"I have very small ears 

The masks that hook behind the ears are not working for me 

#COVID19",['COVID19']
21,NatesCarSales,East London - Amalinda,496,152,3209,Fri May 22 18:01:28 +0000 2020,0,"🚘 Nates Car Sales 🚘

Coronavirus Updates And Information ⚠️😷⚠️😷⚠️

 *20 125* Confirmed Cases In South Africa
 😱😷😱😷😱

*2459* Confirmed Cases In EC

We Can Fight This Together 🙏❤️😷

Stay Home ❤️🙏
Stay Safe 🙏❤️
Pray… https://t.co/fxXVr1USAR",[]
