,username,location,following,followers,totaltweets,tweetcreatedts,retweetcount,text,hashtags
0,GasantAbarder,"Cape Town, South Africa",1137,10904,102927,Tue Mar 24 20:34:20 +0000 2020,2,"Every time I read ""COVID-19"" I want to wash my hands. It's a lot of hand washing.",[]
1,Business_Engin,"Pretoria, South Africa",153,105,972,Tue Mar 24 20:36:17 +0000 2020,2,"...be strong, stay focused, together we will beat this #covid19 #shutdownsouthafrica #CoronavirusInSA https://t.co/G4fmMHCM93","['covid19', 'shutdownsouthafrica', 'CoronavirusInSA']"
2,PhotoStartGo,"New York, USA",179,171,2981,Tue Mar 24 20:37:07 +0000 2020,0,"I will love the light for it shows me the way, yet I will endure the darkness for it shows me the stars. – Og Mandino --- These seemingly endless stretches of fear, pain, and heartache are just brief moments of time that will soon pass.🙏
#hope #coronavirus #socialdistancing https://t.co/D0L5D2UAtJ","['hope', 'coronavirus', 'socialdistancing']"
3,Maricaquarsingh,Earth & soon to be on Mars,3241,1096,19531,Tue Mar 24 20:37:24 +0000 2020,0,I spoke of detriment of the Corona Virus since January 2020. To be honest  I felt it even before. And here we are. If  we don't follow the rules of the lockdown. That's terrible for us,[]
4,phisi001844892,,4999,2926,9825,Tue Mar 24 20:38:44 +0000 2020,0,@LessyJantjie And you say Corona will survive la. Never. Dangerous viruses has since passed Right Here,[]
5,Stimoroller,South Africa,812,3024,3892,Tue Mar 24 20:40:46 +0000 2020,0,"21 days later...🤤🍻🍸🍻
#21daysLockdown 
#Covid19SA 
#SANDF https://t.co/pilnXfcXOj","['21daysLockdown', 'Covid19SA', 'SANDF']"
6,neezylove02,"Centurion, South Africa",7784,7626,10887,Tue Mar 24 20:41:37 +0000 2020,0,#SANDF does 1mil have COVID-19 home test kits ?,['SANDF']
7,yaaaaaaams,South Africa,333,610,7790,Tue Mar 24 20:43:16 +0000 2020,1,"Why can’t it result in you being prosecuted because it’s as good as culpable homicide. Attempted murder at the very least.

#Covid19SA https://t.co/MeMzYuitjv",['Covid19SA']
8,trizan_thabiso,Polokwane🇿🇦,1251,839,3629,Tue Mar 24 20:44:00 +0000 2020,1,"SANDF first war is against a virus 😭 @akreana_ 
#SANDF 
#21daysLockdown 
#Covid19SA 
#LockdownSA https://t.co/go3s18UYaP","['SANDF', '21daysLockdown', 'Covid19SA', 'LockdownSA']"
9,Livs_1,"Sandton, South Africa",616,110,2636,Tue Mar 24 20:44:08 +0000 2020,0,"#PrayForTheWorld #StayAtHome #staypositive #COVID19 We will conquer this storm, hang on tight world!","['PrayForTheWorld', 'StayAtHome', 'staypositive', 'COVID19']"
10,GogoMoyoSpeaks,DO NOT DM. Details in header. ,12138,49142,52576,Tue Mar 24 20:44:14 +0000 2020,1,"Check out this site. It captures the extent and how hard hit the globe is affected by this virus.
#Covid19SA

https://t.co/3YkBa2vFZC",['Covid19SA']
11,maokafor,"Germiston, South Africa",1982,2204,23777,Tue Mar 24 20:44:35 +0000 2020,0,@iam_Chisco1 There's no need for any miraculous healing because Coronavirus will disappear on the 27th March 2020.,[]
12,TheDivinePrince,"Treme, New Orleans, LA",159,6878,115153,Tue Mar 24 20:44:42 +0000 2020,1,"Cameroon:  Legendary Singer, Saxophonist Manu Dibango Dies from COVID-19

ALLAFRICA, 24 MARCH 2020

The veteran jazz singer and saxophone player has died after contracting the new coronavirus #RespectTheVoodoo… https://t.co/1bcNbKgM3V",['RespectTheVoodoo']
13,SoulFood87,"Johannesburg, South Africa",4988,2853,12163,Tue Mar 24 20:45:27 +0000 2020,0,"This is the time to stop your addiction such as, 
Alcohol
Smoking
Spending money unnecessary
Drugs
Nyaope
You can also use this time for, 
Planing your budget
Planning your diet
Business planning

Use this time wisely it could work out for you. 
#21daysLockdown
#Covid19SA","['21daysLockdown', 'Covid19SA']"
14,NetshikulweDona,Johannesburg ,854,940,1342,Tue Mar 24 20:45:53 +0000 2020,0,"@DjMaphorisa since we are going to be locked down, can I please request uku'thi ngishaye'ibeat e'1
Then you will guide me through these 21 days if am coming right.
Am new in doing amapiano. Please grootmahn🙏.
GOD BLESS SOUTH AFRICA 🙏

#amapiano
#Covid19SA","['amapiano', 'Covid19SA']"
15,Rare9inety9ine,🇿🇼🇿🇦,6623,6221,13400,Tue Mar 24 20:46:23 +0000 2020,0,"""Isaiah 26 vs 20"" 

Go Home ,My people and lock you doors! Hide yourselves for a while until the Lord's anger has passed

#COVID19 #21daysLockdown #Quarantine #coronavirus","['COVID19', '21daysLockdown', 'Quarantine', 'coronavirus']"
16,simsomdy,South Africa,952,929,5809,Tue Mar 24 20:46:37 +0000 2020,0,"I’m there after we’ve flattened the #coronavirus curve. 
 Beautiful harvest Mntungwa. https://t.co/nkjetfiHdK",['coronavirus']
17,DrMoyeni,Mafikeng,642,263,511,Tue Mar 24 20:48:20 +0000 2020,3,"#CoronavirusLockdown 

We unknown yet, but we had to share this to the world... Please retweet and share your views on our track called 21 Days

#southafricanlockdown
#COVID19 #sabcnews #MetroFM #MusicIsLife @casspernyovest @ArtsSportNwpg #Maftown https://t.co/1HqNgyKjy4 https://t.co/kexwYA2xEm","['CoronavirusLockdown', 'southafricanlockdown', 'COVID19', 'sabcnews', 'MetroFM', 'MusicIsLife', 'Maftown']"
18,MalemeMathole1,Pretoria/Botlokwa,35538,42164,16228,Tue Mar 24 20:51:42 +0000 2020,12,Nothing but the truth! #Covid_19 https://t.co/cLnIY26NW4,['Covid_19']
19,halakasha,"Soweto, South Africa",1084,356,1547,Tue Mar 24 20:52:18 +0000 2020,0,"With the season paused due to COVID19&amp;possibly returning in May 2019.
With Mido approaching his contract expiry date with the Mighty Amakhosi to set up with  Bafana Bastyle.
What do you think KC  should do:
1.release him early?
2.let me play the remaining games?
#DiskiScamtho https://t.co/zU294IHLyB",['DiskiScamtho']
20,Dr_Eve,Cape Town,962,21937,14494,Tue Mar 24 20:52:37 +0000 2020,0,Thank you @ZiaWasserman for raising awareness of impact of #Covid19SA on this population group https://t.co/e5ySP3dPni,['Covid19SA']
21,AphiweMlaza,"Cape Town, Brackenfel ",3193,3791,4150,Tue Mar 24 20:54:55 +0000 2020,0,Wish you can be my Corona 🥰@NalediChirwa Uzo-Quarantine Phy ♥️ Send Location 📍 https://t.co/rpYZu3jmdn,[]
22,Thabang015_,"Pretoria, South Africa ",1814,2365,51120,Tue Mar 24 20:55:10 +0000 2020,0,@MissyElliott  Covid19 is the virus you warned us about in Pass that Dutch,[]
23,Shaunn_sk,,376,297,1231,Tue Mar 24 21:03:30 +0000 2020,0,Covid-19 survivors tattoo when this is all over ?,[]
24,iam_tabz,TAFELKOP,1560,1672,8474,Tue Mar 24 21:05:37 +0000 2020,0,@NatashaShartz I've been down since this Coronavirus came into the picture,[]
25,sisantshona,Johannesburg,2230,7708,4443,Tue Mar 24 21:06:14 +0000 2020,23,"Tourism Industry FAQs on #Covid19SA

https://t.co/U7tgBhiFl5",['Covid19SA']
26,RantsatsiMokeki,Lesotho,4993,3331,2904,Tue Mar 24 21:06:28 +0000 2020,0,"So apparently everyone is a member of the South African National Defense Force (SANDF) now?😒😒😒
#SANDF #Covid19SA #21daysLockdown","['SANDF', 'Covid19SA', '21daysLockdown']"
27,ThaboDithakgwe,South Africa,766,34088,18572,Tue Mar 24 21:09:19 +0000 2020,2,"It's going to be a long and lekker 21 days. Just me and my livestock.  No visitors. And no one to ask me for sugar.

#21daysLockdown #SANDF #Covid19SA #LockdownSA #SouthAfricaLockdown #IWillStayAtHome #IWillStayAtFarm #FarmerSocialDistanceWeek https://t.co/vQ3bdhHZpf","['21daysLockdown', 'SANDF', 'Covid19SA', 'LockdownSA', 'SouthAfricaLockdown', 'IWillStayAtHome', 'IWillStayAtFarm', 'FarmerSocialDistanceWeek']"
28,maokafor,"Germiston, South Africa",1982,2204,23777,Tue Mar 24 21:09:55 +0000 2020,0,Corona Virus Live Tracker https://t.co/IDVnK0aZ2n,[]
29,derickmoremi,"Midrand, South Africa",4943,2055,8548,Tue Mar 24 21:11:16 +0000 2020,0,@Kenny__Neilwe You don't know our reasons to be here till now leave us in peace and deal with coronavirus with your government that is ready to deal with COVID 19 I'm not sick by the way,[]
30,Ozzie_mbuso,"Tsakane, South Africa",1358,1215,1629,Tue Mar 24 21:13:18 +0000 2020,2,"#SANDF
#Covid19SA
#21daysLockdown
I pledge to serve 🇿🇦 https://t.co/qzh5KaBQ4q","['SANDF', 'Covid19SA', '21daysLockdown']"
31,hpofficejet202,,526,528,3349,Tue Mar 24 21:13:27 +0000 2020,0,@Grace91089382 Le5s wait till Corona virus dust settles and make this happen...re self isolate https://t.co/VGhZTAMjKy,[]
32,tamsmhlakaza, Bedfordview Johannesburg,238,307,3682,Tue Mar 24 21:16:42 +0000 2020,1,What worries me is that there seems to be no information for parents on #Covid19 as parents we have so much anxiety and fear for our little ones but there isn't even a platform where our questions can be answered! @HealthZA @GautengHealth #Covid19SA #COVID19SouthAfrica,"['Covid19', 'Covid19SA', 'COVID19SouthAfrica']"
33,beYou_Eye,South Africa,2479,2131,7788,Tue Mar 24 21:18:44 +0000 2020,2,Can some loan me R4000 for rent pls guys m really desperate. I need it or else I'll be out on the cold tomorrow 🙏 #KeaDrive #21daysLockdown #SANDF #girltalkza I do not mind giving out my landlords account details to anyone who can help #SANDF #Covid19SA #LockdownSA,"['KeaDrive', '21daysLockdown', 'SANDF', 'girltalkza', 'SANDF', 'Covid19SA', 'LockdownSA']"
34,OnthatileYP,"..in a Merc, probably.",1070,1087,14538,Tue Mar 24 21:20:23 +0000 2020,0,Can you go hang out with the Corona Virus ??..give it a hug nyana💀 https://t.co/jNK4tkXwZQ,[]
35,simamkelemazon2,South Africa,4483,5141,4631,Tue Mar 24 21:21:25 +0000 2020,0,"Tests for science students when schools reopen gonna be like ; Distinguish between Epidemic and Pandemic? (4)
💀💀💀 essay questions gonna be like..Discuss how different CoronaVirus is from Hantavirus (15) 💀..don’t sleep on this status.. you shall remember me!😌 #21daysLockdown",['21daysLockdown']
36,magicdan60,"ÜT: -26.712692,27.104824",9071,8290,23376,Tue Mar 24 21:23:49 +0000 2020,0,😳😭 🇿🇦The #SouthAfrican #Covid19SA lockdown... https://t.co/8z8zXGdeTu,"['SouthAfrican', 'Covid19SA']"
37,lmavuya,South Africa,947,647,27678,Tue Mar 24 21:24:19 +0000 2020,0,@Sentletse House of 2 Drs both of coalface of corona?,[]
38,QueenSkolopad,Bethlehem ,40311,86443,32967,Tue Mar 24 21:24:27 +0000 2020,2,@DStv can you please open all the channels while fighting the #Coronavirus for us to maintain #21daylockdown ka kopo tuuu🙏 https://t.co/tYjxSGfrs9,"['Coronavirus', '21daylockdown']"
