,username,location,following,followers,totaltweets,tweetcreatedts,retweetcount,text,hashtags
0,MizJic,"KwaZulu, South Africa",83,4,224,Tue Apr 14 20:13:47 +0000 2020,0,That's gonna prove difficult whilst the coronavirus is still a pandemic and the economy's future being uncertain 🧐🧐🤨 https://t.co/9KolnA2z15,[]
1,Lethu_Doyi,"Kirkwood, South Africa",1539,1847,5023,Tue Apr 14 20:14:44 +0000 2020,0,How did the numbers in the Eastern Cape increase that much? #Covid19inSA #SouthAfrica #sophieNdaba #Mnakwetu #ScandalEtv https://t.co/10HEMMuubN,"['Covid19inSA', 'SouthAfrica', 'sophieNdaba', 'Mnakwetu', 'ScandalEtv']"
2,Hosai_Simon,Pretoria Akasia / Tzaneen ,990,1587,37343,Tue Apr 14 20:20:31 +0000 2020,0,Corona is showing @realDonaldTrump flames.,[]
3,Cannavaro08,🌍 KatleHong Kong 🌍,3994,5073,74212,Tue Apr 14 20:20:48 +0000 2020,0,A country which is inside a country with Covid19 https://t.co/O1201IYKmo,[]
4,suzettekanneme9,,90,10,446,Tue Apr 14 20:20:54 +0000 2020,0,Americans will remember his failures on the coronavirus when they go to the poles! Bottom line....get rid of this embarrassment to your Country!!! https://t.co/81mpkqQRlt,[]
5,TrueTapiwa,CPT 🇿🇦 || HRE 🇿🇼,9353,12089,21894,Tue Apr 14 20:22:07 +0000 2020,0,Congratulations to Lesotho for keeping your country free of #COVID19,['COVID19']
6,denisepets,Rep of mauricius,985,1229,108421,Tue Apr 14 20:23:10 +0000 2020,0,"Wrong! They might have found a buyer before Covid19.  But NO! the unions knew better &amp; intimidated our leaders. Now nobody will buy it, Nobody. It's just Billions down the bucket lavatory. Nobody is selling anything. Its gonna rot like everything else for the last 25 years https://t.co/37PR5NFTYi",[]
7,MizJic,"KwaZulu, South Africa",83,4,224,Tue Apr 14 20:23:29 +0000 2020,0,"With the ""Door to Door"" testing, have the children been tested for COVID19 and the individuals providing or preparing  the meals?? or are they in a risk of increasing the statistics of cases in 🇿🇦 https://t.co/ahqDYkhAgM",[]
8,mreasterncape,"Eastern Cape, South Africa",416,1157,12322,Tue Apr 14 20:24:50 +0000 2020,0,"Let's work together and flatten the curve.  Stop corona virus  #LockdownSA #LockdownMzansi #Covid19inSA
Song: Black Love by @DonaldInDenial x Mvzzle
To watch the full video. Click here: https://t.co/IPVFuxrRF5 https://t.co/VUGC1pkJzg","['LockdownSA', 'LockdownMzansi', 'Covid19inSA']"
9,Bubu_Pearl19,South Africa,2304,2818,63751,Tue Apr 14 20:25:07 +0000 2020,1,@Bridget_Ramano Yoh ae corona gae fele Batho bare boncha mehlolo,[]
10,OscarCreator,"Johannesburg, South Africa",201,82,47,Tue Apr 14 20:27:53 +0000 2020,0,"#Covidance 
Covid-19 has me lockdown 🔒 but my creativity spirit runs free..”Shadow”
#ChoreographerDancerTeacher&amp;Facilitator
#LockdownSA #lockDownSouthAfrica https://t.co/JwYtDetqfS","['Covidance', 'ChoreographerDancerTeacher', 'LockdownSA', 'lockDownSouthAfrica']"
11,flickris,"Pinetown, South Africa",1707,1203,63769,Tue Apr 14 20:29:41 +0000 2020,0,"When #covid19 cases were at 1 million, deaths from the virus were at about 50k. Now cases are at 2 million but deaths have grown 50% faster and are at 125k",['covid19']
12,diplomatic_the,"Pretoria, South Africa",1976,1284,23249,Tue Apr 14 20:32:37 +0000 2020,1,"As at today, the total number of confirmed  COVID-19 cases in South Africa is 2415.",[]
