,username,location,following,followers,totaltweets,tweetcreatedts,retweetcount,text,hashtags
0,BrendaM51777950,South Africa,833,649,48221,Sun May 24 19:15:10 +0000 2020,0,The struggle is about surviving covid health and being with pple who truly love you. So what you are talking about and voice you want to hear is that Gautrain in which you have vast interests. Do not hide behind voices of underrepresented. You vacated that space a long time sgo https://t.co/frQebmVwGg,[]
1,ElsonR_,Boksburg,997,375,3511,Sun May 24 19:15:28 +0000 2020,0,"Yes. Phela we are not in denial....#cyrilramaphosa 
#AlcoholWillBeSold 
#Covid19SA 
#Level3Lockdown https://t.co/RjPs3FKkTP","['cyrilramaphosa', 'AlcoholWillBeSold', 'Covid19SA', 'Level3Lockdown']"
2,MaxwellJabu2kk,"Soweto, South Africa",1371,853,12614,Sun May 24 19:15:35 +0000 2020,0,"@Maseru_m @errolbsk @Time2Coach Put Mazzoti aside,his trade has been the beneficiary of COVID-19 and in order to curb this,let the government legalise his product and compete with the BAT company openly to avoid illegal trading,this will open up the industry for competition,more taxes for government,more jobs.",[]
3,momsboyfrien,,533,406,1194,Sun May 24 19:16:26 +0000 2020,0,"@_Hybreed_ He is like Corona outbreak 2,3plus likes",[]
4,Nosie_laMbatha,"Heidelberg, South Africa",12504,22557,44832,Sun May 24 19:18:40 +0000 2020,1,"Cupcake basically said ""Happy hunger games and may the odd be ever in your favor"" rest assured that you will get a bed if you get corona.",[]
5,12longmohatla,I Don't Give A Damn Avenue,4985,510,15444,Sun May 24 19:26:18 +0000 2020,0,"@SimonPGrindrod Simon , leave the thinking on covid 19 to scientists and medical doctors, but you are allowed to voice your political views",[]
6,kuliroberts,@CNomakula,9027,570429,445676,Sun May 24 19:26:26 +0000 2020,5,"God Bless and Good Luck to social distancing and emptier Hospitals not forgetting the abusive bullies.
Good luck to those hit by drunk drivers who will need blood prioritised for #COVID19 victims https://t.co/9hteGT0jpK",['COVID19']
7,Luyanda_28,"Grahamstown, South Africa",3577,3608,55385,Sun May 24 19:28:13 +0000 2020,1,"People who offer criticism without also offering a possible solution are not valuable to the discussion.🇿🇦
#Covid19SA https://t.co/dYNN1vNW8B",['Covid19SA']
8,RichardShein,"Sandton, South Africa",410,48,955,Sun May 24 19:29:08 +0000 2020,1,"@CoruscaKhaya Whenever you hear who’s most at risk for Covid it’s over 60’s, those with co-morbities, immuno compromised etc... Never ever heard the word smokers added to that list.",[]
9,Airachaz,Next to a Fridge Somewhere.,991,1072,33969,Sun May 24 19:29:44 +0000 2020,0,"Goodluck in the #Covid19SA games. 

#Level3Lockdown https://t.co/EbJb2eay2f","['Covid19SA', 'Level3Lockdown']"
