,username,location,following,followers,totaltweets,tweetcreatedts,retweetcount,text,hashtags
0,briam_harrison,Pretoria,1852,1560,32480,Mon Apr 06 20:32:55 +0000 2020,0,"#Coronavirus : Latest

#Africa

South Africa 🇿🇦 has the most recorded Cases sitting on 1,686","['Coronavirus', 'Africa']"
1,Madie_VV,South Africa,1698,1554,15939,Mon Apr 06 20:33:40 +0000 2020,0,How are they gonna shoot the next #TheHeist #Heist #CivilWar #CoronavirusInSA with covid happening.,"['TheHeist', 'Heist', 'CivilWar', 'CoronavirusInSA']"
2,mlu2468,South Africa ,1176,872,14541,Mon Apr 06 20:35:13 +0000 2020,0,@spectatorindex This coronavirus..........,[]
3,RamjawanShamila,South Africa,1166,250,4139,Mon Apr 06 20:36:40 +0000 2020,0,Pray for South Africa - pray for the world. #StayHomeSA #Covid19SA #Covid_19 #SouthAfrica https://t.co/k5tcXi1gh0,"['StayHomeSA', 'Covid19SA', 'Covid_19', 'SouthAfrica']"
4,Leskorate,South Africa,1855,493,9767,Mon Apr 06 20:37:15 +0000 2020,0,And he goes to ICU kuyoyonkelonto yobulisa and hug people with COVID19 wish him a speedy recovery kekodwa https://t.co/ZszANMU52Y,[]
5,_SonOfMars,A L K E B U L A N ,1659,3920,240190,Mon Apr 06 20:38:32 +0000 2020,0,@ncontextmukbang Here's to COVID-20,[]
6,RamjawanShamila,South Africa,1166,250,4139,Mon Apr 06 20:38:54 +0000 2020,0,Pray!! #StayHomeSA #Covid19SA #Covid_19 #SouthAfrica,"['StayHomeSA', 'Covid19SA', 'Covid_19', 'SouthAfrica']"
7,ArtsSportNwpg,"Mafikeng, South Africa",1804,6243,3920,Mon Apr 06 20:39:35 +0000 2020,1,"The total number of confirmed #COVID19 cases rose to 1 686 - an increase of 31 from the previously reported cases, with one new death reported. #Covid19SA #Day11ofLockdown #21daysLockdownSA https://t.co/s79pdo3BpU","['COVID19', 'Covid19SA', 'Day11ofLockdown', '21daysLockdownSA']"
8,Skhumbuzo123,"Cape Town, South Africa",842,539,8056,Mon Apr 06 20:40:05 +0000 2020,0,"Before we develop a vaccine, dating is gonna be so strange once social distancing and lockdown regulations are loosened 🤔
No matter how interested you are in someone, at the back of your mind you'll be wondering whether they're an asymptomatic carrier of Coronavirus 😩",[]
9,PhizZaY, CPT|PTA EAST|JHB,284,1555,30157,Mon Apr 06 20:42:18 +0000 2020,0,Mask off by @1future is going to HIT on a new level in a couple of months #Covid_19,['Covid_19']
10,BMugwambani,Pretoria,1199,257,854,Mon Apr 06 20:43:08 +0000 2020,0,"This thing of Covid-19 is disturbing,,watch these series movie of Secret Terius season 1 episode 10,,,is all this Corona virus thing planned?",[]
11,ArtsSportNwpg,"Mafikeng, South Africa",1804,6243,3920,Mon Apr 06 20:43:12 +0000 2020,2,"Update: The North West province has 11 confirmed #Covid19 positive cases, of which seven are in Bojanala Platinum District. Two recovered. No deaths have been recorded in the province.#StayHomeSA #Day11ofLockdown 
#CoronavirusInSA https://t.co/n1DbAWqtjR","['Covid19', 'StayHomeSA', 'Day11ofLockdown', 'CoronavirusInSA']"
12,kabelo_mahemo,,4835,694,551,Mon Apr 06 20:44:14 +0000 2020,0,"God will heal his World.
Let us not fear.
#Day11ofLockdown 
#Covid_19 _19","['Day11ofLockdown', 'Covid_19']"
13,SidwellGuduka,"Bloemfontein, South Africa",4979,3619,7716,Mon Apr 06 20:46:57 +0000 2020,1,"#Coronavirus: British Prime Minister Boris Johnson moved to intensive care after condition 'worsens', ten days after he tested positive for Covid-19. #Contangion #CoronavirusInSA #Day11ofLockdown #StayHomeSA #21daysLockdownSA #lockdownday11 #umphakathi","['Coronavirus', 'Contangion', 'CoronavirusInSA', 'Day11ofLockdown', 'StayHomeSA', '21daysLockdownSA', 'lockdownday11', 'umphakathi']"
14,ndondz,Gauteng ,5937,13060,26686,Mon Apr 06 20:47:10 +0000 2020,5,We have to choose to either live with Corona or have load shedding #CoronavirusInSA https://t.co/1wAJKZNG9V,['CoronavirusInSA']
15,lusirwexana,EL | BFN,1066,992,26779,Mon Apr 06 20:54:09 +0000 2020,1,"Yho I’m really scared for Matrics hey , imagine teaching yourself calculus cause of corona virus",[]
16,briam_harrison,Pretoria,1852,1560,32480,Mon Apr 06 20:54:24 +0000 2020,1,"#Coronavirus : Latest

Top 5 nation's with most cases

1. USA 🇺🇸 - 362,326
2. SPAIN 🇪🇸 - 135,032
3. ITALY 🇮🇹 - 132,547
4. GERMANY 🇩🇪 - 102,024
5. FRANCE 🇫🇷 - 98,010",['Coronavirus']
17,BMugwambani,Pretoria,1199,257,854,Mon Apr 06 20:55:03 +0000 2020,0,"@_moghel_ Headache is sometimes caused by lack of sex,,look closely on every aspect before you think of Covid-19",[]
18,briam_harrison,Pretoria,1852,1560,32480,Mon Apr 06 20:56:46 +0000 2020,0,"#Coronavirus : Latest

Top 5 nation's with most deaths

1. Italy 🇮🇹 - 16,523
2. Spain 🇪🇸 - 13,169
3. USA 🇺🇸 - 10,720
4. France 🇫🇷 - 8,911
5. UK 🇬🇧 - 5,373",['Coronavirus']
19,sontondlovu,"Johannesburg, South Africa",9702,16628,49804,Mon Apr 06 20:57:43 +0000 2020,2,What a lovely idea! Something to keep tourism industry going during these tough times of #Covid_19 @mmKubayiNgubane @sisantshona https://t.co/juBo93ly7w,['Covid_19']
20,Jaggie1947,South Africa/Stanford W Cape,459,662,13098,Mon Apr 06 20:59:59 +0000 2020,0,"Cellphone data can be used only for combating disease, says Covid-19 judge https://t.co/mIGZBox4YR",[]
21,ndavher,"ÜT: -25.930416,28.144048",2083,8943,62174,Mon Apr 06 20:59:59 +0000 2020,0,"@Lephutshe @dramadelinquent TB and COVID-19 infect differently, curtailing movement stops the spread and helps the health system to deal with those who can't recover on their own. If it were to be an outbreak because of contact we may not be able to contain it. Prevention is better than cure.",[]
22,Qessential_ZA,"Pretoria, South Africa",1185,936,6695,Mon Apr 06 21:01:04 +0000 2020,4,"Some South African politicians could learn a thing or two from Boris Johnson. For starters, he is using a state hospital and not flying to Singapore or Russia for medical treatment. #Covid_19 #CoronavirusInSA","['Covid_19', 'CoronavirusInSA']"
23,BhekiSithole_SA,Mhlabuyalingana|Stanger|DBN📍,9137,11161,72195,Mon Apr 06 21:05:00 +0000 2020,0,Since corona come Telkom network is bad. Maybe their towers got corona too. https://t.co/j4uP9mEX4U,[]
24,TshiaLia,Johannesburg,465,496,8900,Mon Apr 06 21:07:21 +0000 2020,0,"@Awethu_F Babes I went to Olieven police station today&amp; it was business as usual. People were walking around nje be chilled around the Police Station 😆😆😆, cabanga. I even asked one of the guys if he’s not scared of Corona and his response was “we die when we are inside Sisi kuyafana”",[]
25,Tshepho_Mokwele,Pretoria | Joburg | Polokwane,7604,166594,78918,Mon Apr 06 21:07:50 +0000 2020,0,I am here watching CNN. Boris is 55 years old. #covid19,['covid19']
26,MaphalleOratile,"Soshanguve, South Africa",252,169,1433,Mon Apr 06 21:09:29 +0000 2020,0,"""May God keep our Mothers until we become successful, Amen""🙏😭🔥💕 #Covid_19 #StayHomeSA #MondayMood","['Covid_19', 'StayHomeSA', 'MondayMood']"
27,Ntshidine,South Africa,8996,9351,49759,Mon Apr 06 21:09:31 +0000 2020,0,Nywe nywe he is using people's money. Hate for successful Africans by their fellow lazy and ignorant self approved to be clever Africans is a deadly disease more than #Covid_19 itself. I rather ask him to mentor me into Biz than attack what I don know. https://t.co/eYsZ5GkSvm,['Covid_19']
28,_Madlamini,"Cape Town, South Africa",509,676,15682,Mon Apr 06 21:11:38 +0000 2020,0,"I start planning things and my anxiety taps me on the shoulder on some, “are you gonna survive Covid19 doll?” 😭",[]
29,iAmLeslieR,,331,2260,36180,Mon Apr 06 21:13:08 +0000 2020,0,This is not worth news if she didn't test... we are in a pandemic... no time for story telling... #Covid_19 #StayHomeStaySafe https://t.co/uoVXxwRQh8,"['Covid_19', 'StayHomeStaySafe']"
30,McMandlasMk,Parktown,1569,336,5427,Mon Apr 06 21:13:09 +0000 2020,0,"During day 10
#Covid_19-challenges https://t.co/fJcCiDUOuS",['Covid_19']
31,Katlego_Kala,"Johannesburg, South Africa",1991,2485,4257,Mon Apr 06 21:13:38 +0000 2020,1,I hope #COVID19 has sparked the need for entrepreneurs to have Corporate Affairs and Marketing department in their organizations. This  department is pivotal in an organization. #LockdownSA,"['COVID19', 'LockdownSA']"
32,MaphalleOratile,"Soshanguve, South Africa",252,169,1433,Mon Apr 06 21:15:12 +0000 2020,0,@MTVBaseAfrica doesn't care 🙆‍♂️ Okwe barr @makhadzi vs @Beyonce 🤯😳 Jeban🤣😂🌶 #Covid_19 #StayHomeSA #MTV_UnpluggedAtHome #MTVHottest,"['Covid_19', 'StayHomeSA', 'MTV_UnpluggedAtHome', 'MTVHottest']"
33,Jaguar_Ben10,"Cape Town, South Africa",160,72,595,Mon Apr 06 21:18:38 +0000 2020,0,SA scientists make vital Covid-19 discovery | CORONAVIRUS MONITOR https://t.co/2cvWw7citt,[]
34,_SonOfMars,A L K E B U L A N ,1659,3920,240190,Mon Apr 06 21:19:48 +0000 2020,0,Corona once it feels at home in your body https://t.co/0eKM14mGon,[]
35,heintweets,South Africa,1090,2096,4556,Mon Apr 06 21:21:06 +0000 2020,0,@realDonaldTrump is not responsible for #coronavirus but he should certainly be held accountable for his handling of the crisis which is killing thousands #LetScienceReign,"['coronavirus', 'LetScienceReign']"
36,RamsByTheHorns,Johannesburg,720,27300,40626,Mon Apr 06 21:21:17 +0000 2020,1,You can't be a politician and be honest. Look at the good wishes thrown around for @BorisJohnson. #Covid_19,['Covid_19']
37,CarolineNkoe,Pretoria,929,932,15670,Mon Apr 06 21:21:32 +0000 2020,0,"@Fano_Kgops Answer ya gago ena lebo ""5G causes Corona Virus"" 🙈 Ke Motswana o otswang North West, what you just said it's unheard off... Struu i never had Pap with Jam 😑 https://t.co/QEgpWGD9Ib",[]
38,niknaks16,Heaven,900,1210,7901,Mon Apr 06 21:24:54 +0000 2020,0,Corona Virus has exposed so many people 🤦🏽‍♀️what is this now https://t.co/xpOev63ISN,[]
39,iAmLeslieR,,331,2260,36180,Mon Apr 06 21:25:06 +0000 2020,0,Where is the logic in this... 😑 #Covid_19 https://t.co/wAgIukWk6s,['Covid_19']
40,mpwrshow,"Ghana, West Africa",472,1220,2682,Mon Apr 06 21:26:18 +0000 2020,0,@4irafrica_ “Remote Work” advice with @OforiKimberly full episode: https://t.co/dlv3hywtdb #CovidResponse #CoronaVirus #RemoteWork #ScaleUp #4IRAfrica https://t.co/x6bHxrfnUl,"['CovidResponse', 'CoronaVirus', 'RemoteWork', 'ScaleUp', '4IRAfrica']"
41,laurakellymarti,"Cape Town, South Africa",321,154,3028,Mon Apr 06 21:26:53 +0000 2020,0,*woah it’s corona in here https://t.co/onItxOWRKQ,[]
42,iAmLeslieR,,331,2260,36180,Mon Apr 06 21:27:26 +0000 2020,0,"@base_tsana Is she knew she had symptoms, for what she believes is for #Covid_19, then she had to get tested. Unless she was suspecting a cold or flu, otherwise, we didn't need to know.",['Covid_19']
43,Zakhele,,894,2794,128280,Mon Apr 06 21:29:11 +0000 2020,0,"Rama is working hard, fighting not be benched by Moleko post Corona. Work man work!",[]
44,B_Mbovu,Cape town ,2244,589,14194,Mon Apr 06 21:31:00 +0000 2020,0,Thank you DG #CoronavirusInSA #Day11ofLockdown #COVID19 https://t.co/xsasaqlF8C,"['CoronavirusInSA', 'Day11ofLockdown', 'COVID19']"
45,BrendaM51777950,South Africa,825,617,45193,Mon Apr 06 21:31:57 +0000 2020,0,Afraid of Corona he could be deliberately subjected to it. Better be out of the way https://t.co/58ROqEb8NX,[]
46,urmajestyzee,"Johannesburg, South Africa",10319,14118,45298,Mon Apr 06 21:35:08 +0000 2020,0,"Wakhe wandilahlae omnye umfana sogqiba wathi ""I know zee is a STRONG person she will deal with it "" 

Yhoooo Guys le #lockDownSouthAfrica 
Indicingisa izinto and now I'm hurting 💔

WandiNyela Lo 🤞🖕
#Covid_19 
#Contangion 
#MondayMotivation 
#CoronavirusInSA ndiyaSWELEKA💔🤞🙄 https://t.co/dLhRn8YVDB","['lockDownSouthAfrica', 'Covid_19', 'Contangion', 'MondayMotivation', 'CoronavirusInSA']"
47,SiphamandlaZwen,Cape town ,395,294,1341,Mon Apr 06 21:35:20 +0000 2020,0,@EdythParker  please get us the vaccine . I believe in you hey 😀 covid-19,[]
48,Tshepho_Mokwele,Pretoria | Joburg | Polokwane,7604,166594,78918,Mon Apr 06 21:35:41 +0000 2020,2,"“This is what we were trained to do... but not this volume”, said one Dr on CNN. #Covid19",['Covid19']
