,username,location,following,followers,totaltweets,tweetcreatedts,retweetcount,text,hashtags
0,KGcomic,Afrika Borwa,1474,8171,5406,Mon Mar 16 20:26:28 +0000 2020,0,@DougMutai 🤣🤣🤣 i have fire corona lines to unleash and the gigs are also shut down.,[]
1,777MZI,Pretoria,1662,1639,2428,Mon Mar 16 20:27:59 +0000 2020,1,I’m sure the defenders of privilege can see it’s really not yet uhuru #CoronaVirusSA #covid19SA https://t.co/O1ePkFyHZI,"['CoronaVirusSA', 'covid19SA']"
2,trevzngcobo,"Johannesburg, South Africa",3727,2946,14622,Mon Mar 16 20:30:36 +0000 2020,0,"We are being prepared for one global leader to fix things — where all countries will give the UN unlimited power. NWO in full effect! Much more than just a virus, social engineering planned and executed way in advance. End times are near!

#Coronavirus 
#CoronavirusSouthAfrica","['Coronavirus', 'CoronavirusSouthAfrica']"
3,ThavhanyedzaM,South Africa,6381,6369,9586,Mon Mar 16 20:30:50 +0000 2020,0,The National Institute for Communicable Diseases (NICD) at the weekend announced that doctors no longer need to contact the NICD for approval to test for COVID-19 as long as they apply the case definition before testing.,[]
4,ginatigere,"Cape Town, South Africa",1190,1376,14262,Mon Mar 16 20:31:56 +0000 2020,1,#covid19SA take as much organic immune boosters as you can. #CoronaVirusSA https://t.co/2zvNqHjinG,"['covid19SA', 'CoronaVirusSA']"
5,OBAKEN__G,"Johannesburg, South Africa",4061,6453,3882,Mon Mar 16 20:32:51 +0000 2020,0,"Well since #CoronaVirusSA is on a high can we just exchange nudes?
#askingforafriend 👅😋","['CoronaVirusSA', 'askingforafriend']"
6,ZakesMotene,"Kidd's Beach, South Africa",5004,1377,2389,Mon Mar 16 20:33:37 +0000 2020,1,After the pandemic of the Corona virus can we also clean up our environment just as we wash  our hands right now.,[]
7,Paps_Bacela,Sandton,1357,3308,93770,Mon Mar 16 20:33:44 +0000 2020,0,COVID - 19 ain’t missed yet. Sniper range https://t.co/24QW4IKsQZ,[]
8,sbumphela,"Johannesburg, South Africa",1103,1025,3996,Mon Mar 16 20:34:00 +0000 2020,1,"#coronavirussouthafrica Corona virus 🦠 could have been prevented from the spread it China didn’t withhold the information about it’s outbreak.

Politics 😭🚮",['coronavirussouthafrica']
9,MogaleMaps,Ka da,1205,598,15929,Mon Mar 16 20:34:05 +0000 2020,0,There’s something with leap years honestly !!! Remember how 2016 was!!! #COVID19,['COVID19']
10,yamaQwabe,"Durban, South Africa",608,1445,1457,Mon Mar 16 20:34:47 +0000 2020,0,"After intensive research , I’ve found that relationships aren’t for me. Alcohol is for me. I mean I am for alcohol. Therefore during this time I shall stock up on a case of vodka. #CoronaVirusSA #RussianBear #Ciroc #skyvodka #absolut #cruz #belvedere2020 #pravda #redsquare https://t.co/0IFWV0nJeC","['CoronaVirusSA', 'RussianBear', 'Ciroc', 'skyvodka', 'absolut', 'cruz', 'belvedere2020', 'pravda', 'redsquare']"
11,wellredwinemag,Cape Town,2068,3958,44712,Mon Mar 16 20:37:03 +0000 2020,0,It’s hardcore but I think South Africa should follow suit.  If the virus spreads here it could have fatal consequences and death rates will be far higher in informal settlements etc. #CoronaVirusSA https://t.co/imXuwr7Mpl,['CoronaVirusSA']
12,lung_STAR_,,3106,3057,36499,Mon Mar 16 20:40:01 +0000 2020,0,"Khona this weird VN about some spiders crossing the boarder  like corona, yazini lalani manje.",[]
13,coachjanick,South Africa,24,240,2450,Mon Mar 16 20:40:15 +0000 2020,0,Besides corona what else do you worry about?,[]
14,coachjanick,South Africa,24,240,2450,Mon Mar 16 20:40:50 +0000 2020,0,@noksy_k Corona shows more than that ✨,[]
15,ZwaneSiguqa,South Africa,1967,10552,14510,Mon Mar 16 20:41:53 +0000 2020,0,"Stay at home.
https://t.co/u3CdsLvWc4
#CoronaVirusSA",['CoronaVirusSA']
16,pasepase4,"Centurion, South Africa",486,4513,5853,Mon Mar 16 20:43:06 +0000 2020,10,Where are the miracle Pastors now that Coronavirus is real?,[]
17,UFSOIA,Bloemfontein,29,35,170,Mon Mar 16 20:43:57 +0000 2020,0,"162 Countries and Territories around the world have reported a total of 181,364 confirmed cases of the coronavirus COVID-19 that originated from Wuhan, China, and a death toll of 7,130 deaths.
https://t.co/tTPpf5un3B #CoronaVirusUpdate",['CoronaVirusUpdate']
18,PFARISO777,"Katlehong, South Africa",410,102,979,Mon Mar 16 20:44:42 +0000 2020,0,@Portiia_S I hope its not Corona,[]
19,bongilicious22,Johannesburg,1015,1784,21172,Mon Mar 16 20:46:44 +0000 2020,0,Shit is real #CoronaVirusSA,['CoronaVirusSA']
